,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.25,USD,2018-12-13,CD,2019-01-18,4,2019-02-22,2019-01-22,APA
1,0.25,USD,2019-02-08,CD,2019-04-18,4,2019-05-22,2019-04-22,APA
2,0.25,USD,2019-05-22,CD,2019-07-19,4,2019-08-22,2019-07-22,APA
3,0.25,USD,2019-09-12,CD,2019-10-21,4,2019-11-22,2019-10-22,APA
4,0.25,USD,2019-12-19,CD,2020-01-21,4,2020-02-21,2020-01-22,APA
5,0.025,USD,2020-02-07,CD,2020-04-21,4,2020-05-22,2020-04-22,APA
6,0.025,USD,2020-05-14,CD,2020-07-21,4,2020-08-21,2020-07-22,APA
7,0.025,USD,2020-09-16,CD,2020-10-21,4,2020-11-23,2020-10-22,APA
8,0.025,USD,2020-12-07,CD,2021-01-21,4,2021-02-22,2021-01-22,APA
9,0.025,USD,2021-02-05,CD,2021-04-21,4,2021-05-21,2021-04-22,APA
10,0.025,USD,2021-05-27,CD,2021-07-21,4,2021-08-23,2021-07-22,APA
11,0.0625,USD,2021-09-20,CD,2021-10-21,4,2021-11-22,2021-10-22,APA
12,0.125,USD,2021-11-04,CD,2022-01-20,4,2022-02-22,2022-01-21,APA
13,0.125,USD,2022-02-04,CD,2022-04-21,4,2022-05-23,2022-04-22,APA
14,0.125,USD,2022-05-12,CD,2022-07-21,4,2022-08-22,2022-07-22,APA
