,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.18,USD,2019-01-24,CD,2019-02-01,4,2019-02-15,2019-02-04,BKR
1,0.18,USD,2019-05-10,CD,2019-05-20,4,2019-05-31,2019-05-21,BKR
2,0.18,USD,2019-08-02,CD,2019-08-12,4,2019-08-23,2019-08-13,BKR
3,0.18,USD,2019-10-30,CD,2019-11-07,4,2019-11-22,2019-11-11,BKR
4,0.18,USD,2020-01-23,CD,2020-01-31,4,2020-02-14,2020-02-03,BKR
5,0.18,USD,2020-05-14,CD,2020-05-22,4,2020-06-05,2020-05-26,BKR
6,0.18,USD,2020-07-30,CD,2020-08-07,4,2020-08-21,2020-08-10,BKR
7,0.18,USD,2020-10-30,CD,2020-11-06,4,2020-11-20,2020-11-09,BKR
8,0.18,USD,2021-01-29,CD,2021-02-08,4,2021-02-19,2021-02-09,BKR
9,0.18,USD,2021-05-14,CD,2021-05-24,4,2021-06-04,2021-05-25,BKR
10,0.18,USD,2021-07-30,CD,2021-08-09,4,2021-08-20,2021-08-10,BKR
11,0.18,USD,2021-10-22,CD,2021-11-01,4,2021-11-12,2021-11-02,BKR
12,0.18,USD,2022-01-26,CD,2022-02-04,4,2022-02-18,2022-02-07,BKR
13,0.18,USD,2022-05-13,CD,2022-05-27,4,2022-06-10,2022-05-31,BKR
