,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.305,USD,2019-01-30,CD,2019-02-08,4,2019-03-01,2019-02-11,COP
1,0.305,USD,2019-05-01,CD,2019-05-10,4,2019-06-03,2019-05-13,COP
2,0.305,USD,2019-07-11,CD,2019-07-19,4,2019-09-03,2019-07-22,COP
3,0.42,USD,2019-10-07,CD,2019-10-16,4,2019-12-02,2019-10-17,COP
4,0.42,USD,2020-02-04,CD,2020-02-13,4,2020-03-02,2020-02-14,COP
5,0.42,USD,2020-04-30,CD,2020-05-08,4,2020-06-01,2020-05-11,COP
6,0.42,USD,2020-07-08,CD,2020-07-17,4,2020-09-01,2020-07-20,COP
7,0.43,USD,2020-10-12,CD,2020-10-16,4,2020-12-01,2020-10-19,COP
8,0.43,USD,2021-02-02,CD,2021-02-11,4,2021-03-01,2021-02-12,COP
9,0.43,USD,2021-05-04,CD,2021-05-13,4,2021-06-01,2021-05-14,COP
10,0.43,USD,2021-07-13,CD,2021-07-23,4,2021-09-01,2021-07-26,COP
11,0.46,USD,2021-09-20,CD,2021-10-27,4,2021-12-01,2021-10-28,COP
12,0.2,USD,2021-12-06,CD,2021-12-31,4,2022-01-14,2022-01-03,COP
13,0.46,USD,2022-02-03,CD,2022-02-11,4,2022-03-01,2022-02-14,COP
14,0.3,USD,2022-02-03,CD,2022-03-30,4,2022-04-14,2022-03-31,COP
15,0.46,USD,2022-05-05,CD,2022-05-16,4,2022-06-01,2022-05-17,COP
16,0.7,USD,2022-05-05,CD,2022-06-27,4,2022-07-15,2022-06-28,COP
