,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.07,USD,2019-01-14,CD,2019-01-23,4,2019-02-07,2019-01-24,CTRA
1,0.09,USD,2019-04-26,CD,2019-05-14,4,2019-05-29,2019-05-15,CTRA
2,0.09,USD,2019-07-25,CD,2019-08-07,4,2019-08-22,2019-08-08,CTRA
3,0.1,USD,2019-10-24,CD,2019-11-05,4,2019-11-15,2019-11-06,CTRA
4,0.1,USD,2020-01-03,CD,2020-01-23,4,2020-02-07,2020-01-24,CTRA
5,0.1,USD,2020-04-30,CD,2020-05-13,4,2020-05-28,2020-05-14,CTRA
6,0.1,USD,2020-07-29,CD,2020-08-12,4,2020-08-27,2020-08-13,CTRA
7,0.1,USD,2020-10-28,CD,2020-11-10,4,2020-11-23,2020-11-12,CTRA
8,0.1,USD,2021-01-04,CD,2021-01-20,4,2021-02-04,2021-01-21,CTRA
9,0.11,USD,2021-04-29,CD,2021-05-12,4,2021-05-27,2021-05-13,CTRA
10,0.11,USD,2021-07-28,CD,2021-08-11,4,2021-08-26,2021-08-12,CTRA
11,0.5,USD,2021-10-04,SC,2021-10-13,0,2021-10-22,2021-10-14,CTRA
12,0.125,USD,2021-11-03,CD,2021-11-12,4,2021-11-24,2021-11-15,CTRA
13,0.175,USD,2021-11-03,SC,2021-11-12,0,2021-11-24,2021-11-15,CTRA
14,0.15,USD,2022-02-23,CD,2022-03-04,4,2022-03-17,2022-03-07,CTRA
15,0.41,USD,2022-02-23,SC,2022-03-04,0,2022-03-17,2022-03-07,CTRA
16,0.15,USD,2022-05-02,CD,2022-05-12,4,2022-05-25,2022-05-13,CTRA
17,0.45,USD,2022-05-02,SC,2022-05-12,0,2022-05-25,2022-05-13,CTRA
