,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,1.19,USD,2019-01-30,CD,2019-02-14,4,2019-03-11,2019-02-15,CVX
1,1.19,USD,2019-04-24,CD,2019-05-16,4,2019-06-10,2019-05-17,CVX
2,1.19,USD,2019-07-31,CD,2019-08-16,4,2019-09-10,2019-08-19,CVX
3,1.19,USD,2019-10-30,CD,2019-11-15,4,2019-12-10,2019-11-18,CVX
4,1.29,USD,2020-01-29,CD,2020-02-14,4,2020-03-10,2020-02-18,CVX
5,1.29,USD,2020-04-29,CD,2020-05-18,4,2020-06-10,2020-05-19,CVX
6,1.29,USD,2020-07-29,CD,2020-08-18,4,2020-09-10,2020-08-19,CVX
7,1.29,USD,2020-10-29,CD,2020-11-17,4,2020-12-10,2020-11-18,CVX
8,1.29,USD,2021-01-27,CD,2021-02-16,4,2021-03-10,2021-02-17,CVX
9,1.34,USD,2021-04-28,CD,2021-05-18,4,2021-06-10,2021-05-19,CVX
10,1.34,USD,2021-07-28,CD,2021-08-18,4,2021-09-10,2021-08-19,CVX
11,1.34,USD,2021-10-27,CD,2021-11-17,4,2021-12-10,2021-11-18,CVX
12,1.42,USD,2022-01-26,CD,2022-02-15,4,2022-03-10,2022-02-16,CVX
13,1.42,USD,2022-04-27,CD,2022-05-18,4,2022-06-10,2022-05-19,CVX
