,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.08,USD,2018-11-28,CD,2019-03-14,4,2019-03-29,2019-03-15,DVN
1,0.09,USD,2019-02-19,CD,2019-06-13,4,2019-06-28,2019-06-14,DVN
2,0.09,USD,2019-06-03,CD,2019-09-12,4,2019-09-27,2019-09-13,DVN
3,0.09,USD,2019-09-11,CD,2019-12-12,4,2019-12-27,2019-12-13,DVN
4,0.09,USD,2019-12-04,CD,2020-03-12,4,2020-03-31,2020-03-13,DVN
5,0.11,USD,2020-02-18,CD,2020-06-12,4,2020-06-30,2020-06-15,DVN
6,0.26,USD,2020-08-04,SC,2020-08-13,0,2020-10-01,2020-08-14,DVN
7,0.11,USD,2020-06-03,CD,2020-09-11,4,2020-09-30,2020-09-14,DVN
8,0.11,USD,2020-09-16,CD,2020-12-10,4,2020-12-30,2020-12-11,DVN
9,0.19,USD,2020-12-02,SC,2021-03-12,0,2021-03-31,2021-03-15,DVN
10,0.3,USD,2020-12-02,CD,2021-03-12,4,2021-03-31,2021-03-15,DVN
11,0.23,USD,2021-05-04,SC,2021-06-11,0,2021-06-30,2021-06-14,DVN
12,0.34,USD,2021-05-04,CD,2021-06-11,4,2021-06-30,2021-06-14,DVN
13,0.38,USD,2021-08-03,SC,2021-09-10,0,2021-09-30,2021-09-13,DVN
14,0.49,USD,2021-08-03,CD,2021-09-10,4,2021-09-30,2021-09-13,DVN
15,0.73,USD,2021-11-02,SC,2021-12-09,0,2021-12-30,2021-12-10,DVN
16,0.84,USD,2021-11-02,CD,2021-12-09,4,2021-12-30,2021-12-10,DVN
17,1.0,USD,2022-02-15,CD,2022-03-11,4,2022-03-31,2022-03-14,DVN
18,1.27,USD,2022-05-02,CD,2022-06-10,4,2022-06-30,2022-06-13,DVN
