,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.22,USD,2018-12-12,CD,2019-01-16,4,2019-01-31,2019-01-17,EOG
1,0.22,USD,2019-02-13,CD,2019-04-15,4,2019-04-30,2019-04-16,EOG
2,0.2875,USD,2019-05-02,CD,2019-07-16,4,2019-07-31,2019-07-17,EOG
3,0.2875,USD,2019-09-12,CD,2019-10-16,4,2019-10-31,2019-10-17,EOG
4,0.2875,USD,2019-12-10,CD,2020-01-16,4,2020-01-31,2020-01-17,EOG
5,0.375,USD,2020-02-27,CD,2020-04-15,4,2020-04-30,2020-04-16,EOG
6,0.375,USD,2020-05-07,CD,2020-07-16,4,2020-07-31,2020-07-17,EOG
7,0.375,USD,2020-09-23,CD,2020-10-15,4,2020-10-30,2020-10-16,EOG
8,0.375,USD,2020-12-17,CD,2021-01-14,4,2021-01-29,2021-01-15,EOG
9,0.4125,USD,2021-02-25,CD,2021-04-15,4,2021-04-30,2021-04-16,EOG
10,0.4125,USD,2021-05-06,CD,2021-07-15,4,2021-07-30,2021-07-16,EOG
11,1.0,USD,2021-05-06,SC,2021-07-15,0,2021-07-30,2021-07-16,EOG
12,0.4125,USD,2021-09-22,CD,2021-10-14,4,2021-10-29,2021-10-15,EOG
13,2.0,USD,2021-11-04,SC,2021-12-14,0,2021-12-30,2021-12-15,EOG
14,0.75,USD,2021-11-04,CD,2022-01-13,4,2022-01-28,2022-01-14,EOG
15,1.0,USD,2022-02-24,SC,2022-03-14,0,2022-03-29,2022-03-15,EOG
16,0.75,USD,2022-02-24,CD,2022-04-13,4,2022-04-29,2022-04-15,EOG
17,1.8,USD,2022-05-05,SC,2022-06-14,0,2022-06-30,2022-06-15,EOG
18,0.75,USD,2022-05-05,CD,2022-07-14,4,2022-07-29,2022-07-15,EOG
