,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.18,USD,2019-02-13,CD,2019-03-05,4,2019-03-27,2019-03-06,HAL
1,0.18,USD,2019-05-15,CD,2019-06-04,4,2019-06-26,2019-06-05,HAL
2,0.18,USD,2019-08-13,CD,2019-09-03,4,2019-09-25,2019-09-04,HAL
3,0.18,USD,2019-11-11,CD,2019-12-04,4,2019-12-26,2019-12-05,HAL
4,0.18,USD,2020-02-13,CD,2020-03-03,4,2020-03-25,2020-03-04,HAL
5,0.045,USD,2020-05-20,CD,2020-06-02,4,2020-06-24,2020-06-03,HAL
6,0.045,USD,2020-08-10,CD,2020-09-01,4,2020-09-23,2020-09-02,HAL
7,0.045,USD,2020-11-02,CD,2020-12-02,4,2020-12-23,2020-12-03,HAL
8,0.045,USD,2021-02-19,CD,2021-03-02,4,2021-03-24,2021-03-03,HAL
9,0.045,USD,2021-05-24,CD,2021-06-01,4,2021-06-23,2021-06-02,HAL
10,0.045,USD,2021-08-19,CD,2021-08-31,4,2021-09-22,2021-09-01,HAL
11,0.045,USD,2021-11-17,CD,2021-12-08,4,2021-12-22,2021-12-09,HAL
12,0.12,USD,2022-01-24,CD,2022-03-01,4,2022-03-23,2022-03-02,HAL
13,0.12,USD,2022-05-19,CD,2022-05-31,4,2022-06-22,2022-06-01,HAL
