,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.25,USD,2019-03-06,CD,2019-03-15,4,2019-03-29,2019-03-18,HES
1,0.25,USD,2019-06-04,CD,2019-06-14,4,2019-06-28,2019-06-17,HES
2,0.25,USD,2019-09-04,CD,2019-09-13,4,2019-09-30,2019-09-16,HES
3,0.25,USD,2019-12-04,CD,2019-12-13,4,2019-12-31,2019-12-16,HES
4,0.25,USD,2020-03-04,CD,2020-03-13,4,2020-03-30,2020-03-16,HES
5,0.25,USD,2020-06-02,CD,2020-06-12,4,2020-06-30,2020-06-15,HES
6,0.25,USD,2020-09-02,CD,2020-09-14,4,2020-09-30,2020-09-15,HES
7,0.25,USD,2020-12-02,CD,2020-12-14,4,2020-12-30,2020-12-15,HES
8,0.25,USD,2021-03-05,CD,2021-03-16,4,2021-03-31,2021-03-17,HES
9,0.25,USD,2021-06-03,CD,2021-06-14,4,2021-06-30,2021-06-15,HES
10,0.25,USD,2021-09-01,CD,2021-09-14,4,2021-09-30,2021-09-15,HES
11,0.25,USD,2021-12-01,CD,2021-12-14,4,2021-12-30,2021-12-15,HES
12,0.375,USD,2022-03-01,CD,2022-03-11,4,2022-03-30,2022-03-14,HES
13,0.375,USD,2022-05-26,CD,2022-06-14,4,2022-06-30,2022-06-15,HES
