,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.2,USD,2019-01-16,CD,2019-01-30,4,2019-02-15,2019-01-31,KMI
1,0.25,USD,2019-04-17,CD,2019-04-29,4,2019-05-15,2019-04-30,KMI
2,0.25,USD,2019-07-18,CD,2019-07-30,4,2019-08-15,2019-07-31,KMI
3,0.25,USD,2019-10-16,CD,2019-10-30,4,2019-11-15,2019-10-31,KMI
4,0.25,USD,2020-01-22,CD,2020-01-31,4,2020-02-18,2020-02-03,KMI
5,0.2625,USD,2020-04-22,CD,2020-05-01,4,2020-05-15,2020-05-04,KMI
6,0.2625,USD,2020-07-22,CD,2020-07-31,4,2020-08-17,2020-08-03,KMI
7,0.2625,USD,2020-10-22,CD,2020-10-30,4,2020-11-16,2020-11-02,KMI
8,0.2625,USD,2021-01-20,CD,2021-01-29,4,2021-02-16,2021-02-01,KMI
9,0.27,USD,2021-04-21,CD,2021-04-29,4,2021-05-17,2021-04-30,KMI
10,0.27,USD,2021-07-21,CD,2021-07-30,4,2021-08-16,2021-08-02,KMI
11,0.27,USD,2021-10-20,CD,2021-10-29,4,2021-11-15,2021-11-01,KMI
12,0.27,USD,2022-01-19,CD,2022-01-28,4,2022-02-15,2022-01-31,KMI
13,0.2775,USD,2022-04-20,CD,2022-04-29,4,2022-05-16,2022-05-02,KMI
14,0.2775,USD,2022-07-20,CD,2022-07-29,4,2022-08-15,2022-08-01,KMI
