,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.53,USD,2019-01-28,CD,2019-02-19,4,2019-03-11,2019-02-20,MPC
1,0.53,USD,2019-04-24,CD,2019-05-15,4,2019-06-10,2019-05-16,MPC
2,0.53,USD,2019-07-31,CD,2019-08-20,4,2019-09-10,2019-08-21,MPC
3,0.53,USD,2019-11-05,CD,2019-11-19,4,2019-12-10,2019-11-20,MPC
4,0.58,USD,2020-01-27,CD,2020-02-18,4,2020-03-10,2020-02-19,MPC
5,0.58,USD,2020-04-29,CD,2020-05-19,4,2020-06-10,2020-05-20,MPC
6,0.58,USD,2020-07-29,CD,2020-08-18,4,2020-09-10,2020-08-19,MPC
7,0.58,USD,2020-10-28,CD,2020-11-17,4,2020-12-10,2020-11-18,MPC
8,0.58,USD,2021-01-29,CD,2021-02-16,4,2021-03-10,2021-02-17,MPC
9,0.58,USD,2021-04-28,CD,2021-05-18,4,2021-06-10,2021-05-19,MPC
10,0.58,USD,2021-07-28,CD,2021-08-17,4,2021-09-10,2021-08-18,MPC
11,0.58,USD,2021-10-27,CD,2021-11-16,4,2021-12-10,2021-11-17,MPC
12,0.58,USD,2022-01-27,CD,2022-02-15,4,2022-03-10,2022-02-16,MPC
13,0.58,USD,2022-04-27,CD,2022-05-17,4,2022-06-10,2022-05-18,MPC
