,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.05,USD,2019-01-30,CD,2019-02-19,4,2019-03-11,2019-02-20,MRO
1,0.05,USD,2019-04-24,CD,2019-05-14,4,2019-06-10,2019-05-15,MRO
2,0.05,USD,2019-07-31,CD,2019-08-20,4,2019-09-10,2019-08-21,MRO
3,0.05,USD,2019-10-30,CD,2019-11-19,4,2019-12-10,2019-11-20,MRO
4,0.05,USD,2020-01-29,CD,2020-02-18,4,2020-03-10,2020-02-19,MRO
5,0.03,USD,2020-10-01,CD,2020-11-17,4,2020-12-10,2020-11-18,MRO
6,0.03,USD,2021-01-27,CD,2021-02-16,4,2021-03-10,2021-02-17,MRO
7,0.04,USD,2021-04-29,CD,2021-05-18,4,2021-06-10,2021-05-19,MRO
8,0.05,USD,2021-07-28,CD,2021-08-17,4,2021-09-10,2021-08-18,MRO
9,0.06,USD,2021-10-27,CD,2021-11-16,4,2021-12-10,2021-11-17,MRO
10,0.07,USD,2022-01-26,CD,2022-02-15,4,2022-03-10,2022-02-16,MRO
11,0.08,USD,2022-04-28,CD,2022-05-17,4,2022-06-10,2022-05-18,MRO
