,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.86,USD,2019-01-16,CD,2019-01-25,4,2019-02-14,2019-01-28,OKE
1,0.865,USD,2019-04-18,CD,2019-04-26,4,2019-05-15,2019-04-29,OKE
2,0.89,USD,2019-07-24,CD,2019-08-05,4,2019-08-14,2019-08-06,OKE
3,0.915,USD,2019-10-23,CD,2019-11-01,4,2019-11-14,2019-11-04,OKE
4,0.935,USD,2020-01-15,CD,2020-01-24,4,2020-02-14,2020-01-27,OKE
5,0.935,USD,2020-04-16,CD,2020-04-24,4,2020-05-14,2020-04-27,OKE
6,0.935,USD,2020-07-22,CD,2020-07-31,4,2020-08-14,2020-08-03,OKE
7,0.935,USD,2020-10-21,CD,2020-10-30,4,2020-11-13,2020-11-02,OKE
8,0.935,USD,2021-01-20,CD,2021-01-29,4,2021-02-12,2021-02-01,OKE
9,0.935,USD,2021-04-15,CD,2021-04-23,4,2021-05-14,2021-04-26,OKE
10,0.935,USD,2021-07-21,CD,2021-07-30,4,2021-08-16,2021-08-02,OKE
11,0.935,USD,2021-10-20,CD,2021-10-29,4,2021-11-15,2021-11-01,OKE
12,0.935,USD,2022-01-19,CD,2022-01-28,4,2022-02-14,2022-01-31,OKE
13,0.935,USD,2022-04-21,CD,2022-04-29,4,2022-05-16,2022-05-02,OKE
14,0.935,USD,2022-07-20,CD,2022-07-29,4,2022-08-15,2022-08-01,OKE
