,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.78,USD,2019-02-27,CD,2019-03-08,4,2019-04-15,2019-03-11,OXY
1,0.78,USD,2019-05-09,CD,2019-06-07,4,2019-07-15,2019-06-10,OXY
2,0.79,USD,2019-07-11,CD,2019-09-09,4,2019-10-15,2019-09-10,OXY
3,0.79,USD,2019-11-06,CD,2019-12-09,4,2020-01-15,2019-12-10,OXY
4,0.79,USD,2020-02-13,CD,2020-03-09,4,2020-04-15,2020-03-10,OXY
5,0.01,USD,2020-05-29,CD,2020-06-12,4,2020-07-15,2020-06-15,OXY
6,0.01,USD,2020-09-03,CD,2020-09-14,4,2020-10-15,2020-09-15,OXY
7,0.01,USD,2020-11-05,CD,2020-12-09,4,2021-01-15,2020-12-10,OXY
8,0.01,USD,2021-02-11,CD,2021-03-09,4,2021-04-15,2021-03-10,OXY
9,0.01,USD,2021-05-07,CD,2021-06-09,4,2021-07-15,2021-06-10,OXY
10,0.01,USD,2021-07-28,CD,2021-09-09,4,2021-10-15,2021-09-10,OXY
11,0.01,USD,2021-11-03,CD,2021-12-09,4,2022-01-14,2021-12-10,OXY
12,0.13,USD,2022-02-24,CD,2022-03-09,4,2022-04-15,2022-03-10,OXY
13,0.13,USD,2022-05-06,CD,2022-06-09,4,2022-07-15,2022-06-10,OXY
