,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.8,USD,2019-02-06,CD,2019-02-15,4,2019-03-01,2019-02-19,PSX
1,0.9,USD,2019-05-08,CD,2019-05-17,4,2019-06-03,2019-05-20,PSX
2,0.9,USD,2019-07-10,CD,2019-08-19,4,2019-09-03,2019-08-20,PSX
3,0.9,USD,2019-10-04,CD,2019-11-15,4,2019-12-02,2019-11-18,PSX
4,0.9,USD,2020-02-05,CD,2020-02-14,4,2020-03-02,2020-02-18,PSX
5,0.9,USD,2020-05-06,CD,2020-05-15,4,2020-06-01,2020-05-18,PSX
6,0.9,USD,2020-07-08,CD,2020-08-17,4,2020-09-01,2020-08-18,PSX
7,0.9,USD,2020-10-12,CD,2020-11-16,4,2020-12-01,2020-11-17,PSX
8,0.9,USD,2021-02-10,CD,2021-02-19,4,2021-03-01,2021-02-22,PSX
9,0.9,USD,2021-05-12,CD,2021-05-21,4,2021-06-01,2021-05-24,PSX
10,0.9,USD,2021-07-14,CD,2021-08-17,4,2021-09-01,2021-08-18,PSX
11,0.92,USD,2021-10-08,CD,2021-11-16,4,2021-12-01,2021-11-17,PSX
12,0.92,USD,2022-02-09,CD,2022-02-18,4,2022-03-01,2022-02-22,PSX
13,0.97,USD,2022-05-10,CD,2022-05-20,4,2022-06-01,2022-05-23,PSX
14,0.97,USD,2022-07-12,CD,2022-08-17,4,2022-09-01,2022-08-18,PSX
