,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.32,USD,2019-02-13,CD,2019-03-28,2,2019-04-12,2019-03-29,PXD
1,0.44,USD,2019-08-06,CD,2019-09-26,4,2019-10-10,2019-09-27,PXD
2,0.44,USD,2019-11-04,CD,2019-12-30,4,2020-01-14,2019-12-31,PXD
3,0.55,USD,2020-02-19,CD,2020-03-30,4,2020-04-14,2020-03-31,PXD
4,0.55,USD,2020-05-21,CD,2020-06-29,4,2020-07-14,2020-06-30,PXD
5,0.55,USD,2020-08-20,CD,2020-09-29,4,2020-10-14,2020-09-30,PXD
6,0.55,USD,2020-11-19,CD,2020-12-30,4,2021-01-14,2020-12-31,PXD
7,0.56,USD,2021-02-04,CD,2021-03-30,4,2021-04-14,2021-03-31,PXD
8,0.56,USD,2021-05-27,CD,2021-06-29,4,2021-07-14,2021-06-30,PXD
9,1.51,USD,2021-08-02,SC,2021-09-02,0,2021-09-17,2021-09-03,PXD
10,0.56,USD,2021-08-26,CD,2021-09-29,4,2021-10-14,2021-09-30,PXD
11,3.02,USD,2021-11-03,SC,2021-11-29,0,2021-12-14,2021-11-30,PXD
12,0.62,USD,2021-11-03,CD,2021-12-30,4,2022-01-14,2021-12-31,PXD
13,3.78,USD,2022-02-16,CD,2022-02-25,4,2022-03-14,2022-02-28,PXD
14,7.38,USD,2022-05-04,CD,2022-05-27,4,2022-06-14,2022-05-31,PXD
