,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.5,USD,2019-01-16,CD,2019-02-12,4,2019-04-12,2019-02-13,SLB
1,0.5,USD,2019-04-17,CD,2019-06-04,4,2019-07-12,2019-06-05,SLB
2,0.5,USD,2019-07-19,CD,2019-09-03,4,2019-10-11,2019-09-04,SLB
3,0.5,USD,2019-10-18,CD,2019-12-03,4,2020-01-10,2019-12-04,SLB
4,0.5,USD,2020-01-17,CD,2020-02-11,4,2020-04-09,2020-02-12,SLB
5,0.125,USD,2020-04-16,CD,2020-06-02,4,2020-07-09,2020-06-03,SLB
6,0.125,USD,2020-07-24,CD,2020-09-01,4,2020-10-08,2020-09-02,SLB
7,0.125,USD,2020-10-15,CD,2020-12-01,4,2021-01-14,2020-12-02,SLB
8,0.125,USD,2021-01-21,CD,2021-02-16,4,2021-04-08,2021-02-17,SLB
9,0.125,USD,2021-04-23,CD,2021-06-01,4,2021-07-08,2021-06-02,SLB
10,0.125,USD,2021-07-22,CD,2021-08-31,4,2021-10-07,2021-09-01,SLB
11,0.125,USD,2021-10-21,CD,2021-11-30,4,2022-01-13,2021-12-01,SLB
12,0.125,USD,2022-01-20,CD,2022-02-08,4,2022-04-07,2022-02-09,SLB
13,0.175,USD,2022-04-21,CD,2022-05-31,4,2022-07-14,2022-06-01,SLB
14,0.175,USD,2022-07-21,CD,2022-09-06,4,2022-10-13,2022-09-07,SLB
