,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.9,USD,2019-01-24,CD,2019-02-12,4,2019-03-05,2019-02-13,VLO
1,0.9,USD,2019-04-30,CD,2019-05-14,4,2019-06-04,2019-05-15,VLO
2,0.9,USD,2019-07-18,CD,2019-08-05,4,2019-09-04,2019-08-06,VLO
3,0.9,USD,2019-10-31,CD,2019-11-19,4,2019-12-11,2019-11-20,VLO
4,0.98,USD,2020-01-23,CD,2020-02-11,4,2020-03-04,2020-02-12,VLO
5,0.98,USD,2020-04-24,CD,2020-05-13,4,2020-06-03,2020-05-14,VLO
6,0.98,USD,2020-07-16,CD,2020-08-03,4,2020-09-02,2020-08-04,VLO
7,0.98,USD,2020-10-28,CD,2020-11-17,4,2020-12-09,2020-11-18,VLO
8,0.98,USD,2021-01-28,CD,2021-02-10,4,2021-03-04,2021-02-11,VLO
9,0.98,USD,2021-04-19,CD,2021-05-14,4,2021-06-08,2021-05-17,VLO
10,0.98,USD,2021-07-15,CD,2021-08-04,4,2021-09-02,2021-08-05,VLO
11,0.98,USD,2021-10-27,CD,2021-11-17,4,2021-12-09,2021-11-18,VLO
12,0.98,USD,2022-01-20,CD,2022-02-02,4,2022-03-03,2022-02-03,VLO
13,0.98,USD,2022-04-28,CD,2022-05-11,4,2022-06-07,2022-05-12,VLO
14,0.98,USD,2022-07-21,CD,2022-08-03,4,2022-09-01,2022-08-04,VLO
