,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.38,USD,2019-02-20,CD,2019-03-07,4,2019-03-25,2019-03-08,WMB
1,0.38,USD,2019-05-09,CD,2019-06-06,4,2019-06-24,2019-06-07,WMB
2,0.38,USD,2019-08-14,CD,2019-09-12,4,2019-09-30,2019-09-13,WMB
3,0.38,USD,2019-11-07,CD,2019-12-12,4,2019-12-30,2019-12-13,WMB
4,0.4,USD,2020-01-28,CD,2020-03-12,4,2020-03-30,2020-03-13,WMB
5,0.4,USD,2020-04-28,CD,2020-06-11,4,2020-06-29,2020-06-12,WMB
6,0.4,USD,2020-07-29,CD,2020-09-10,4,2020-09-28,2020-09-11,WMB
7,0.4,USD,2020-10-27,CD,2020-12-10,4,2020-12-28,2020-12-11,WMB
8,0.41,USD,2021-01-26,CD,2021-03-11,4,2021-03-29,2021-03-12,WMB
9,0.41,USD,2021-04-27,CD,2021-06-10,4,2021-06-28,2021-06-11,WMB
10,0.41,USD,2021-07-28,CD,2021-09-09,4,2021-09-27,2021-09-10,WMB
11,0.41,USD,2021-10-26,CD,2021-12-09,4,2021-12-27,2021-12-10,WMB
12,0.425,USD,2022-02-01,CD,2022-03-10,4,2022-03-28,2022-03-11,WMB
13,0.425,USD,2022-04-26,CD,2022-06-09,4,2022-06-27,2022-06-10,WMB
14,0.425,USD,2022-07-25,CD,2022-09-08,4,2022-09-26,2022-09-09,WMB
