,cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,pay_date,record_date,ticker
0,0.82,USD,2019-01-30,CD,2019-02-08,4,2019-03-11,2019-02-11,XOM
1,0.87,USD,2019-04-24,CD,2019-05-10,4,2019-06-10,2019-05-13,XOM
2,0.87,USD,2019-07-31,CD,2019-08-12,4,2019-09-10,2019-08-13,XOM
3,0.87,USD,2019-10-30,CD,2019-11-08,4,2019-12-10,2019-11-12,XOM
4,0.87,USD,2020-01-29,CD,2020-02-10,4,2020-03-10,2020-02-11,XOM
5,0.87,USD,2020-04-29,CD,2020-05-12,4,2020-06-10,2020-05-13,XOM
6,0.87,USD,2020-07-29,CD,2020-08-12,4,2020-09-10,2020-08-13,XOM
7,0.87,USD,2020-10-29,CD,2020-11-10,4,2020-12-10,2020-11-12,XOM
8,0.87,USD,2021-01-27,CD,2021-02-09,4,2021-03-10,2021-02-10,XOM
9,0.87,USD,2021-04-29,CD,2021-05-12,4,2021-06-10,2021-05-13,XOM
10,0.87,USD,2021-07-28,CD,2021-08-12,4,2021-09-10,2021-08-13,XOM
11,0.88,USD,2021-10-27,CD,2021-11-10,4,2021-12-10,2021-11-12,XOM
12,0.88,USD,2022-01-26,CD,2022-02-09,4,2022-03-10,2022-02-10,XOM
13,0.88,USD,2022-04-27,CD,2022-05-12,4,2022-06-10,2022-05-13,XOM
