,DVN,MRO,CTRA,PSX,HAL,MPC,KMI,OXY,HES,VLO,XOM,CVX,BKR,FANG,EOG,COP,PXD,OKE,APA,WMB,SLB
0,9.96,5.13,3.31,60.27,11.79,35.31,14.19,16.16,45.33,53.23,42.66,85.4,15.06,37.1,44.95,39.66,91.0,26.59,12.52,18.56,17.38
1,10.43,5.37,3.31,61.96,12.48,36.2,14.55,16.68,47.48,54.4,44.07,88.35,15.56,39.28,47.28,41.31,95.66,27.22,13.51,19.1,18.39
2,10.74,5.69,3.4,65.46,13.0,37.57,14.96,17.18,48.66,57.23,44.63,88.89,15.6,39.9,47.46,41.62,96.59,28.83,13.82,20.08,18.9
3,10.67,5.72,3.43,64.87,13.09,37.39,14.99,17.01,48.67,56.58,44.28,88.36,15.39,39.51,47.82,41.59,96.82,28.85,13.87,19.9,18.82
4,10.29,5.51,3.43,63.84,13.08,37.93,14.92,16.28,47.87,55.47,43.52,87.19,15.27,39.02,47.16,39.96,96.52,28.67,13.29,19.77,18.62
5,10.27,5.49,3.34,62.33,13.41,36.75,14.5,15.69,48.2,54.33,42.5,85.27,15.05,38.58,47.7,39.33,96.91,28.25,13.6,19.29,18.44
6,11.35,5.86,3.29,66.42,14.32,38.54,15.09,17.41,52.26,57.58,44.65,91.39,16.31,42.11,50.42,41.66,102.72,29.98,14.9,20.11,19.56
7,11.07,5.79,3.12,65.25,14.18,38.73,14.89,16.95,52.09,57.07,43.61,91.04,16.46,41.7,50.19,40.89,102.51,29.5,14.51,19.45,19.17
8,10.88,5.76,3.26,65.18,14.75,38.88,14.49,16.82,51.04,57.67,43.7,91.01,16.69,41.07,48.85,40.46,100.66,28.96,14.39,19.32,19.3
9,10.7,5.72,3.7,65.06,14.71,38.7,14.25,16.74,50.46,57.98,43.43,90.13,16.37,40.73,49.04,40.28,99.68,28.72,14.2,19.21,19.48
10,10.43,5.63,3.47,64.59,14.9,38.52,14.2,16.7,50.29,58.03,44.07,91.04,16.33,40.05,48.56,39.77,98.52,28.02,13.685,18.83,19.68
11,10.34,5.53,3.62,63.58,14.65,38.12,14.12,16.35,48.1,56.89,43.55,89.11,15.87,38.88,47.27,38.96,96.55,28.06,13.32,18.87,19.15
12,10.84,5.74,4.26,65.58,15.07,39.91,14.53,17.03,50.0,59.69,44.03,90.07,15.81,40.76,48.5,39.94,98.54,29.72,13.65,19.77,19.43
13,10.34,5.51,4.39,63.09,14.67,38.08,14.32,15.77,47.54,56.33,41.87,86.27,15.33,39.51,46.58,37.64,95.85,29.04,16.01,19.34,18.44
14,10.49,5.49,3.97,62.02,14.33,38.2,14.1,15.74,49.21,56.23,42.08,83.94,15.49,39.86,46.85,37.39,96.92,27.91,15.35,19.13,18.14
15,10.6,5.52,4.13,61.12,14.53,38.57,14.03,15.25,49.84,53.91,42.25,84.81,15.63,40.01,46.37,36.71,97.84,28.12,15.72,19.72,18.72
16,11.09,5.78,4.13,61.85,15.11,37.69,14.5,15.74,50.68,53.02,43.47,86.49,16.19,41.07,48.46,37.64,99.52,29.19,15.88,21.34,19.23
17,12.04,5.98,3.75,61.96,15.32,36.43,14.44,15.94,53.61,51.62,43.85,87.2,16.76,41.63,50.75,38.02,102.65,30.49,16.24,21.29,19.5
18,11.77,5.68,3.6,60.97,14.82,35.73,14.3,15.45,53.39,51.48,43.64,87.47,16.77,40.73,50.89,38.05,102.36,29.11,15.6,20.82,19.32
19,12.11,5.74,4.0,62.87,14.89,36.67,14.32,15.45,53.03,52.66,43.44,86.8,16.57,42.01,48.81,38.3,104.28,29.47,15.54,20.85,19.63
20,12.64,6.04,4.55,64.87,15.61,37.13,14.54,16.48,55.14,53.55,44.51,89.73,17.26,44.67,50.46,39.64,108.99,30.22,16.28,21.54,20.22
