,v,vw,o,c,h,l,t,n
0,5579386.0,13.5061,13.6,13.32,13.83,13.3,2020-07-28,31161
1,8727325.0,13.8178,13.45,13.65,13.73,13.26,2020-07-29,44936
2,29990072.0,16.0381,15.65,16.01,16.615,15.36,2020-07-30,154419
3,12129270.0,15.4851,15.94,15.35,16.12,15.165,2020-07-31,72130
4,22822641.0,15.4349,15.32,15.72,16.11,14.99,2020-08-03,59050
5,7077529.0,15.8726,15.62,15.88,16.105,15.55,2020-08-04,46834
6,8381213.0,16.4092,16.5772,16.24,16.83,16.0418,2020-08-05,53661
7,6019254.0,15.7057,16.06,15.6,16.12,15.4,2020-08-06,40156
8,6973208.0,15.4446,15.47,15.54,15.6783,15.12,2020-08-07,44680
9,6887954.0,16.047,15.71,16.28,16.32,15.63,2020-08-10,45734
10,7763363.0,16.1321,16.75,15.59,16.75,15.52,2020-08-11,58825
11,7075270.0,15.6457,15.99,15.75,16.04,15.38,2020-08-12,43619
12,5657894.0,15.4848,15.52,15.42,15.86,15.29,2020-08-13,36951
13,3690003.0,15.4753,15.24,15.62,15.65,15.16,2020-08-14,26744
14,5205510.0,15.3233,15.55,15.335,15.55,15.16,2020-08-17,28494
15,4125401.0,15.3472,15.14,15.25,15.605,15.036,2020-08-18,24461
16,7361960.0,15.3952,15.35,15.34,15.65,15.24,2020-08-19,40148
17,5333182.0,14.775,15.05,14.74,15.15,14.6,2020-08-20,34758
18,4913394.0,14.3678,14.66,14.26,14.68,14.21,2020-08-21,29453
19,6219426.0,14.5403,14.4831,14.455,14.88,14.2743,2020-08-24,37481
20,4740107.0,14.5824,14.62,14.65,14.885,14.345,2020-08-25,30581
21,4377393.0,14.2405,14.65,14.08,14.65,14.06,2020-08-26,27449
22,5400072.0,14.4731,14.53,14.6,14.64,14.22,2020-08-27,33958
23,6731725.0,14.8429,14.56,15.045,15.08,14.5,2020-08-28,44435
24,5249357.0,14.8537,15.0,14.8,15.12,14.55,2020-08-31,33194
25,6818024.0,14.7057,14.67,14.94,14.96,14.3918,2020-09-01,45051
26,5915777.0,14.6428,14.98,14.42,15.07,14.39,2020-09-02,36181
27,6924008.0,14.4125,14.33,14.39,14.74,14.105,2020-09-03,43980
28,6929060.0,14.4974,14.52,14.6,14.885,14.13,2020-09-04,44383
29,13591214.0,13.232,14.09,13.04,14.18,13.015,2020-09-08,65489
30,8203376.0,13.0156,13.25,13.15,13.31,12.66,2020-09-09,48218
31,8334126.0,12.4369,13.15,12.01,13.19,12.01,2020-09-10,50239
32,8174844.0,11.9431,12.19,11.885,12.25,11.72,2020-09-11,49720
33,21156498.0,11.6578,11.81,11.93,12.11,11.29,2020-09-14,65281
34,8936140.0,12.1574,12.09,11.94,12.54,11.875,2020-09-15,50000
35,9672989.0,12.4177,12.05,12.5,12.77,11.875,2020-09-16,59217
36,8010401.0,12.3247,12.15,12.42,12.59,12.0,2020-09-17,51046
37,14052068.0,12.6322,12.59,12.65,12.865,12.42,2020-09-18,49991
38,7874007.0,12.0676,12.07,12.11,12.31,11.89,2020-09-21,44908
39,5702732.0,12.2528,12.19,12.24,12.5199,12.06,2020-09-22,35578
40,10280229.0,11.4848,12.25,11.1,12.45,11.1,2020-09-23,56564
41,9519157.0,10.9274,11.01,10.9,11.32,10.61,2020-09-24,62886
42,22848482.0,10.1342,10.74,9.85,10.825,9.835,2020-09-25,107333
43,15469922.0,10.2957,10.15,10.27,10.65,10.1006,2020-09-28,83648
44,13312598.0,9.6581,10.16,9.54,10.17,9.43,2020-09-29,74817
45,12557534.0,9.5691,9.63,9.47,9.79,9.385,2020-09-30,62677
46,15803520.0,9.2464,9.38,9.31,9.51,9.01,2020-10-01,76103
47,15061652.0,9.5813,8.83,9.74,9.895,8.75,2020-10-02,85891
48,11056971.0,9.805,9.97,9.84,10.13,9.62,2020-10-05,61463
49,13368021.0,9.7532,10.03,9.42,10.27,9.33,2020-10-06,62998
50,8830327.0,9.5074,9.6752,9.57,9.6752,9.37,2020-10-07,48703
51,10723623.0,9.8874,9.73,10.14,10.15,9.51,2020-10-08,48274
52,12229517.0,9.8364,10.27,9.67,10.42,9.61,2020-10-09,57850
53,12271915.0,9.2733,9.56,9.31,9.6,9.12,2020-10-12,57957
54,10119620.0,9.1374,9.24,9.14,9.3,8.9501,2020-10-13,49453
55,16333599.0,9.5273,9.28,9.2,9.95,9.19,2020-10-14,67577
56,16490659.0,9.3874,9.1,9.76,9.775,8.96,2020-10-15,72934
57,10041203.0,9.531,9.64,9.37,9.81,9.335,2020-10-16,50210
58,10772223.0,9.231,9.45,9.06,9.58,9.015,2020-10-19,53319
59,13204893.0,9.5305,9.22,9.61,9.855,9.18,2020-10-20,66959
60,11784127.0,9.2146,9.41,9.1,9.5,9.08,2020-10-21,56659
61,26479057.0,9.2034,9.1,9.44,9.48,9.02,2020-10-22,60045
62,8697020.0,9.3191,9.54,9.28,9.635,9.1299,2020-10-23,40734
63,13881294.0,8.6243,9.07,8.56,9.105,8.35,2020-10-26,60013
64,8028301.0,8.4024,8.56,8.345,8.6,8.32,2020-10-27,40371
65,13792210.0,7.8959,7.96,7.79,8.155,7.7,2020-10-28,70985
66,12689652.0,7.9431,7.67,8.19,8.22,7.445,2020-10-29,64479
67,11479710.0,8.1746,8.21,8.3,8.3,7.96,2020-10-30,54377
68,12978637.0,8.6437,8.415,8.885,8.96,7.98,2020-11-02,59114
69,10428686.0,8.8474,9.1,8.73,9.205,8.625,2020-11-03,53558
70,19236863.0,9.0522,8.749,8.99,9.3,8.4329,2020-11-04,73559
71,15996460.0,9.2768,9.19,8.97,9.585,8.95,2020-11-05,70792
72,12204499.0,8.6854,8.87,8.535,9.09,8.5,2020-11-06,52018
73,26861558.0,9.8634,9.73,9.75,10.52,9.59,2020-11-09,110941
74,18289516.0,9.9939,10.03,9.99,10.2,9.57,2020-11-10,67998
75,12631397.0,9.9062,10.27,9.95,10.38,9.7,2020-11-11,55429
76,13381651.0,9.8688,9.73,9.7,10.21,9.645,2020-11-12,52113
77,9907875.0,10.1993,9.86,10.32,10.375,9.8,2020-11-13,45446
78,11238852.0,10.9436,11.0,11.14,11.16,10.7125,2020-11-16,49504
79,11772969.0,11.2196,10.76,11.44,11.455,10.72,2020-11-17,33989
80,12374941.0,11.4737,11.6097,11.04,11.895,11.03,2020-11-18,55486
81,10344063.0,11.2325,11.0,11.35,11.405,10.89,2020-11-19,45402
82,7963705.0,11.3625,11.37,11.44,11.5,11.16,2020-11-20,38488
83,13446879.0,12.4184,11.67,12.86,12.89,11.64,2020-11-23,63744
84,18789061.0,14.003,13.56,14.04,14.35,13.39,2020-11-24,96863
85,10782962.0,14.0811,13.8,14.12,14.41,13.65,2020-11-25,59291
86,5393519.0,13.9801,14.1265,13.92,14.391,13.7601,2020-11-27,29974
87,11868696.0,13.2188,13.6723,12.89,13.76,12.85,2020-11-30,65464
88,12476167.0,12.6721,13.4,12.37,13.53,12.36,2020-12-01,63016
89,10107446.0,13.1678,12.33,13.11,13.56,12.2001,2020-12-02,52286
90,8372185.0,13.5842,13.24,13.74,13.96,12.97,2020-12-03,44435
91,13982280.0,14.7916,14.04,15.18,15.23,14.02,2020-12-04,70212
92,9997965.0,14.701,14.8484,14.61,15.04,14.39,2020-12-07,54761
93,10115684.0,14.83,14.38,14.76,15.26,14.3102,2020-12-08,57036
94,12417126.0,15.0149,15.07,15.02,15.43,14.59,2020-12-09,70152
95,16598198.0,16.3315,14.9698,16.5,16.86,14.91,2020-12-10,90545
96,8903476.0,16.0882,16.31,16.1,16.56,15.75,2020-12-11,51610
97,10583441.0,15.7459,16.6819,15.31,16.81,15.265,2020-12-14,54767
98,8781710.0,15.6559,15.5,15.89,16.09,15.06,2020-12-15,42192
99,7005329.0,15.8905,15.9525,15.8,16.245,15.54,2020-12-16,42316
100,7233335.0,15.7641,15.96,15.75,16.14,15.562,2020-12-17,39711
101,11712784.0,15.3984,15.7,15.33,15.93,15.185,2020-12-18,39633
102,7723298.0,14.815,14.25,14.85,15.19,14.2,2020-12-21,41204
103,7260829.0,14.3566,14.84,14.12,14.88,14.08,2020-12-22,40007
104,8416138.0,14.8087,14.33,14.78,15.17,14.31,2020-12-23,43733
105,3763210.0,14.4477,14.79,14.43,14.8,14.255,2020-12-24,20065
106,5494386.0,14.4075,14.52,14.21,14.82,14.15,2020-12-28,31394
107,6205129.0,14.1779,14.3,14.15,14.5,13.965,2020-12-29,38716
108,5937126.0,14.5244,14.1425,14.57,14.77,14.13,2020-12-30,33642
109,7479639.0,14.2922,14.4,14.19,14.528,14.06,2020-12-31,44412
110,9609944.0,14.6973,14.65,14.77,14.95,14.38,2021-01-04,54948
111,15103131.0,16.1565,14.86,16.18,16.728,14.86,2021-01-05,78026
112,13579063.0,16.6534,16.4035,16.84,17.075,15.69,2021-01-06,75821
113,8578188.0,17.1445,17.0,17.11,17.5,16.73,2021-01-07,48632
114,7760576.0,16.7464,17.36,16.58,17.45,16.3,2021-01-08,44394
115,6508894.0,16.4382,15.95,16.66,16.75,15.79,2021-01-11,36341
116,11540273.0,18.0479,17.07,18.53,18.55,16.91,2021-01-12,68173
117,7303334.0,17.9937,18.5,17.8,18.53,17.693,2021-01-13,45920
118,11194868.0,18.6483,18.3803,18.35,19.32,18.26,2021-01-14,65006
119,8919047.0,17.5098,18.03,17.27,18.0305,17.12,2021-01-15,56348
120,7088102.0,17.801,18.02,17.82,18.11,17.565,2021-01-19,41232
121,7111839.0,17.5122,18.0,17.47,18.2,17.18,2021-01-20,43133
122,10331962.0,16.6982,17.29,16.64,17.5,16.13,2021-01-21,60210
123,8273742.0,16.1874,16.1035,16.38,16.44,15.74,2021-01-22,50847
124,9155463.0,15.7167,16.18,15.73,16.18,15.31,2021-01-25,51916
125,8334067.0,15.742,16.165,15.3,16.61,15.29,2021-01-26,46340
126,12474778.0,15.1537,15.0157,14.6,15.98,14.545,2021-01-27,75030
127,8292742.0,14.9845,15.0,14.94,15.41,14.63,2021-01-28,55894
128,11384679.0,14.5522,14.82,14.28,15.44,14.03,2021-01-29,65439
129,10580311.0,14.9621,14.8201,15.12,15.37,14.57,2021-02-01,64691
130,12371568.0,15.8905,15.8,15.56,16.41,15.5434,2021-02-02,75931
131,9493998.0,16.3508,15.86,16.43,16.71,15.71,2021-02-03,54399
132,9448117.0,16.2017,16.55,16.32,16.62,15.75,2021-02-04,53666
133,7742721.0,16.366,16.62,16.22,16.85,16.085,2021-02-05,46263
134,10826289.0,17.4716,16.56,17.84,17.91,16.5033,2021-02-08,62031
135,7619853.0,17.3374,17.65,17.23,17.65,17.09,2021-02-09,44173
136,8233571.0,17.5448,17.412,17.61,17.99,17.19,2021-02-10,45133
137,7671389.0,16.9148,17.38,16.98,17.56,16.43,2021-02-11,43234
138,6788437.0,17.2221,16.71,17.48,17.535,16.54,2021-02-12,40845
139,12008653.0,18.5568,18.18,18.58,19.04,17.94,2021-02-16,63551
140,9440968.0,18.646,18.8403,18.69,19.06,18.23,2021-02-17,53883
141,7970860.0,17.975,18.46,17.63,18.53,17.6,2021-02-18,52973
142,7339988.0,18.0097,17.64,18.02,18.2854,17.44,2021-02-19,40130
143,9793811.0,19.2064,18.35,19.08,19.6,18.22,2021-02-22,66405
144,10431374.0,19.1572,19.26,19.75,19.85,17.6301,2021-02-23,70342
