,v,vw,o,c,h,l,t,n
0,5227417.0,15.952,16.16,15.87,16.27,15.77,2020-07-28,40672
1,8710062.0,15.5964,15.84,15.81,15.9,15.075,2020-07-29,54806
2,8423670.0,15.2289,15.41,15.33,15.53,14.86,2020-07-30,57463
3,15687379.0,15.4038,15.09,15.49,15.69,15.09,2020-07-31,67990
4,5272285.0,15.5927,15.35,15.63,15.89,15.05,2020-08-03,37150
5,4399419.0,16.0352,15.46,16.19,16.215,15.46,2020-08-04,28753
6,7129461.0,16.7602,16.55,16.76,17.01,16.22,2020-08-05,43501
7,5220129.0,16.736,16.69,16.77,16.85,16.5172,2020-08-06,38051
8,5302973.0,16.4049,16.38,16.57,16.59,16.175,2020-08-07,33778
9,6275788.0,17.2185,16.64,17.26,17.41,16.6,2020-08-10,41454
10,8050846.0,17.4535,17.54,17.18,17.775,17.12,2020-08-11,48410
11,5014895.0,17.42,17.48,17.53,17.64,17.215,2020-08-12,31486
12,4661894.0,17.1857,17.32,17.12,17.42,17.02,2020-08-13,29515
13,3845131.0,17.1964,16.96,17.23,17.35,16.93,2020-08-14,22702
14,5681340.0,16.6334,17.08,16.67,17.13,16.325,2020-08-17,34265
15,4522972.0,16.6275,16.54,16.46,17.01,16.4,2020-08-18,31161
16,3592368.0,16.3715,16.37,16.33,16.6,16.19,2020-08-19,26002
17,4652493.0,15.8282,16.14,15.73,16.14,15.7,2020-08-20,29208
18,5107642.0,15.4133,15.6,15.45,15.625,15.22,2020-08-21,29952
19,3556122.0,15.8562,15.49,15.91,16.15,15.49,2020-08-24,23015
20,3395359.0,15.7804,16.12,15.65,16.235,15.635,2020-08-25,21019
21,5089678.0,15.1543,15.53,15.05,15.59,14.96,2020-08-26,30487
22,6317246.0,14.8323,15.06,14.73,15.15,14.68,2020-08-27,38059
23,4394740.0,14.7723,14.78,14.8,14.915,14.645,2020-08-28,26732
24,8616529.0,14.3209,14.89,14.28,14.94,14.12,2020-08-31,46774
25,6157180.0,13.9185,14.06,13.88,14.19,13.76,2020-09-01,35189
26,7782951.0,14.0261,13.85,14.11,14.19,13.59,2020-09-02,47224
27,11922931.0,14.5433,14.55,14.55,14.85,14.3,2020-09-03,59743
28,9701756.0,14.5821,14.72,14.53,14.9157,14.37,2020-09-04,53855
29,11670717.0,13.9212,14.25,13.99,14.33,13.61,2020-09-08,70506
30,6697037.0,14.0609,14.17,14.12,14.22,13.88,2020-09-09,39246
31,8225883.0,13.9645,14.1,13.87,14.17,13.78,2020-09-10,55457
32,6942448.0,13.8505,13.89,13.95,13.97,13.545,2020-09-11,44954
33,8136910.0,14.5048,13.91,14.63,14.81,13.64,2020-09-14,51770
34,7473982.0,14.7581,14.64,14.71,14.93,14.55,2020-09-15,44709
35,9083737.0,15.0224,14.75,15.01,15.24,14.553,2020-09-16,45655
36,7702512.0,15.0714,14.8,15.19,15.25,14.48,2020-09-17,40509
37,9537067.0,15.1826,15.02,15.17,15.61,15.01,2020-09-18,35390
38,6742347.0,14.3266,14.77,14.33,14.81,14.13,2020-09-21,36033
39,4598270.0,14.4219,14.43,14.4,14.5825,14.215,2020-09-22,23976
40,6502758.0,13.7867,14.39,13.53,14.49,13.5,2020-09-23,40986
41,6924947.0,13.3264,13.35,13.32,13.605,13.1,2020-09-24,46007
42,6307172.0,13.1267,13.12,13.13,13.245,13.01,2020-09-25,34251
43,5557982.0,13.5332,13.43,13.47,13.68,13.345,2020-09-28,32605
44,4810142.0,13.1636,13.43,13.13,13.58,12.96,2020-09-29,28349
45,5778107.0,13.3144,13.17,13.29,13.535,13.15,2020-09-30,37907
46,5487193.0,12.7861,13.0,12.76,13.17,12.57,2020-10-01,32500
47,6032365.0,12.6132,12.29,12.65,12.86,12.13,2020-10-02,38056
48,6895507.0,12.9255,12.86,12.96,13.065,12.76,2020-10-05,33440
49,6262935.0,13.0078,13.23,12.76,13.31,12.74,2020-10-06,32332
50,5269604.0,12.8549,12.81,12.97,13.03,12.6015,2020-10-07,31468
51,5715013.0,13.2923,13.15,13.38,13.42,13.0,2020-10-08,32881
52,4407290.0,13.2373,13.42,13.2,13.61,13.11,2020-10-09,30769
53,4870666.0,13.0569,13.13,13.13,13.22,12.9,2020-10-12,27468
54,6992551.0,12.8546,13.05,12.86,13.085,12.74,2020-10-13,37479
55,8861009.0,13.3575,12.87,13.15,13.64,12.81,2020-10-14,54271
56,7110677.0,13.3196,12.89,13.45,13.545,12.83,2020-10-15,42412
57,8107022.0,13.2499,13.33,13.14,13.46,13.12,2020-10-16,48619
58,7547127.0,13.3144,13.38,13.11,13.63,13.0818,2020-10-19,43774
59,9836310.0,13.576,13.34,13.63,13.7063,13.28,2020-10-20,59526
60,11012764.0,14.0208,13.4,14.04,14.34,13.28,2020-10-21,67291
61,7567323.0,14.2799,14.17,14.46,14.52,13.97,2020-10-22,54171
62,7045037.0,14.299,14.59,14.29,14.68,14.06,2020-10-23,36459
63,4227367.0,13.8757,14.06,13.9,14.06,13.7,2020-10-26,27251
64,5928596.0,13.9814,13.83,14.17,14.21,13.62,2020-10-27,36760
65,10017902.0,13.7782,13.78,13.7,14.025,13.62,2020-10-28,55053
66,9657518.0,13.9895,13.5,14.35,14.36,13.36,2020-10-29,54165
67,10500916.0,14.5864,14.26,14.77,14.79,14.18,2020-10-30,58197
68,10460471.0,15.4937,15.0,15.71,15.93,14.8,2020-11-02,70259
69,8671892.0,15.8642,15.98,15.88,16.165,15.59,2020-11-03,58595
70,7729495.0,15.7401,15.74,15.66,16.05,15.24,2020-11-04,52502
71,6502555.0,15.767,15.59,15.73,15.99,15.55,2020-11-05,40560
72,7079793.0,15.573,15.52,15.57,15.94,15.355,2020-11-06,44244
73,14244611.0,17.6665,17.41,17.67,18.44,16.92,2020-11-09,95570
74,10051344.0,17.4428,17.7,17.6,18.22,17.07,2020-11-10,67702
75,5791139.0,17.4782,17.85,17.56,17.9,17.17,2020-11-11,36262
76,7605369.0,17.2589,17.22,17.25,17.51,16.95,2020-11-12,48510
77,4660557.0,17.6847,17.51,17.87,17.94,17.38,2020-11-13,35634
78,8430860.0,18.7517,18.67,18.79,19.09,18.175,2020-11-16,53994
79,11253322.0,19.0579,18.44,19.26,19.4,18.315,2020-11-17,65108
80,8289953.0,18.968,19.36,18.58,19.36,18.57,2020-11-18,60739
81,9394829.0,18.2244,18.39,18.31,18.58,18.01,2020-11-19,63649
82,7578412.0,18.1577,18.16,18.21,18.27,17.975,2020-11-20,49345
83,8744546.0,19.0895,18.49,19.26,19.39,18.33,2020-11-23,49796
84,9123463.0,20.168,20.0,20.26,20.415,19.7,2020-11-24,64916
85,8724136.0,19.7193,19.81,19.78,19.895,19.49,2020-11-25,60545
86,2415200.0,19.747,19.73,19.78,19.85,19.6,2020-11-27,19881
87,12052279.0,19.0491,19.52,18.72,19.705,18.7,2020-11-30,62893
88,6559685.0,19.3041,19.39,19.23,19.515,19.15,2020-12-01,51286
89,6759958.0,19.6776,19.04,19.67,20.01,18.91,2020-12-02,49024
90,6926264.0,20.2822,19.87,20.42,20.62,19.69,2020-12-03,49014
91,11726635.0,21.4766,20.82,21.79,21.79,20.735,2020-12-04,77289
92,7073219.0,21.8541,21.56,22.02,22.07,21.36,2020-12-07,49840
93,6806967.0,22.2187,21.56,22.42,22.48,21.51,2020-12-08,58336
94,7496094.0,22.7964,22.65,22.73,23.29,22.4,2020-12-09,58247
95,5538184.0,23.179,22.33,23.12,23.49,22.25,2020-12-10,44742
96,6164897.0,22.6928,22.85,22.67,23.05,22.42,2020-12-11,44353
97,8429409.0,21.8498,22.95,21.68,23.0,21.54,2020-12-14,55168
98,6085076.0,21.9116,21.77,22.01,22.19,21.48,2020-12-15,41949
99,6011250.0,21.5376,21.85,21.5,21.85,21.19,2020-12-16,44340
100,4824892.0,21.4672,21.67,21.5,21.86,21.135,2020-12-17,36892
101,13510730.0,21.2365,21.41,21.17,21.68,20.93,2020-12-18,42132
102,5465500.0,21.1462,20.3,21.25,21.42,20.29,2020-12-21,38176
103,5462592.0,21.3003,21.22,21.19,21.62,21.11,2020-12-22,37922
104,3954803.0,21.2729,21.38,21.13,21.59,21.04,2020-12-23,31890
105,1231122.0,20.9856,21.2,21.01,21.24,20.85,2020-12-24,10732
106,3260254.0,20.9408,21.19,20.88,21.19,20.75,2020-12-28,27575
107,3808749.0,20.7706,21.1,20.75,21.215,20.61,2020-12-29,30701
108,3620174.0,21.1598,20.74,21.21,21.33,20.73,2020-12-30,32417
109,2830764.0,20.9005,21.17,20.85,21.17,20.76,2020-12-31,23610
110,5033733.0,21.0681,21.22,21.02,21.485,20.815,2021-01-04,32544
111,7818065.0,21.5452,21.36,21.26,22.05,21.24,2021-01-05,54744
