,v,vw,o,c,h,l,t,n
0,6227724.0,39.2452,39.57,38.96,39.96,38.8,2020-07-28,43368
1,6373429.0,39.3572,38.97,39.94,39.94,38.6,2020-07-29,47610
2,13532551.0,37.3529,38.12,37.64,38.4699,35.9,2020-07-30,101145
3,7789836.0,37.1627,37.05,37.39,37.6,36.705,2020-07-31,64059
4,8159279.0,36.9604,37.27,36.71,37.39,36.69,2020-08-03,65045
5,5874512.0,37.5562,36.66,37.64,38.065,36.47,2020-08-04,46856
6,7421623.0,38.1533,38.5,38.02,38.69,37.71,2020-08-05,52467
7,6664294.0,38.0063,37.64,38.05,38.43,37.61,2020-08-06,49883
8,4502583.0,37.9496,37.87,38.3,38.39,37.355,2020-08-07,39993
9,5658315.0,39.3293,38.51,39.64,39.67,38.45,2020-08-10,43587
10,8066097.0,40.439,40.57,39.71,41.15,39.58,2020-08-11,62160
11,11893234.0,41.2669,40.37,41.66,41.68,40.25,2020-08-12,73157
12,8369133.0,41.1361,41.15,40.63,41.825,40.62,2020-08-13,61632
13,3409499.0,40.6999,40.22,40.82,41.0,39.96,2020-08-14,31050
14,6183835.0,40.4349,40.75,40.7,40.98,39.91,2020-08-17,45811
15,5768269.0,40.4645,40.62,40.33,41.325,40.13,2020-08-18,45796
16,4591496.0,39.8791,40.11,39.65,40.32,39.52,2020-08-19,37990
17,4087933.0,38.9124,39.06,38.77,39.31,38.73,2020-08-20,32759
18,5263614.0,38.2821,38.64,38.16,38.81,37.9454,2020-08-21,40141
19,5439033.0,38.8103,38.34,38.87,39.56,38.085,2020-08-24,42852
20,4230645.0,38.85,39.41,38.85,39.45,38.45,2020-08-25,35285
21,6807296.0,38.0023,38.83,37.56,38.955,37.52,2020-08-26,46284
22,6288812.0,37.9194,37.77,38.15,38.28,37.5,2020-08-27,50927
23,5114471.0,38.2617,38.33,38.38,38.46,37.88,2020-08-28,43339
24,6241158.0,37.9731,38.35,37.89,38.45,37.57,2020-08-31,43864
25,6472528.0,37.1833,37.42,37.16,37.6,36.615,2020-09-01,49773
26,7522375.0,36.6402,37.0,36.38,37.165,36.3799,2020-09-02,57458
27,8916580.0,36.241,36.03,35.99,36.87,35.84,2020-09-03,67006
28,8363752.0,36.031,36.36,35.86,36.69,35.67,2020-09-04,70475
29,9443808.0,34.2708,35.3,34.06,35.3,33.74,2020-09-08,82240
30,6648185.0,34.5556,34.85,34.46,34.85,34.215,2020-09-09,51765
31,8663742.0,33.4507,34.43,32.92,34.515,32.86,2020-09-10,61720
32,6874365.0,33.1241,32.88,33.11,33.435,32.64,2020-09-11,54251
33,5521509.0,33.5455,33.24,33.52,33.865,33.01,2020-09-14,47420
34,8396663.0,33.8238,33.73,33.8,34.215,33.61,2020-09-15,60996
35,9315520.0,34.8588,34.12,35.08,35.525,33.65,2020-09-16,63379
36,13233409.0,35.5951,34.4,36.09,36.11,34.16,2020-09-17,81740
37,13286799.0,35.8336,35.8,35.87,36.45,35.4,2020-09-18,70330
38,11409048.0,34.3451,34.81,34.36,35.08,34.09,2020-09-21,70591
39,8036539.0,34.3173,34.34,34.3,34.81,34.01,2020-09-22,52454
40,7783245.0,33.36,34.36,32.92,34.59,32.88,2020-09-23,54181
41,7218736.0,33.4007,32.81,33.6,34.26,32.46,2020-09-24,60978
42,5348840.0,33.5038,33.09,33.7,33.99,32.98,2020-09-25,43498
43,9053602.0,33.9927,34.34,33.71,34.74,33.615,2020-09-28,65776
44,6763810.0,32.6939,33.72,32.46,33.78,32.1703,2020-09-29,59267
45,8175513.0,32.8813,32.73,32.84,33.29,32.545,2020-09-30,54139
46,8049727.0,32.1765,32.23,32.43,32.74,31.6947,2020-10-01,65223
47,7237170.0,32.7773,31.58,33.07,33.29,31.45,2020-10-02,57279
48,5719276.0,33.9958,33.56,34.28,34.31,33.2316,2020-10-05,43620
49,6747564.0,33.9931,34.88,33.3,35.08,33.12,2020-10-06,53800
50,6688946.0,33.9856,33.47,34.33,34.53,33.315,2020-10-07,56304
51,6828842.0,35.116,34.5,35.53,35.615,34.3,2020-10-08,56183
52,6443076.0,35.1513,35.94,35.13,35.97,34.835,2020-10-09,47553
53,7305515.0,35.4582,35.07,35.59,35.835,34.73,2020-10-12,47095
54,8220053.0,35.0758,35.53,34.88,36.0,34.7,2020-10-13,59471
55,9971771.0,34.9219,34.04,34.53,35.53,34.04,2020-10-14,79286
56,8747359.0,34.9339,33.87,35.4,35.4682,33.67,2020-10-15,64579
57,8599324.0,34.2975,34.81,33.77,34.97,33.75,2020-10-16,56411
58,21827296.0,33.4874,34.12,32.7,34.2,32.68,2020-10-19,170911
59,19374370.0,32.5534,32.91,32.58,33.05,32.07,2020-10-20,151879
60,19315960.0,31.2098,32.17,30.64,32.41,30.58,2020-10-21,135699
61,15139780.0,31.4335,30.62,31.91,31.97,30.47,2020-10-22,112865
62,15453985.0,32.5987,32.27,32.54,33.185,31.92,2020-10-23,134499
63,11640679.0,30.6418,31.76,30.32,31.93,30.08,2020-10-26,94481
64,13023940.0,30.3498,30.16,30.26,30.69,29.96,2020-10-27,79491
65,15413220.0,29.0735,29.36,28.79,29.81,28.55,2020-10-28,117914
66,15650573.0,28.7134,28.12,29.16,29.185,27.53,2020-10-29,112885
67,15796731.0,28.3108,28.93,28.62,28.97,27.63,2020-10-30,118473
68,13911762.0,29.8774,29.42,30.23,30.55,28.51,2020-11-02,102706
69,12219036.0,29.617,30.72,29.31,30.74,29.14,2020-11-03,83023
70,15329800.0,30.2343,29.59,30.38,30.6221,29.21,2020-11-04,107030
71,10428637.0,30.4149,30.1,30.12,30.91,30.04,2020-11-05,83543
72,10541058.0,29.4734,30.13,29.19,30.65,29.03,2020-11-06,75795
73,18351344.0,33.6398,33.16,33.38,34.83,32.87,2020-11-09,125489
74,20824909.0,34.8244,34.35,35.53,35.54,33.59,2020-11-10,134545
75,17362131.0,35.6237,35.96,35.28,36.2,35.06,2020-11-11,109992
76,11057109.0,34.3629,34.6,34.01,35.2123,33.6,2020-11-12,75306
77,12056123.0,34.9618,34.35,35.36,35.56,34.25,2020-11-13,81358
78,18879269.0,37.4796,36.95,38.08,38.13,36.4,2020-11-16,117223
79,14600117.0,38.3843,37.52,38.85,39.13,37.235,2020-11-17,101995
80,23430906.0,39.9437,38.96,39.18,40.87,38.65,2020-11-18,157621
81,12646728.0,39.1184,38.71,39.47,39.61,38.38,2020-11-19,91228
82,12245634.0,39.6296,39.31,39.65,39.93,39.14,2020-11-20,87277
83,14764723.0,41.8708,40.36,42.71,42.84,40.27,2020-11-23,97268
84,15703659.0,44.4602,44.08,44.41,45.359,43.78,2020-11-24,115046
85,15700956.0,43.9716,44.0,43.63,44.44,43.355,2020-11-25,105566
86,4693972.0,42.8881,43.4,42.78,43.91,42.4,2020-11-27,36469
87,20393791.0,40.2143,41.93,39.56,42.04,39.54,2020-11-30,102092
88,12611753.0,39.7833,40.9,39.27,40.95,39.215,2020-12-01,97084
89,12573056.0,40.1342,39.18,39.97,40.965,38.83,2020-12-02,99253
90,16288968.0,41.2097,40.05,41.2,42.15,39.63,2020-12-03,97489
91,12859285.0,43.731,42.29,44.27,44.35,42.11,2020-12-04,99166
92,10685459.0,42.924,43.35,42.82,43.44,42.52,2020-12-07,85709
93,10756787.0,42.5885,42.0,42.68,43.44,41.7,2020-12-08,78215
94,10871401.0,42.4839,43.28,42.7,43.5,41.72,2020-12-09,92455
95,15090498.0,43.7311,42.61,44.0,44.22,42.45,2020-12-10,90679
96,14395287.0,43.4582,43.51,43.48,43.82,43.17,2020-12-11,93699
97,17174532.0,42.6917,44.08,42.32,44.25,42.26,2020-12-14,98817
98,9940133.0,42.4495,42.66,42.8,42.98,41.705,2020-12-15,72992
99,9371247.0,42.4831,42.85,42.32,42.935,42.13,2020-12-16,71964
100,9372026.0,41.8926,42.77,41.97,42.77,41.62,2020-12-17,68702
101,21916993.0,41.1442,41.99,40.98,42.2,40.73,2020-12-18,81683
102,11242148.0,40.1881,39.41,40.24,40.916,38.93,2020-12-21,95993
103,9284187.0,39.4648,40.2,39.03,40.28,38.88,2020-12-22,65687
104,6220789.0,40.1192,39.41,40.08,40.71,39.33,2020-12-23,52234
105,3581459.0,39.3923,40.01,39.49,40.01,38.96,2020-12-24,28525
106,6261203.0,39.503,39.56,39.3,40.47,39.1,2020-12-28,48148
107,7088436.0,39.1358,39.36,39.07,39.94,38.77,2020-12-29,58950
108,6339376.0,39.7467,38.99,40.01,40.04,38.81,2020-12-30,46418
109,7685402.0,39.9995,39.91,39.99,40.29,39.61,2020-12-31,57978
110,8711195.0,39.6903,40.5,39.57,40.65,39.18,2021-01-04,78299
111,12501953.0,41.6099,40.24,41.84,42.87,40.0,2021-01-05,91239
112,11167501.0,43.3047,42.53,43.51,43.945,41.92,2021-01-06,89673
113,9753692.0,44.4705,44.05,44.7,44.99,43.595,2021-01-07,73787
114,9553632.0,44.8251,45.0,44.7,45.48,44.185,2021-01-08,66821
115,10967556.0,45.1474,44.1,45.36,45.71,43.31,2021-01-11,74470
116,13164651.0,47.0423,46.02,47.42,47.67,45.72,2021-01-12,95043
117,11952858.0,46.9948,47.35,47.03,47.47,46.6,2021-01-13,86988
118,12965874.0,47.6874,47.42,47.87,48.29,46.77,2021-01-14,90540
119,30479652.0,45.4866,47.28,45.12,47.28,44.525,2021-01-15,199607
120,14698033.0,45.7458,45.15,46.0,46.15,44.86,2021-01-19,88330
121,21285857.0,45.582,46.37,45.36,46.49,45.3,2021-01-20,90470
122,17026915.0,43.5319,45.41,43.19,45.7,42.7,2021-01-21,109251
123,9723213.0,42.5613,42.06,42.69,42.98,41.75,2021-01-22,68179
124,10851607.0,42.0825,42.13,42.58,42.63,41.24,2021-01-25,79655
125,7779750.0,42.1664,43.07,41.68,43.7,41.61,2021-01-26,54360
126,9000479.0,41.0991,40.98,40.65,42.09,40.21,2021-01-27,78816
127,10416027.0,41.0641,41.11,41.11,41.64,40.375,2021-01-28,71721
128,11757353.0,40.3993,40.61,40.03,41.46,39.98,2021-01-29,78271
129,9356279.0,40.3908,40.43,40.71,40.98,39.7,2021-02-01,76988
130,8966742.0,41.4652,41.55,40.97,42.3,40.9,2021-02-02,72582
131,11251176.0,42.7777,41.25,43.21,43.625,41.01,2021-02-03,79803
132,11481646.0,43.4962,43.61,44.01,44.02,42.59,2021-02-04,74643
