,v,vw,o,c,h,l,t,n
0,76149.0,3.5693,3.47,3.62,3.64,3.47,2020-07-28,790
1,167440.0,4.0735,3.56,4.26,4.28,3.56,2020-07-29,990
2,298126.0,4.49,4.3,4.39,5.0,4.1401,2020-07-30,1902
3,133746.0,4.0966,4.36,3.97,4.6799,3.85,2020-07-31,1181
4,74483.0,4.1292,4.02,4.13,4.25,3.97,2020-08-03,1015
5,119902.0,4.0808,4.09,4.13,4.33,3.97,2020-08-04,1165
6,162007.0,3.9091,4.26,3.75,4.33,3.71,2020-08-05,1394
7,140480.0,3.631,3.7,3.6,3.87,3.56,2020-08-06,1127
8,249154.0,3.8342,3.51,4.0,4.24,3.48,2020-08-07,1688
9,210471.0,4.4828,4.12,4.55,4.72,4.0661,2020-08-10,1428
10,251145.0,4.7797,4.57,4.72,4.9775,4.57,2020-08-11,2006
11,88080.0,4.6723,4.71,4.71,4.88,4.4701,2020-08-12,1169
12,99045.0,4.5417,4.63,4.52,4.76,4.37,2020-08-13,994
13,109862.0,4.7704,4.5,4.69,4.93,4.43,2020-08-14,949
14,162824.0,4.4598,4.65,4.51,4.65,4.3149,2020-08-17,1295
15,76899.0,4.6818,4.46,4.75,4.84,4.46,2020-08-18,789
16,98654.0,4.8017,4.75,4.6,4.9702,4.57,2020-08-19,835
17,69248.0,4.6738,4.55,4.69,4.85,4.51,2020-08-20,817
18,124286.0,4.4747,4.68,4.49,4.705,4.31,2020-08-21,754
19,36032.0,4.5211,4.48,4.52,4.6,4.405,2020-08-24,376
20,56251.0,4.3654,4.61,4.32,4.61,4.26,2020-08-25,493
21,76591.0,4.0411,4.33,3.97,4.4239,3.87,2020-08-26,722
22,71671.0,3.9157,3.93,3.84,4.0965,3.83,2020-08-27,747
23,89885.0,4.1889,3.89,4.33,4.44,3.89,2020-08-28,935
24,78211.0,4.0852,4.33,4.14,4.33,3.94,2020-08-31,675
25,61540.0,4.2104,4.01,4.18,4.43,3.9985,2020-09-01,477
26,50455.0,4.1066,4.22,4.12,4.22,4.02,2020-09-02,447
27,63442.0,4.2255,4.1,4.23,4.3055,4.1,2020-09-03,483
28,87719.0,4.0129,4.25,4.04,4.28,3.93,2020-09-04,669
29,93108.0,3.9864,3.92,3.98,4.29,3.92,2020-09-08,680
30,42033.0,3.9679,3.95,4.0,4.03,3.93,2020-09-09,519
31,109692.0,4.2347,4.02,4.12,4.4,3.96,2020-09-10,899
32,51589.0,4.2308,4.13,4.28,4.36,4.13,2020-09-11,691
33,183114.0,4.576,4.32,4.69,4.8,4.25,2020-09-14,1110
34,322116.0,5.5274,4.7,5.37,6.04,4.7,2020-09-15,2278
35,330650.0,6.1333,5.45,6.01,6.57,5.45,2020-09-16,3138
36,510670.0,6.4233,5.83,6.0,7.16,5.7725,2020-09-17,3668
37,828095.0,7.5526,5.97,8.14,8.35,5.9614,2020-09-18,4673
38,408811.0,7.6202,7.73,7.77,8.18,7.1,2020-09-21,2746
39,416872.0,8.618,7.88,8.66,9.1626,7.88,2020-09-22,2955
40,705931.0,9.4783,8.9,9.1,10.2633,8.7101,2020-09-23,5088
41,337896.0,8.0787,8.81,7.93,8.9,7.52,2020-09-24,2435
42,174591.0,8.3479,7.98,8.27,8.8713,7.94,2020-09-25,1460
43,164440.0,8.228,8.23,8.18,8.5,8.1,2020-09-28,1401
44,204742.0,7.4054,8.11,7.33,8.1399,7.01,2020-09-29,1653
45,118437.0,7.2764,7.14,7.32,7.59,7.14,2020-09-30,1034
46,94669.0,7.308,7.3,7.42,7.47,7.1261,2020-10-01,1254
47,111716.0,7.7607,7.18,7.92,7.9782,7.18,2020-10-02,1199
48,112821.0,7.7974,7.94,7.81,8.16,7.51,2020-10-05,680
49,102420.0,7.9881,7.8,7.89,8.2,7.5,2020-10-06,872
50,115412.0,8.0144,7.86,8.2,8.35,7.69,2020-10-07,1259
51,92503.0,8.6457,8.24,8.71,8.95,8.0752,2020-10-08,774
52,58494.0,8.225,8.69,8.06,8.81,7.99,2020-10-09,600
53,38044.0,7.9423,8.05,8.0,8.1786,7.76,2020-10-12,459
54,55282.0,7.7312,8.0,7.62,8.1,7.59,2020-10-13,691
55,43146.0,7.9175,7.68,7.81,8.06,7.68,2020-10-14,404
56,107160.0,7.5599,7.72,7.37,7.914,7.36,2020-10-15,885
57,41049.0,7.3789,7.33,7.35,7.5,7.31,2020-10-16,456
58,67676.0,7.3771,7.35,7.33,7.67,7.27,2020-10-19,790
59,52024.0,7.5886,7.51,7.58,7.77,7.405,2020-10-20,535
60,32671.0,7.736,7.51,7.65,7.86,7.51,2020-10-21,390
61,73291.0,7.9567,7.62,8.13,8.28,7.62,2020-10-22,648
62,82220.0,8.4114,8.25,8.38,8.57,8.25,2020-10-23,619
63,71238.0,8.0458,8.14,8.04,8.2843,7.99,2020-10-26,817
64,39090.0,8.0361,8.04,7.95,8.4,7.92,2020-10-27,403
65,154090.0,7.6248,7.94,7.48,8.0,7.46,2020-10-28,1197
66,192632.0,7.1401,7.48,6.85,7.53,6.7201,2020-10-29,1192
67,76867.0,6.5072,6.8,6.45,6.825,6.37,2020-10-30,815
68,45478.0,6.651,6.52,6.94,6.96,6.42,2020-11-02,464
69,38769.0,7.1388,7.0,7.59,7.6,6.83,2020-11-03,472
70,59854.0,6.883,7.52,6.64,7.53,6.56,2020-11-04,725
71,48097.0,7.0951,6.65,7.26,7.39,6.65,2020-11-05,478
72,56186.0,7.4468,7.25,7.53,7.75,7.06,2020-11-06,510
73,98907.0,7.855,7.75,7.98,8.3599,7.52,2020-11-09,926
74,64752.0,8.186,7.95,8.32,8.35,7.8,2020-11-10,832
75,66948.0,8.3839,8.32,8.31,8.6,8.09,2020-11-11,890
76,46855.0,8.2509,8.39,8.03,8.39,8.0,2020-11-12,518
77,68664.0,8.4743,8.14,8.31,8.71,8.11,2020-11-13,558
78,93523.0,8.41,8.42,8.25,8.62,8.25,2020-11-16,957
79,108874.0,8.192,8.25,8.1,8.35,8.03,2020-11-17,1270
80,146786.0,8.2481,8.15,7.75,8.68,7.72,2020-11-18,1253
81,101382.0,7.6277,7.75,7.54,7.83,7.43,2020-11-19,1196
82,93750.0,7.3935,7.5,7.21,7.545,7.21,2020-11-20,911
83,101013.0,7.2201,6.98,7.14,7.5,6.96,2020-11-23,1039
84,130484.0,7.7633,7.23,7.69,8.19,7.23,2020-11-24,1233
85,109932.0,7.8133,7.67,7.79,8.01,7.46,2020-11-25,966
86,81371.0,8.0009,7.77,7.99,8.24,7.72,2020-11-27,766
87,89114.0,7.5825,7.86,7.4,7.97,7.4,2020-11-30,814
88,52095.0,7.4847,7.53,7.27,7.86,7.27,2020-12-01,625
89,116829.0,7.1498,7.37,7.16,7.39,6.98,2020-12-02,1101
90,243678.0,7.1695,7.19,7.29,7.35,6.99,2020-12-03,2098
91,179734.0,7.7534,7.39,7.6,8.02,7.39,2020-12-04,1617
92,287533.0,8.5086,7.6,8.99,9.1,7.55,2020-12-07,2503
93,483419.0,10.5796,8.99,10.55,11.39,8.99,2020-12-08,4663
94,383265.0,11.939,10.55,12.61,12.69,10.55,2020-12-09,3510
95,335093.0,13.4727,12.65,13.77,14.21,12.16,2020-12-10,3075
96,172972.0,13.8696,13.88,13.5,14.32,13.23,2020-12-11,2037
97,146289.0,13.3328,13.46,13.1,14.05,12.54,2020-12-14,1811
98,154306.0,12.5283,13.3,12.8,13.3,12.16,2020-12-15,1941
99,151085.0,12.7458,12.84,12.69,13.25,12.21,2020-12-16,1536
100,221269.0,13.3263,12.76,13.5,14.11,12.255,2020-12-17,2287
101,209445.0,13.0143,13.55,12.98,13.77,12.71,2020-12-18,1442
102,155908.0,12.766,12.95,12.77,13.16,12.17,2020-12-21,1584
103,87185.0,12.5216,12.91,12.46,12.97,12.16,2020-12-22,1336
104,116145.0,12.7662,12.51,12.71,13.2,12.32,2020-12-23,1709
105,44783.0,12.4524,12.66,12.39,12.95,12.25,2020-12-24,528
106,150011.0,12.3604,12.41,12.31,12.81,11.76,2020-12-28,1465
107,95938.0,11.4324,12.32,11.28,12.43,11.07,2020-12-29,951
108,55548.0,11.4491,11.33,11.57,11.79,11.12,2020-12-30,726
109,53463.0,11.4416,11.52,11.37,11.77,11.26,2020-12-31,698
110,119015.0,11.0495,11.35,10.96,11.75,10.62,2021-01-04,1435
111,118917.0,11.0998,11.05,10.77,11.58,10.52,2021-01-05,1014
112,134511.0,11.5555,11.05,11.61,11.89,10.73,2021-01-06,1498
113,72350.0,11.8147,11.76,11.94,12.01,11.55,2021-01-07,638
114,217907.0,12.1887,12.0,12.22,12.44,11.68,2021-01-08,1515
115,150550.0,13.0651,12.07,13.43,13.74,11.95,2021-01-11,1678
116,149251.0,13.7222,13.4,13.83,14.01,13.11,2021-01-12,1651
117,79192.0,13.4818,13.85,13.63,13.99,13.27,2021-01-13,1359
118,196400.0,13.8808,13.81,14.1,14.25,13.5,2021-01-14,1982
119,127644.0,14.0052,13.79,14.02,14.31,13.63,2021-01-15,1303
120,93953.0,14.1717,14.2,14.23,14.37,13.9,2021-01-19,1553
121,98819.0,14.016,14.25,14.02,14.35,13.68,2021-01-20,1034
122,182460.0,13.5489,13.91,13.85,14.22,13.14,2021-01-21,1921
123,94618.0,13.3037,13.81,13.17,13.92,13.14,2021-01-22,1222
124,121390.0,12.6861,13.18,12.68,13.24,12.24,2021-01-25,1081
125,56194.0,12.4836,12.98,12.18,13.0,12.05,2021-01-26,937
126,122852.0,11.9284,11.89,11.54,12.7826,11.22,2021-01-27,1120
127,84798.0,12.0704,11.73,12.0,12.51,11.34,2021-01-28,925
128,71565.0,11.4182,12.01,11.34,12.16,11.04,2021-01-29,921
129,70573.0,11.6652,11.45,11.63,12.17,11.06,2021-02-01,784
130,105360.0,12.926,12.14,12.93,13.4,12.14,2021-02-02,1043
131,143933.0,13.3906,13.03,13.34,13.74,12.44,2021-02-03,959
132,94329926.0,22.7804,22.68,22.77,23.64,22.38,2021-10-04,96170
133,18917513.0,22.8072,23.1,22.65,23.58,22.24,2021-10-05,102108
134,16499000.0,22.0073,22.24,22.07,22.64,21.505,2021-10-06,86771
135,12577176.0,22.0428,22.05,22.01,22.35,21.895,2021-10-07,74781
136,9189157.0,22.2081,22.32,22.27,22.79,22.0,2021-10-08,59261
137,9324409.0,21.9006,22.69,21.52,22.69,21.45,2021-10-11,49030
138,9741314.0,21.3427,21.555,21.45,21.67,21.05,2021-10-12,58426
139,10633390.0,20.9205,20.83,20.9,21.095,20.67,2021-10-13,55898
140,8080005.0,20.8337,21.18,20.75,21.28,20.665,2021-10-14,45187
141,9945308.0,20.5063,21.1,20.34,21.1,20.22,2021-10-15,56131
142,10330548.0,20.5195,20.84,20.4,21.23,20.26,2021-10-18,64469
143,7418888.0,20.6703,20.45,20.86,20.885,20.19,2021-10-19,41859
144,9979391.0,21.1531,20.78,21.41,21.445,20.66,2021-10-20,48894
145,8732317.0,20.8545,21.22,20.78,21.35,20.55,2021-10-21,45289
146,6430937.0,21.1856,21.38,21.29,21.571,20.81,2021-10-22,39136
147,9177841.0,22.278,21.56,22.56,22.59,21.53,2021-10-25,52356
148,6521885.0,22.5192,22.56,22.47,22.71,22.3,2021-10-26,39735
