,v,vw,o,c,h,l,t,n
0,6871904.0,89.3814,90.47,89.11,91.17,88.77,2020-07-28,63831
1,6490174.0,89.3323,89.48,90.07,90.08,88.5776,2020-07-29,59273
2,10230919.0,86.5431,88.43,86.27,88.495,85.7,2020-07-30,100653
3,19394033.0,82.8899,83.25,83.94,84.1,81.51,2020-07-31,162647
4,11389231.0,84.5158,83.98,84.81,85.14,83.8,2020-08-03,105451
5,9226251.0,85.9339,84.48,86.49,86.72,84.2808,2020-08-04,82711
6,7506456.0,87.3544,88.14,87.2,88.43,86.405,2020-08-05,68423
7,7144408.0,87.1717,86.4299,87.47,87.9,86.1,2020-08-06,59720
8,7288229.0,86.3996,86.88,86.8,87.11,85.74,2020-08-07,62900
9,8289746.0,89.1187,87.94,89.73,89.76,87.6,2020-08-10,65507
10,9261793.0,91.0797,91.95,89.62,93.01,89.17,2020-08-11,78787
11,9182461.0,90.3295,90.8,90.72,91.66,89.45,2020-08-12,68289
12,7453426.0,90.2975,89.87,89.82,91.28,89.7623,2020-08-13,56675
13,6457240.0,90.0418,89.0,90.35,90.59,88.85,2020-08-14,56468
14,10662492.0,90.5663,90.35,90.77,91.58,89.72,2020-08-17,86024
15,8144845.0,87.9833,88.97,87.63,89.37,87.32,2020-08-18,77447
16,9228897.0,86.816,87.3,86.39,87.9,86.2,2020-08-19,73786
17,7987933.0,85.1158,85.42,84.81,86.89,84.73,2020-08-20,67277
18,9415924.0,84.5382,84.67,85.08,85.09,83.51,2020-08-21,71714
19,8869587.0,86.5018,85.6,87.2,87.34,84.89,2020-08-24,69752
20,6951732.0,86.3027,88.01,86.13,88.04,85.76,2020-08-25,58662
21,7628980.0,85.107,85.71,84.78,85.84,84.66,2020-08-26,58893
22,7533252.0,84.7794,85.16,84.91,85.63,83.97,2020-08-27,67063
23,7384550.0,85.2321,85.05,85.63,85.73,84.32,2020-08-28,57327
24,9561779.0,84.3394,85.83,83.93,85.9,83.87,2020-08-31,72173
25,9214762.0,83.04,83.26,83.08,83.63,82.45,2020-09-01,79649
26,10972758.0,83.2609,83.06,83.19,83.96,82.7,2020-09-02,95462
27,16338402.0,82.8297,83.05,82.28,84.49,81.71,2020-09-03,134173
28,10642577.0,82.0272,82.46,81.93,83.635,80.9,2020-09-04,98530
29,15145268.0,79.078,80.5,78.97,80.58,78.04,2020-09-08,135196
30,9466410.0,80.3524,79.97,80.03,81.07,79.68,2020-09-09,82229
31,12227984.0,79.2886,80.63,78.15,80.89,78.05,2020-09-10,110137
32,13879742.0,77.7595,78.24,77.69,78.69,77.065,2020-09-11,113747
33,8329132.0,77.4297,77.48,77.29,77.98,76.9199,2020-09-14,70181
34,11842820.0,76.7261,77.56,76.35,78.48,75.96,2020-09-15,85446
35,13202717.0,78.1175,76.35,78.56,79.48,75.96,2020-09-16,97407
36,10644904.0,78.2465,77.53,78.79,78.85,76.37,2020-09-17,76813
37,16279814.0,78.116,77.88,78.21,79.15,77.5,2020-09-18,74367
38,16377821.0,75.568,76.24,76.3,76.6522,74.68,2020-09-21,127609
39,9275170.0,75.9256,76.15,75.53,77.53,75.35,2020-09-22,71552
40,16806549.0,73.4868,75.59,71.95,75.91,71.85,2020-09-23,119693
41,15493242.0,71.6162,71.25,71.8,73.03,70.5,2020-09-24,117110
42,11281012.0,71.5216,71.01,71.83,72.48,70.77,2020-09-25,97374
43,13087118.0,73.9569,73.64,73.93,74.76,73.15,2020-09-28,100024
44,10712973.0,72.034,74.0,71.9,74.14,71.11,2020-09-29,85695
45,10570247.0,72.1382,72.25,72.0,72.89,71.61,2020-09-30,77316
46,15092725.0,70.6562,71.51,70.42,71.88,70.03,2020-10-01,122781
47,10202900.0,70.6068,68.92,71.19,71.67,68.82,2020-10-02,85528
48,12197137.0,71.9538,71.52,72.7,72.73,70.71,2020-10-05,80396
49,15501396.0,73.2716,73.84,72.3,74.32,72.245,2020-10-06,117202
50,15605628.0,73.1001,72.17,73.78,73.92,71.56,2020-10-07,86055
51,11709862.0,74.9461,74.39,75.22,75.55,73.99,2020-10-08,87345
52,12395854.0,74.5169,75.86,74.0,76.09,73.98,2020-10-09,78656
53,9229190.0,74.3067,73.63,74.51,74.95,73.2,2020-10-12,72623
54,10671764.0,73.4531,74.74,73.4,74.74,72.78,2020-10-13,78314
55,7177523.0,73.6337,73.28,72.95,74.432,72.91,2020-10-14,67664
56,10225123.0,72.9856,71.815,73.51,73.72,71.39,2020-10-15,76887
57,9791716.0,73.2205,73.52,72.89,74.03,72.27,2020-10-16,67034
58,8486784.0,72.1417,73.11,71.28,73.34,71.19,2020-10-19,69257
59,7884923.0,71.663,71.905,71.68,72.29,71.04,2020-10-20,68858
60,9946241.0,71.0358,71.13,70.87,71.5849,70.73,2020-10-21,83506
61,9949227.0,72.3285,70.88,73.4,73.49,70.57,2020-10-22,81964
62,8876935.0,72.7482,73.93,72.57,74.365,71.8266,2020-10-23,77879
63,9849290.0,70.9359,71.73,70.94,71.8899,70.24,2020-10-26,85238
64,14398652.0,69.8557,70.42,69.51,70.6,69.49,2020-10-27,113938
65,16263038.0,67.1366,67.695,66.88,68.08,66.325,2020-10-28,148303
66,12510039.0,67.7419,66.13,68.8,69.14,65.16,2020-10-29,117249
67,17465425.0,69.2393,69.9,69.5,70.11,68.08,2020-10-30,123600
68,11641383.0,71.6819,70.7,72.15,73.08,69.4,2020-11-02,119029
69,8744174.0,71.9876,73.16,71.74,73.3,71.05,2020-11-03,85332
70,10378498.0,72.2574,70.78,71.77,73.59,69.89,2020-11-04,92113
71,10761387.0,72.3444,71.895,72.14,72.97,71.76,2020-11-05,91103
72,8490840.0,71.7055,72.5,71.15,73.27,70.83,2020-11-06,70886
73,24879595.0,80.2773,80.0,79.4,84.27,78.26,2020-11-09,201820
74,15387971.0,81.7916,81.14,83.07,83.15,79.7063,2020-11-10,130534
75,11831801.0,82.8131,84.1,82.46,84.49,81.8,2020-11-11,88394
76,9077360.0,80.9295,80.98,80.67,82.24,79.905,2020-11-12,79980
77,11017709.0,82.681,81.15,83.03,83.3482,81.03,2020-11-13,79864
78,19409081.0,87.8368,86.24,88.96,89.18,85.54,2020-11-16,136895
79,14621365.0,86.602,86.4,87.04,87.53,84.83,2020-11-17,95870
80,10752817.0,85.9504,87.37,84.28,87.9,84.25,2020-11-18,88307
81,9000351.0,84.8683,83.545,85.73,85.96,83.06,2020-11-19,83069
82,8609982.0,85.8219,85.72,85.79,86.31,84.88,2020-11-20,69848
83,13546035.0,89.4856,87.45,91.03,91.58,86.76,2020-11-23,108120
84,17590381.0,94.6793,93.39,95.62,95.82,93.0,2020-11-24,140759
85,10722799.0,93.0269,94.68,92.14,94.68,92.14,2020-11-25,92592
86,4627670.0,91.4054,91.33,91.31,92.59,90.54,2020-11-27,44645
87,14439351.0,88.1333,90.01,87.18,90.85,86.9,2020-11-30,106686
88,10074789.0,87.9148,89.28,87.45,89.71,87.07,2020-12-01,86113
89,10664125.0,89.9407,87.26,89.87,91.31,87.1003,2020-12-02,83816
90,8436152.0,90.1234,90.58,89.8,91.11,89.07,2020-12-03,68301
91,10934357.0,92.704,91.22,93.28,93.45,90.92,2020-12-04,98770
92,9573532.0,90.8244,91.82,90.76,92.38,89.88,2020-12-07,88857
93,7867905.0,91.6383,90.34,91.54,92.4623,90.1887,2020-12-08,70388
94,11272114.0,90.6314,92.2,90.44,93.02,89.37,2020-12-09,101160
95,12427489.0,92.9991,91.55,93.35,94.56,90.7756,2020-12-10,104845
96,9810847.0,92.22,92.525,92.45,93.28,91.03,2020-12-11,80829
97,12373441.0,90.3748,93.4,89.44,93.7,89.24,2020-12-14,96228
98,11938809.0,89.4597,89.42,89.37,90.48,88.77,2020-12-15,96791
99,10010387.0,88.6421,89.2,88.69,89.35,87.85,2020-12-16,87287
100,11908784.0,88.2357,89.54,88.41,89.55,87.55,2020-12-17,96983
101,30045355.0,87.3095,87.98,87.19,88.71,86.26,2020-12-18,104033
102,11697717.0,85.7584,84.35,86.09,86.835,83.53,2020-12-21,100411
103,8764896.0,84.9864,85.44,84.36,85.8,84.3,2020-12-22,73688
104,7350952.0,85.8966,85.0,85.69,86.66,85.0,2020-12-23,57349
105,3409793.0,85.2438,85.93,85.33,85.93,84.81,2020-12-24,30888
106,8187193.0,85.2014,85.61,84.9,86.63,84.62,2020-12-28,64879
107,7828417.0,84.7183,85.26,84.61,85.7234,84.05,2020-12-29,67915
108,7990181.0,85.4883,84.61,85.33,86.575,84.54,2020-12-30,61881
109,8465551.0,84.4616,84.9,84.45,85.195,83.9601,2020-12-31,68266
110,9419060.0,84.762,85.15,84.71,85.95,83.89,2021-01-04,86695
111,13527934.0,87.4807,85.49,87.0,89.22,85.32,2021-01-05,105297
112,14089578.0,89.702,89.0,89.8,90.78,87.82,2021-01-06,123182
113,9406406.0,90.1033,90.39,90.22,90.82,89.305,2021-01-07,77680
114,11368715.0,91.3897,92.08,91.08,92.43,90.45,2021-01-08,88053
115,10830445.0,91.1266,89.12,91.6,92.1,88.57,2021-01-11,79640
116,11109992.0,93.2206,92.66,93.34,93.9209,91.71,2021-01-12,89079
117,9846549.0,93.0833,93.2,93.25,93.52,91.94,2021-01-13,79089
118,14156184.0,95.4392,93.94,95.49,96.315,93.79,2021-01-14,101957
119,10977326.0,92.8748,94.22,92.09,94.31,91.71,2021-01-15,87223
120,9759980.0,94.4626,93.5,94.51,95.03,93.29,2021-01-19,80134
121,8906790.0,95.1679,95.0,95.38,95.56,94.3002,2021-01-20,73660
122,10577148.0,92.5611,93.855,92.01,94.66,91.22,2021-01-21,90359
123,7974646.0,91.2343,90.4,91.73,92.03,89.83,2021-01-22,65545
124,7861828.0,90.2853,90.62,90.9,91.0271,89.33,2021-01-25,79480
125,8008524.0,90.3688,92.2,89.36,92.91,89.27,2021-01-26,71741
126,10374430.0,88.5775,87.53,88.2,90.35,86.745,2021-01-27,103808
127,8288501.0,89.1931,88.67,89.02,90.15,88.25,2021-01-28,79894
128,14971163.0,85.7625,86.83,85.2,87.34,84.92,2021-01-29,132931
129,8255213.0,85.9168,85.99,86.41,87.3,84.57,2021-02-01,88325
130,9370521.0,87.4456,88.01,87.06,88.37,86.53,2021-02-02,83612
131,9430313.0,88.4305,87.05,88.96,89.39,86.89,2021-02-03,75733
132,8026666.0,88.873,89.51,89.0,89.65,87.945,2021-02-04,71337
133,8166018.0,89.3172,89.94,89.26,90.47,88.64,2021-02-05,81418
134,10059178.0,91.2163,90.29,91.48,92.04,90.01,2021-02-08,88487
135,7659373.0,90.7496,91.1,90.96,91.27,89.81,2021-02-09,71484
136,8958011.0,91.9361,91.38,92.52,92.59,90.6,2021-02-10,85509
137,8682680.0,91.5829,92.37,92.02,92.44,90.08,2021-02-11,76726
138,7886919.0,92.1717,91.53,92.55,92.73,91.35,2021-02-12,66571
139,14281799.0,93.2855,93.05,93.13,93.86,92.61,2021-02-16,96187
140,14853892.0,95.5831,95.42,95.92,96.72,94.2,2021-02-17,140695
141,9312480.0,95.1891,95.75,95.0,95.78,94.3,2021-02-18,85864
142,9313524.0,95.7,95.13,95.8,96.38,94.65,2021-02-19,80277
143,13434710.0,98.5611,96.99,98.39,99.64,96.46,2021-02-22,130180
144,15332300.0,99.1463,99.97,99.63,100.16,96.8,2021-02-23,154955
145,16315265.0,102.6835,100.33,103.31,104.04,99.81,2021-02-24,150718
146,13582140.0,103.1827,104.9,102.35,104.96,101.59,2021-02-25,138143
147,14680661.0,99.8788,100.3,100.0,101.06,97.61,2021-02-26,120853
148,10606946.0,102.4025,102.46,102.05,103.8,101.4,2021-03-01,105725
149,10788416.0,102.6499,101.89,102.44,103.309,101.71,2021-03-02,104014
150,15128479.0,104.459,103.41,103.59,105.75,103.4,2021-03-03,146289
151,23194619.0,105.2369,104.515,104.5,107.58,103.13,2021-03-04,233361
152,23882675.0,107.967,106.96,109.0,109.13,106.15,2021-03-05,246136
153,18375773.0,109.7015,109.86,109.75,110.43,108.06,2021-03-08,170133
154,19263650.0,109.5556,109.07,109.5,110.69,107.88,2021-03-09,170087
155,17782676.0,110.9438,110.2,111.37,112.01,109.7,2021-03-10,159765
156,11185448.0,111.6879,111.65,111.19,112.55,110.89,2021-03-11,101351
157,11069220.0,111.5978,111.64,111.56,112.7,110.7205,2021-03-12,104900
158,10599311.0,110.0947,111.53,110.25,111.905,108.89,2021-03-15,96201
159,11837488.0,107.7709,108.53,107.64,108.88,107.08,2021-03-16,102336
160,9284054.0,107.6941,107.21,108.03,108.5582,106.6,2021-03-17,95726
161,13340942.0,105.2462,107.01,104.12,107.53,103.71,2021-03-18,128464
162,20421390.0,103.7802,103.94,103.38,104.89,102.74,2021-03-19,113478
163,12678884.0,103.2682,103.06,102.54,104.5,102.311,2021-03-22,101002
