,v,vw,o,c,h,l,t,n
0,5891462.0,10.455,10.36,10.34,10.675,10.31,2020-07-28,32654
1,7529275.0,10.6027,10.41,10.84,10.85,10.2718,2020-07-29,34486
2,7742240.0,10.3536,10.52,10.34,10.59,10.16,2020-07-30,39823
3,7635969.0,10.3815,10.23,10.49,10.52,10.13,2020-07-31,41330
4,6642254.0,10.5656,10.51,10.6,10.765,10.28,2020-08-03,36742
5,11433118.0,11.0813,10.57,11.09,11.32,10.55,2020-08-04,62134
6,14426022.0,11.899,11.86,12.04,12.14,11.55,2020-08-05,78129
7,9489012.0,11.7827,11.9,11.77,12.0463,11.635,2020-08-06,44944
8,9481788.0,11.8998,11.57,12.11,12.17,11.43,2020-08-07,51840
9,10362641.0,12.5403,12.25,12.64,12.7,12.12,2020-08-10,46904
10,9022572.0,12.7803,13.04,12.36,13.25,12.3,2020-08-11,49761
11,7027453.0,12.5047,12.67,12.51,12.75,12.31,2020-08-12,35421
12,7755517.0,11.9804,12.21,11.84,12.3583,11.83,2020-08-13,39681
13,4267693.0,11.9907,11.77,12.12,12.12,11.58,2020-08-14,24858
14,6866204.0,11.7203,12.01,11.74,12.04,11.5422,2020-08-17,36021
15,6939644.0,11.4324,11.64,11.34,11.72,11.285,2020-08-18,35348
16,6631838.0,11.1806,11.34,11.09,11.4,11.06,2020-08-19,36298
17,5127672.0,10.7894,10.86,10.69,11.015,10.68,2020-08-20,27787
18,5038610.0,10.4796,10.67,10.44,10.705,10.38,2020-08-21,24055
19,6003930.0,10.7378,10.54,10.78,10.915,10.47,2020-08-24,32744
20,5863688.0,10.9044,10.9,10.98,11.065,10.71,2020-08-25,32209
21,5308763.0,10.8088,11.0,10.7,11.1,10.68,2020-08-26,25827
22,5491879.0,10.6738,10.76,10.76,10.87,10.52,2020-08-27,30324
23,5644502.0,11.0335,10.84,11.1,11.23,10.79,2020-08-28,27012
24,5028684.0,10.8798,11.1,10.87,11.1403,10.75,2020-08-31,27752
25,5839755.0,10.8564,10.76,10.91,11.07,10.62,2020-09-01,28058
26,8483060.0,10.7086,10.91,10.66,10.94,10.585,2020-09-02,33068
27,8235673.0,10.5802,10.48,10.47,10.77,10.39,2020-09-03,42256
28,5548107.0,10.5123,10.61,10.55,10.7745,10.35,2020-09-04,32562
29,11139366.0,9.6742,10.21,9.62,10.25,9.49,2020-09-08,56717
30,7119505.0,9.5859,9.77,9.58,9.79,9.365,2020-09-09,38278
31,12207718.0,9.1284,9.58,8.87,9.69,8.86,2020-09-10,51810
32,10519660.0,8.8828,8.79,8.97,9.015,8.66,2020-09-11,55296
33,6298891.0,9.0728,9.04,9.12,9.22,8.9,2020-09-14,34536
34,8973164.0,9.2635,9.17,9.23,9.39,9.13,2020-09-15,47179
35,7958109.0,9.6846,9.4,9.76,9.93,9.22,2020-09-16,40058
36,6854765.0,9.8218,9.51,9.95,9.97,9.4595,2020-09-17,36223
