,v,vw,o,c,h,l,t,n
0,1534239.0,39.299,39.64,38.88,40.28,38.76,2020-07-28,19231
1,1644389.0,39.978,39.04,40.76,40.82,38.6601,2020-07-29,19699
2,1717881.0,39.2875,39.37,39.51,39.945,38.485,2020-07-30,22550
3,2380841.0,39.7362,39.42,39.86,40.07,39.12,2020-07-31,21997
4,2155935.0,39.886,39.87,40.01,40.64,38.83,2020-08-03,26918
5,2728182.0,40.7079,39.77,41.07,41.4454,39.27,2020-08-04,32781
6,1974619.0,41.9516,42.15,41.63,43.2638,41.03,2020-08-05,23954
7,1706296.0,40.8235,41.1,40.73,41.7,40.35,2020-08-06,21509
8,1584248.0,41.2671,40.29,42.01,42.2,39.9,2020-08-07,20792
9,2869322.0,44.167,42.26,44.67,44.88,42.26,2020-08-10,33747
10,2717184.0,45.4108,45.69,44.45,46.95,44.2,2020-08-11,31725
11,1702567.0,44.7409,45.1135,44.57,45.76,44.1,2020-08-12,21390
12,1508169.0,44.5287,44.45,44.58,45.0,43.88,2020-08-13,18440
13,1775662.0,45.0338,44.4,45.51,45.81,44.1,2020-08-14,21574
14,1712731.0,44.7931,45.31,45.08,45.8,44.35,2020-08-17,20422
15,1604506.0,44.5527,44.6443,44.49,45.33,44.33,2020-08-18,19935
16,1057576.0,43.6982,44.45,43.3,44.78,43.2,2020-08-19,15022
17,2566993.0,41.2641,42.42,40.63,42.81,40.62,2020-08-20,29825
18,2582523.0,39.4926,40.01,39.21,40.38,39.06,2020-08-21,28805
19,1722218.0,40.1297,39.64,40.05,40.89,39.15,2020-08-24,19669
20,1653371.0,40.7596,40.53,41.06,41.255,40.06,2020-08-25,22747
21,1318787.0,39.8947,40.98,39.39,41.36,39.33,2020-08-26,17294
22,1690423.0,39.5905,39.74,39.77,40.12,39.16,2020-08-27,21073
23,1239614.0,40.0683,39.96,40.14,40.58,39.615,2020-08-28,13428
24,1819308.0,39.2287,40.16,38.96,40.2,38.95,2020-08-31,21728
25,2170724.0,38.5513,38.8,38.48,39.17,38.18,2020-09-01,24235
26,4058593.0,36.9884,38.13,36.32,38.24,36.2502,2020-09-02,41868
27,3410689.0,36.0208,36.36,35.77,36.93,35.48,2020-09-03,37465
28,2884222.0,35.4909,36.23,35.53,36.44,34.975,2020-09-04,29956
29,3869115.0,32.8396,34.7,31.99,34.84,31.92,2020-09-08,44967
30,4372925.0,32.2643,32.61,32.185,32.61,31.545,2020-09-09,33946
31,2852331.0,30.9333,32.23,30.08,32.23,30.08,2020-09-10,33736
32,3425750.0,29.6658,30.15,29.62,30.485,29.12,2020-09-11,35000
33,3083936.0,30.7919,30.25,31.06,31.48,29.75,2020-09-14,28333
34,2518127.0,30.9137,31.19,30.5,31.72,30.36,2020-09-15,23221
35,3571841.0,32.7265,30.88,32.91,33.88,30.6,2020-09-16,33340
36,3290215.0,33.3164,32.06,33.79,33.82,31.81,2020-09-17,32384
37,4801253.0,33.6958,33.49,33.77,34.0,32.9891,2020-09-18,29843
38,2850924.0,31.7655,32.55,32.08,32.79,31.025,2020-09-21,29930
39,2702997.0,31.5567,32.37,31.61,33.1,30.9407,2020-09-22,24773
40,2398032.0,30.5541,31.61,29.9,32.02,29.86,2020-09-23,26217
41,2031187.0,29.9253,29.87,29.99,30.93,28.85,2020-09-24,22058
42,3254776.0,29.4976,29.6,29.9,30.14,28.8399,2020-09-25,25916
43,2581238.0,31.4318,30.805,31.49,32.025,30.66,2020-09-28,24533
44,2003756.0,30.84,31.07,31.2,31.31,30.26,2020-09-29,24370
45,2935053.0,30.6647,31.32,30.12,31.77,29.99,2020-09-30,29582
46,4321662.0,29.1762,30.01,29.09,30.01,28.59,2020-10-01,38189
47,3746778.0,30.0455,28.17,30.47,30.97,28.05,2020-10-02,36990
48,2378348.0,30.848,31.0,30.87,31.28,30.225,2020-10-05,25601
49,3605316.0,30.2556,31.63,29.21,32.43,29.03,2020-10-06,30704
50,3222568.0,29.2693,29.65,29.47,29.8695,28.9202,2020-10-07,25686
51,2542361.0,30.3073,29.85,31.12,31.15,29.5,2020-10-08,24380
52,2768341.0,30.8394,31.5,30.69,31.86,30.42,2020-10-09,21109
53,1891745.0,30.8873,30.34,31.2,31.52,29.57,2020-10-12,20532
54,1866395.0,30.7257,30.834,30.41,31.45,30.38,2020-10-13,20101
55,2693006.0,31.3807,30.69,30.49,32.39,30.4752,2020-10-14,26325
56,2780290.0,30.0408,29.91,30.63,30.63,29.21,2020-10-15,28294
57,2783566.0,29.642,30.5224,29.29,30.59,29.2,2020-10-16,25809
58,4017748.0,28.5017,29.68,28.04,29.685,28.01,2020-10-19,36099
59,2942063.0,28.2601,28.39,28.45,29.08,27.58,2020-10-20,28106
60,3019957.0,27.9192,28.21,27.71,28.44,27.5118,2020-10-21,27974
61,3400443.0,28.7706,27.77,29.17,29.395,27.69,2020-10-22,34889
62,2758813.0,29.1197,29.3,29.03,29.66,28.63,2020-10-23,27410
63,2738081.0,27.7349,28.54,27.525,28.74,27.24,2020-10-26,30249
64,4581165.0,26.7077,27.35,26.57,27.44,26.445,2020-10-27,40050
65,5808208.0,25.0753,25.5,24.6,26.07,24.51,2020-10-28,58114
66,4695002.0,24.826,24.0,25.54,25.63,23.63,2020-10-29,46733
67,3395091.0,25.5591,25.39,25.96,25.99,24.85,2020-10-30,28156
68,4311322.0,27.4775,26.45,27.71,28.21,25.425,2020-11-02,43346
69,4269117.0,28.4954,28.71,28.12,29.47,27.85,2020-11-03,40014
70,3971996.0,27.6941,28.04,27.12,28.83,26.9,2020-11-04,38991
71,3869998.0,26.7745,27.3,26.2,27.825,26.16,2020-11-05,38775
72,4655893.0,25.1341,26.08,24.74,26.35,24.57,2020-11-06,42723
73,10946944.0,31.3644,28.245,32.4,33.6,28.01,2020-11-09,98855
74,5136919.0,33.0233,33.44,33.725,33.8,31.5,2020-11-10,52246
75,4373573.0,33.0808,34.1,32.85,34.2299,32.475,2020-11-11,43415
76,2863887.0,32.0889,31.8,31.66,33.24,31.14,2020-11-12,29939
77,3067222.0,33.4055,32.15,33.6,34.195,32.1322,2020-11-13,32024
