,v,vw,o,c,h,l,t,n
0,15102282.0,14.751,14.8,14.65,14.99,14.5801,2020-07-28,70521
1,13866083.0,14.9251,14.63,15.07,15.105,14.62,2020-07-29,55669
2,14804493.0,14.6981,14.78,14.67,14.84,14.6,2020-07-30,69220
3,18139949.0,14.2534,14.4,14.33,14.585,14.1,2020-07-31,67849
4,11289469.0,14.4963,14.33,14.53,14.68,14.25,2020-08-03,53385
5,15866866.0,14.9422,14.5,15.11,15.2482,14.46,2020-08-04,66394
6,13685282.0,15.4516,15.53,15.32,15.75,15.26,2020-08-05,59157
7,11539906.0,15.0243,15.34,14.82,15.435,14.8,2020-08-06,51125
8,12940102.0,14.6288,14.65,14.89,14.89,14.42,2020-08-07,57150
9,10559891.0,15.4168,14.98,15.61,15.66,14.93,2020-08-10,56188
10,26259863.0,16.3657,16.0,16.14,16.695,15.98,2020-08-11,107842
11,20711337.0,16.5789,16.46,16.71,16.82,16.38,2020-08-12,83636
12,13641166.0,16.5312,16.64,16.65,16.79,16.35,2020-08-13,55719
13,12374487.0,16.5088,16.31,16.63,16.66,16.15,2020-08-14,45639
14,12463610.0,16.6483,16.52,16.65,16.85,16.5,2020-08-17,57660
15,10650536.0,16.5255,16.61,16.45,16.89,16.34,2020-08-18,47235
16,12048874.0,16.5975,16.45,16.49,16.87,16.38,2020-08-19,43747
17,13499048.0,16.109,16.27,16.01,16.29,15.95,2020-08-20,53237
18,10066236.0,15.7831,15.88,15.74,15.985,15.61,2020-08-21,44112
19,14839754.0,16.2823,15.88,16.29,16.635,15.77,2020-08-24,70893
20,10341888.0,16.2885,16.62,16.15,16.689,16.06,2020-08-25,44551
21,9026818.0,15.9318,16.11,15.81,16.255,15.775,2020-08-26,41733
22,8454742.0,15.8595,15.82,16.02,16.0599,15.58,2020-08-27,38695
23,8580601.0,16.2461,16.09,16.27,16.43,16.02,2020-08-28,39784
24,9925458.0,16.1632,16.2,16.18,16.34,15.9618,2020-08-31,40616
25,11195171.0,16.1895,15.93,16.23,16.345,15.83,2020-09-01,49676
26,10551829.0,16.1727,16.17,16.25,16.29,16.04,2020-09-02,43436
27,16018744.0,16.2337,16.14,16.12,16.68,15.83,2020-09-03,74464
28,13077758.0,15.8559,16.29,15.99,16.35,15.4862,2020-09-04,63373
29,15972635.0,14.9857,15.49,14.81,15.58,14.77,2020-09-08,72124
30,12425713.0,15.1122,14.96,15.06,15.325,14.9,2020-09-09,56775
31,15835252.0,14.635,15.05,14.28,15.17,14.19,2020-09-10,66053
32,10933752.0,14.2259,14.37,14.27,14.37,13.985,2020-09-11,53032
33,10868904.0,14.3139,14.31,14.33,14.5,14.09,2020-09-14,50421
34,8046483.0,14.4994,14.45,14.44,14.635,14.31,2020-09-15,40300
35,15093619.0,15.0296,14.63,15.07,15.35,14.425,2020-09-16,73416
36,12726547.0,14.8043,14.73,14.82,14.97,14.57,2020-09-17,53297
37,13393182.0,14.5684,14.71,14.45,14.96,14.35,2020-09-18,44012
38,20049875.0,13.1804,13.72,13.22,13.82,12.89,2020-09-21,82601
39,10363111.0,13.3256,13.44,13.33,13.675,13.1,2020-09-22,48140
40,16002763.0,12.9255,13.36,12.65,13.5,12.64,2020-09-23,64761
41,24346516.0,12.3957,12.32,12.52,12.77,12.01,2020-09-24,81829
42,18627637.0,12.3983,12.31,12.37,12.57,12.21,2020-09-25,57746
43,16763413.0,12.7406,12.7,12.76,12.92,12.55,2020-09-28,61539
44,13523141.0,12.234,12.72,12.07,12.775,12.0,2020-09-29,58713
45,12250867.0,12.1812,12.18,12.05,12.47,11.95,2020-09-30,50187
46,27159949.0,11.2676,11.86,11.17,11.9,11.0,2020-10-01,97257
47,18160794.0,11.0947,10.65,11.31,11.39,10.6,2020-10-02,69516
48,14026812.0,11.7669,11.55,11.93,11.97,11.41,2020-10-05,56337
49,20213501.0,12.1894,12.23,11.85,12.56,11.78,2020-10-06,87035
50,13420936.0,11.8652,11.87,11.93,12.04,11.7,2020-10-07,57215
51,13934827.0,12.5463,12.12,12.81,12.81,12.053,2020-10-08,58268
52,13694896.0,12.6188,12.91,12.58,12.96,12.44,2020-10-09,55228
53,10923492.0,12.5925,12.58,12.73,12.785,12.36,2020-10-12,46392
54,9394973.0,12.5244,12.56,12.54,12.79,12.4,2020-10-13,41830
55,12332282.0,12.8496,12.59,12.72,13.18,12.56,2020-10-14,55326
56,12394020.0,12.7648,12.4,13.07,13.09,12.27,2020-10-15,57029
57,18763197.0,12.5909,12.98,12.25,13.065,12.21,2020-10-16,76801
58,20659927.0,12.3619,12.23,12.17,12.73,11.85,2020-10-19,84986
59,18902682.0,12.8272,12.44,12.74,13.14,12.3872,2020-10-20,78339
60,12119834.0,12.7209,12.61,12.67,12.9,12.5,2020-10-21,54641
61,10892139.0,12.9004,12.68,13.04,13.11,12.635,2020-10-22,47785
62,17892989.0,13.2877,13.22,13.31,13.5,13.04,2020-10-23,71029
63,16719657.0,12.8722,13.04,12.79,13.07,12.72,2020-10-26,67134
