,v,vw,o,c,h,l,t,n
0,2485968.0,48.663,49.99,48.1,50.31,47.97,2020-07-28,26760
1,2531970.0,49.6755,50.01,50.0,50.3,48.75,2020-07-29,25694
2,2719839.0,47.3872,48.64,47.54,49.04,46.54,2020-07-30,28577
3,2362241.0,48.6249,47.12,49.21,49.29,46.96,2020-07-31,23973
4,1627290.0,49.8132,49.32,49.84,50.46,48.56,2020-08-03,21737
5,1679831.0,50.4325,49.65,50.68,50.84,49.65,2020-08-04,19449
6,3272753.0,53.0657,51.96,53.61,54.2,51.39,2020-08-05,30459
7,1619786.0,53.1497,53.08,53.39,53.71,52.57,2020-08-06,18473
8,2312774.0,53.0097,52.83,53.03,53.54,52.28,2020-08-07,20125
9,2802048.0,55.011,53.58,55.14,55.59,53.33,2020-08-10,22004
10,2410108.0,54.3322,56.33,53.52,56.86,53.39,2020-08-11,21360
11,2086670.0,53.7707,54.8,53.83,54.8,53.27,2020-08-12,20854
12,1612583.0,53.0446,53.48,52.73,54.0301,52.53,2020-08-13,18255
13,1239891.0,53.3374,52.24,53.78,53.79,52.08,2020-08-14,13715
14,1362635.0,52.4928,53.58,52.47,53.58,51.61,2020-08-17,13946
15,2427597.0,50.4924,51.77,50.02,52.58,48.65,2020-08-18,24190
16,2438775.0,49.0134,49.74,48.49,50.22,48.48,2020-08-19,26247
17,2097253.0,48.2494,47.83,48.14,48.83,47.5761,2020-08-20,21549
18,1656811.0,47.5126,47.84,47.51,48.16,46.94,2020-08-21,15079
19,1688460.0,47.727,47.91,47.83,48.46,47.105,2020-08-24,20671
20,1874532.0,48.0934,48.78,48.32,48.78,47.35,2020-08-25,18649
21,1560586.0,46.693,48.12,46.3,48.12,46.26,2020-08-26,17553
22,1751369.0,46.2893,46.61,46.42,47.06,45.78,2020-08-27,18049
23,1699278.0,46.567,46.71,46.94,47.02,45.91,2020-08-28,18376
24,1639661.0,46.1466,46.94,46.04,47.015,45.685,2020-08-31,15878
25,1522533.0,45.6977,45.7,45.94,45.98,45.095,2020-09-01,16875
26,1839959.0,46.0685,45.7,45.89,46.73,45.37,2020-09-02,19196
27,2368065.0,46.5408,45.63,46.41,47.47,45.4,2020-09-03,23614
28,2031816.0,47.026,47.05,47.15,47.8427,46.41,2020-09-04,25540
29,2606845.0,45.6805,45.97,45.7,46.86,44.15,2020-09-08,29690
30,2220146.0,46.7947,45.96,46.95,47.65,45.76,2020-09-09,22576
31,3400027.0,44.4645,46.92,43.52,46.92,43.47,2020-09-10,27618
32,2226940.0,43.2252,43.56,43.25,43.74,42.72,2020-09-11,23480
33,2361221.0,43.9809,43.27,43.84,44.95,42.84,2020-09-14,20633
34,2167477.0,43.4919,43.95,42.85,44.3,42.765,2020-09-15,21154
35,4577537.0,44.3388,43.59,44.2,44.87,43.14,2020-09-16,34593
36,3264891.0,44.3041,43.33,44.25,44.67,43.3,2020-09-17,26053
37,5303002.0,43.3582,44.28,43.02,44.65,42.98,2020-09-18,25132
38,3572368.0,41.1367,41.81,41.15,42.405,40.73,2020-09-21,27669
39,1777466.0,41.1684,41.25,41.23,41.79,40.6,2020-09-22,15891
40,1678877.0,40.2626,41.62,39.4,41.93,39.29,2020-09-23,17005
41,2942977.0,39.2386,38.72,39.45,39.98,38.288,2020-09-24,27950
42,2826721.0,40.2202,39.21,40.48,40.88,38.92,2020-09-25,26274
43,1878730.0,41.04,41.23,41.03,41.545,40.28,2020-09-28,18271
44,1904681.0,40.4078,40.83,40.69,40.885,39.77,2020-09-29,18004
45,1862770.0,41.0444,40.47,40.93,41.58,40.47,2020-09-30,20252
46,3094377.0,39.2435,40.0,38.98,40.38,38.66,2020-10-01,28146
47,3259967.0,37.9225,37.49,37.71,38.66,37.47,2020-10-02,27932
48,2611209.0,38.9352,38.32,39.36,39.38,38.18,2020-10-05,25596
49,2719436.0,38.8707,40.15,37.97,40.56,37.8438,2020-10-06,26456
50,3636384.0,37.392,38.21,37.68,38.65,36.62,2020-10-07,35933
51,2199506.0,38.3611,38.17,38.59,38.71,37.675,2020-10-08,20216
52,1658647.0,38.1963,39.13,38.06,39.3974,37.73,2020-10-09,15453
53,1618733.0,38.2416,37.78,38.64,38.82,37.02,2020-10-12,14191
54,1917714.0,38.8039,38.52,38.65,39.48,38.275,2020-10-13,16110
55,1437176.0,39.2819,38.78,38.59,40.35,38.54,2020-10-14,16363
56,1483958.0,38.9306,37.79,39.32,39.38,37.5201,2020-10-15,16141
57,1712080.0,38.6328,39.15,38.06,39.68,38.0,2020-10-16,16058
58,2163548.0,37.2665,38.48,36.6,38.64,36.5,2020-10-19,19756
59,2163901.0,37.5895,36.9,37.85,38.16,36.75,2020-10-20,21958
60,1852188.0,37.463,37.33,37.19,38.05,36.92,2020-10-21,17441
61,1883128.0,38.6714,37.25,39.25,39.31,37.2,2020-10-22,19546
62,1592408.0,39.4175,39.55,39.37,39.91,39.01,2020-10-23,16859
63,2381131.0,37.563,38.46,37.43,38.535,37.17,2020-10-26,19499
64,2038231.0,37.3748,37.27,37.4,37.72,36.78,2020-10-27,20221
65,3426821.0,36.3819,36.4,36.12,37.93,35.25,2020-10-28,30584
66,2355185.0,36.695,34.88,37.18,37.31,34.82,2020-10-29,22186
67,1844942.0,36.9881,36.92,37.22,37.5,36.3,2020-10-30,20053
68,2365760.0,37.7492,37.81,38.04,38.46,36.8238,2020-11-02,26065
69,2353990.0,37.2062,38.44,36.91,38.68,36.42,2020-11-03,21969
70,2482618.0,37.3635,37.08,37.22,38.25,35.91,2020-11-04,26199
71,1343859.0,37.3917,37.22,37.0,38.3313,36.96,2020-11-05,16638
72,1688405.0,36.8668,36.86,36.49,37.765,36.44,2020-11-06,16268
73,4730451.0,43.3675,40.85,43.39,45.08,40.85,2020-11-09,45236
74,3057293.0,44.2604,44.18,44.79,44.82,42.6,2020-11-10,27392
75,2710336.0,44.3233,45.15,44.0,45.4,43.54,2020-11-11,28393
76,3464940.0,42.5256,43.75,41.59,44.17,41.09,2020-11-12,27625
77,1708403.0,43.3003,42.0,43.42,43.73,41.91,2020-11-13,19681
78,3251772.0,46.3372,45.42,46.82,47.05,44.36,2020-11-16,27813
79,2888706.0,46.8008,46.37,47.31,47.39,44.69,2020-11-17,26652
80,2705913.0,47.0818,47.41,46.03,48.4,45.91,2020-11-18,27699
