,v,vw,o,c,h,l,t,n
0,8578010.0,14.1465,14.18,14.12,14.26,14.1,2020-07-28,37249
1,9200089.0,14.3611,14.05,14.53,14.55,14.02,2020-07-29,41111
2,11098385.0,14.2836,14.33,14.32,14.385,14.1598,2020-07-30,48250
3,15856390.0,14.005,14.04,14.1,14.12,13.8,2020-07-31,50316
4,11928594.0,14.0757,14.04,14.03,14.21,13.925,2020-08-03,47421
5,16560919.0,14.3338,14.08,14.5,14.515,14.0,2020-08-04,57468
6,12808645.0,14.4826,14.73,14.44,14.7479,14.36,2020-08-05,44728
7,9069020.0,14.3776,14.39,14.3,14.569,14.26,2020-08-06,34978
8,10558294.0,14.1805,14.2,14.32,14.34,14.06,2020-08-07,41319
9,11355007.0,14.4764,14.32,14.54,14.59,14.32,2020-08-10,39042
10,17764111.0,14.6063,14.75,14.42,14.815,14.375,2020-08-11,54645
11,11254687.0,14.5194,14.65,14.49,14.735,14.41,2020-08-12,43490
12,13048116.0,14.3108,14.48,14.27,14.5378,14.19,2020-08-13,43279
13,7332345.0,14.2972,14.14,14.29,14.45,14.14,2020-08-14,29052
14,9272877.0,14.4162,14.43,14.44,14.47,14.27,2020-08-17,32467
15,12197593.0,14.4252,14.43,14.38,14.61,14.32,2020-08-18,42715
16,10621304.0,14.1971,14.4,14.12,14.47,14.07,2020-08-19,42941
17,9650514.0,14.0858,14.01,14.06,14.18,14.0,2020-08-20,36991
18,11550750.0,14.0352,14.07,14.11,14.13,13.88,2020-08-21,40761
19,11018482.0,14.252,14.15,14.24,14.38,14.06,2020-08-24,45222
20,13092372.0,14.0091,14.33,13.96,14.33,13.91,2020-08-25,49383
21,12159632.0,13.8347,14.02,13.73,14.02,13.72,2020-08-26,44222
22,11325561.0,13.8333,13.73,13.86,13.93,13.7,2020-08-27,41791
23,11955597.0,14.0708,13.96,14.18,14.21,13.85,2020-08-28,39998
24,12064021.0,13.8861,14.17,13.82,14.21,13.81,2020-08-31,46320
25,10770741.0,13.8434,13.78,13.87,13.96,13.63,2020-09-01,42442
26,10118873.0,13.8488,13.8,13.84,13.97,13.765,2020-09-02,38459
27,12317774.0,13.6944,13.86,13.64,13.98,13.515,2020-09-03,52696
28,13282555.0,13.485,13.75,13.52,13.82,13.26,2020-09-04,53992
29,17078555.0,13.334,13.38,13.25,13.5,13.19,2020-09-08,71489
30,15992630.0,13.3324,13.32,13.22,13.52,13.22,2020-09-09,55077
31,14009353.0,13.0186,13.29,12.91,13.29,12.87,2020-09-10,58572
32,17343462.0,12.9147,12.95,12.82,13.055,12.8,2020-09-11,64595
33,10592719.0,13.0536,12.9,13.06,13.15,12.85,2020-09-14,42240
34,14086334.0,13.01,13.05,12.91,13.1561,12.88,2020-09-15,44777
35,16187223.0,13.3,13.06,13.35,13.49,12.96,2020-09-16,53374
36,13686971.0,13.2465,13.18,13.29,13.43,13.08,2020-09-17,45282
37,18579474.0,13.1201,13.21,13.08,13.26,13.02,2020-09-18,40586
38,12011109.0,12.8223,12.91,12.86,12.96,12.65,2020-09-21,41570
39,10494493.0,12.8299,12.91,12.8,13.1068,12.73,2020-09-22,37409
40,15143082.0,12.4155,12.87,12.23,12.92,12.22,2020-09-23,54956
41,14556654.0,12.1894,12.25,12.28,12.44,11.97,2020-09-24,59907
42,12928908.0,12.2682,12.1,12.37,12.44,12.05,2020-09-25,49786
43,11460269.0,12.6084,12.58,12.61,12.76,12.45,2020-09-28,49197
44,8520301.0,12.458,12.6,12.45,12.715,12.33,2020-09-29,37168
45,18655349.0,12.4417,12.56,12.33,12.61,12.27,2020-09-30,59265
46,14511346.0,12.2142,12.2,12.24,12.32,12.05,2020-10-01,59423
47,12345008.0,12.2466,12.05,12.31,12.44,12.03,2020-10-02,55393
48,11413908.0,12.5541,12.43,12.6,12.68,12.305,2020-10-05,45849
49,15646803.0,12.4811,12.73,12.27,12.76,12.25,2020-10-06,55818
50,21607514.0,12.4423,12.28,12.59,12.67,12.19,2020-10-07,73992
51,15514967.0,12.9121,12.7,13.13,13.15,12.595,2020-10-08,56793
52,15890895.0,12.8737,13.2,12.82,13.245,12.75,2020-10-09,56202
53,12223679.0,12.78,12.85,12.78,12.88,12.66,2020-10-12,43140
54,12279623.0,12.6193,12.72,12.61,12.85,12.52,2020-10-13,52888
55,14243750.0,12.9769,12.71,12.96,13.12,12.65,2020-10-14,52116
56,13765917.0,12.8815,12.81,12.99,13.005,12.675,2020-10-15,47526
57,13591098.0,12.9358,12.99,12.86,13.0667,12.84,2020-10-16,43801
58,13559392.0,12.8035,12.9,12.71,13.0,12.69,2020-10-19,46717
59,16443927.0,12.6831,12.8,12.68,12.86,12.58,2020-10-20,55268
60,14789030.0,12.5627,12.6,12.53,12.67,12.48,2020-10-21,59639
61,20957323.0,12.856,12.5,12.96,12.99,12.48,2020-10-22,78043
62,16391179.0,12.7641,12.99,12.78,13.0,12.6,2020-10-23,59692
63,16319004.0,12.3845,12.67,12.38,12.685,12.19,2020-10-26,72741
64,14649486.0,12.2479,12.35,12.17,12.37,12.16,2020-10-27,52815
65,20246212.0,11.9353,11.98,11.83,12.119,11.81,2020-10-28,80473
66,20034784.0,11.8843,11.78,12.06,12.09,11.5,2020-10-29,79826
67,17210790.0,11.7718,11.75,11.9,11.9,11.61,2020-10-30,65334
68,13534843.0,11.9122,12.03,11.89,12.07,11.78,2020-11-02,53008
69,12326680.0,12.0262,12.04,11.99,12.14,11.93,2020-11-03,41026
70,14533452.0,12.0265,12.11,11.83,12.27,11.775,2020-11-04,50050
71,13809047.0,11.998,11.83,11.9,12.19,11.83,2020-11-05,45142
72,14366482.0,11.6307,11.91,11.48,12.0782,11.45,2020-11-06,53964
73,31935483.0,12.3677,12.34,12.3,12.71,12.09,2020-11-09,112100
74,21434993.0,12.6661,12.47,12.89,12.89,12.2709,2020-11-10,76229
75,22692042.0,12.9792,13.07,13.03,13.08,12.86,2020-11-11,79906
76,20369474.0,12.8457,12.9,12.71,13.08,12.58,2020-11-12,65097
77,13686835.0,13.0857,12.86,13.13,13.22,12.7844,2020-11-13,54230
78,23298020.0,13.6618,13.74,13.67,13.82,13.39,2020-11-16,83755
79,19419482.0,13.8426,13.45,14.03,14.05,13.42,2020-11-17,71430
80,20474696.0,14.0054,14.02,13.76,14.225,13.76,2020-11-18,80979
81,27643495.0,14.1324,13.7,14.4,14.4,13.61,2020-11-19,88572
82,20769920.0,14.2753,14.4,14.25,14.42,14.17,2020-11-20,71490
83,20321116.0,14.5993,14.4,14.62,14.67,14.3,2020-11-23,65620
84,17642616.0,15.0007,14.99,14.97,15.12,14.8701,2020-11-24,70339
85,13334270.0,14.8635,14.9,14.85,15.05,14.65,2020-11-25,52619
86,6336190.0,14.7529,14.72,14.75,14.86,14.65,2020-11-27,26502
87,36597913.0,14.3982,14.53,14.38,14.675,14.3,2020-11-30,76170
88,20231264.0,14.214,14.67,14.1,14.68,14.0325,2020-12-01,76289
89,22490822.0,14.3733,14.06,14.34,14.55,14.0,2020-12-02,78362
90,17830669.0,14.5098,14.44,14.49,14.66,14.3,2020-12-03,65591
91,17601530.0,14.9403,14.68,14.93,15.1,14.67,2020-12-04,67061
92,16993321.0,14.8329,14.9,14.8,14.98,14.57,2020-12-07,62443
93,19096833.0,14.8135,14.69,14.76,14.995,14.6518,2020-12-08,69569
94,24044491.0,14.6068,14.82,14.61,14.94,14.42,2020-12-09,89602
95,24207733.0,14.7309,14.65,14.79,14.88,14.6,2020-12-10,82186
96,13824901.0,14.6612,14.65,14.75,14.75,14.52,2020-12-11,51129
97,26483888.0,14.3477,14.86,14.31,14.9678,14.19,2020-12-14,81170
98,21372744.0,14.7155,14.42,14.77,14.94,14.35,2020-12-15,68244
99,18948272.0,14.6166,14.75,14.6,14.76,14.51,2020-12-16,63804
100,19654681.0,14.4078,14.58,14.3,14.66,14.27,2020-12-17,66315
101,35544352.0,14.2375,14.33,14.21,14.42,14.1,2020-12-18,64380
102,20700980.0,13.9626,13.98,13.99,14.125,13.79,2020-12-21,67208
103,15059625.0,13.8681,13.98,13.78,14.0,13.78,2020-12-22,44034
104,16193692.0,13.8965,13.94,13.83,14.08,13.82,2020-12-23,42066
105,5740147.0,13.7828,13.83,13.83,13.86,13.6945,2020-12-24,21460
106,14201668.0,13.7103,13.87,13.64,14.0,13.6,2020-12-28,48086
107,14990819.0,13.5787,13.74,13.57,13.75,13.47,2020-12-29,55630
108,11786912.0,13.6262,13.56,13.57,13.795,13.53,2020-12-30,36858
109,15183560.0,13.5887,13.53,13.67,13.72,13.47,2020-12-31,42344
110,17385315.0,13.5868,13.75,13.56,13.86,13.475,2021-01-04,56241
111,18842843.0,13.9261,13.68,13.9,14.13,13.65,2021-01-05,63686
112,22446709.0,14.3036,14.1,14.36,14.4659,14.015,2021-01-06,70352
113,17494530.0,14.5389,14.43,14.6,14.66,14.28,2021-01-07,56568
114,18904496.0,14.4629,14.6,14.49,14.68,14.3,2021-01-08,58392
115,25173288.0,14.6824,14.21,14.74,14.88,14.19,2021-01-11,64104
116,24542597.0,15.0803,14.63,15.21,15.23,14.62,2021-01-12,71182
117,18196436.0,15.2713,15.23,15.31,15.44,15.11,2021-01-13,64025
118,18291387.0,15.567,15.4,15.64,15.75,15.35,2021-01-14,62716
119,16960369.0,15.4819,15.52,15.49,15.61,15.17,2021-01-15,58443
120,17542212.0,15.5991,15.6,15.55,15.77,15.46,2021-01-19,60559
121,14438486.0,15.5302,15.57,15.59,15.66,15.41,2021-01-20,57886
122,19089937.0,15.3803,16.0,15.26,16.015,15.05,2021-01-21,76886
123,18274023.0,15.1964,15.03,15.32,15.37,14.825,2021-01-22,69306
