,v,vw,o,c,h,l,t,n
0,4852657.0,38.2385,38.28,38.12,38.86,37.87,2020-07-28,34223
1,5142924.0,39.4462,38.34,39.91,39.95,38.23,2020-07-29,38041
2,6002886.0,38.2651,39.0,38.08,39.27,37.63,2020-07-30,52860
3,10051323.0,38.0123,37.6,38.2,38.55,37.24,2020-07-31,51958
4,24707093.0,38.8898,38.4,38.57,40.04,37.42,2020-08-03,139551
5,13389259.0,37.5637,37.83,37.69,38.57,36.51,2020-08-04,86708
6,15080376.0,36.6785,38.08,36.43,38.13,36.27,2020-08-05,78988
7,7275917.0,36.0286,36.07,35.73,36.88,35.49,2020-08-06,55456
8,5527352.0,36.0801,35.59,36.67,36.75,35.25,2020-08-07,45406
9,9274539.0,36.8162,36.9,37.13,37.15,36.05,2020-08-10,46340
10,7720488.0,37.7823,38.0,36.95,38.68,36.73,2020-08-11,53137
11,8377858.0,38.019,38.03,38.13,38.45,37.3498,2020-08-12,50966
12,5116635.0,37.5534,37.5,37.26,38.0707,37.1196,2020-08-13,34635
13,5828000.0,38.0546,37.05,38.35,38.38,36.9011,2020-08-14,35395
14,5494089.0,38.6652,38.37,38.65,39.08,38.04,2020-08-17,42004
15,5872729.0,37.4626,37.93,37.24,38.22,37.23,2020-08-18,34432
16,5397008.0,37.3159,37.13,37.18,37.83,36.698,2020-08-19,32813
17,8172972.0,35.8998,36.58,35.62,36.69,35.62,2020-08-20,62945
18,6744932.0,35.3559,35.5,35.4,35.69,34.96,2020-08-21,44875
19,7278704.0,36.6035,35.8,36.81,37.02,35.48,2020-08-24,50864
20,7152349.0,36.4218,36.95,36.45,37.0,36.01,2020-08-25,45610
21,5227550.0,35.8218,36.32,35.33,36.6048,35.3,2020-08-26,39033
22,7434611.0,34.888,35.44,34.98,35.485,34.4,2020-08-27,50275
23,7138182.0,36.5821,35.16,37.09,37.26,35.1,2020-08-28,56988
24,5807735.0,35.7852,37.01,35.46,37.07,35.46,2020-08-31,36975
25,5142123.0,35.1049,35.01,34.97,35.864,34.63,2020-09-01,39163
26,5631266.0,34.9726,35.03,35.01,35.4276,34.59,2020-09-02,43035
27,6372947.0,34.6279,35.1,34.26,35.83,33.94,2020-09-03,51463
28,7324631.0,33.7856,34.54,33.64,34.7761,33.23,2020-09-04,59859
29,6747346.0,32.6899,33.04,32.33,33.41,32.23,2020-09-08,50774
30,7088664.0,32.0929,32.72,31.77,32.75,31.74,2020-09-09,50505
31,8998857.0,30.9736,31.88,30.27,31.97,30.22,2020-09-10,75307
32,8342446.0,31.1283,30.31,31.25,31.6,30.14,2020-09-11,62350
33,9389471.0,32.039,31.49,32.02,32.485,31.48,2020-09-14,46428
34,5302383.0,31.5061,31.96,31.09,32.47,30.95,2020-09-15,36775
35,9282437.0,32.2357,31.31,32.36,33.06,30.75,2020-09-16,48210
36,8504626.0,32.0195,31.55,32.12,32.4035,31.445,2020-09-17,46887
37,12764376.0,32.1798,31.74,32.28,32.6131,31.64,2020-09-18,53148
38,10424682.0,30.9831,30.8,31.25,31.34,30.25,2020-09-21,59335
39,9842463.0,31.1077,31.1,31.04,31.71,30.88,2020-09-22,41262
40,8732006.0,29.5272,30.9,28.73,31.162,28.7,2020-09-23,48615
41,9543664.0,28.3444,28.51,28.62,29.145,27.57,2020-09-24,64949
42,6744379.0,28.2516,28.13,28.63,28.89,27.6295,2020-09-25,53190
