,v,vw,o,c,h,l,t,n
0,14791982.0,5.5844,5.54,5.53,5.69,5.52,2020-07-28,36015
1,16194036.0,5.6269,5.58,5.74,5.74,5.51,2020-07-29,35722
2,20569844.0,5.51,5.57,5.51,5.61,5.4,2020-07-30,45602
3,21505634.0,5.4567,5.48,5.49,5.535,5.365,2020-07-31,46369
4,22781647.0,5.4694,5.49,5.52,5.59,5.34,2020-08-03,60555
5,24270594.0,5.7294,5.48,5.78,5.85,5.48,2020-08-04,64168
6,33425981.0,5.9474,5.94,5.98,6.08,5.85,2020-08-05,70539
7,31795587.0,5.7062,5.85,5.68,5.885,5.62,2020-08-06,64741
8,29029461.0,5.6007,5.62,5.74,5.75,5.455,2020-08-07,59170
9,25866170.0,5.9488,5.77,6.04,6.07,5.72,2020-08-10,62872
10,28829623.0,6.1542,6.21,5.94,6.36,5.91,2020-08-11,68919
11,20777473.0,5.991,6.14,5.98,6.15,5.85,2020-08-12,47193
12,17015473.0,5.8963,5.93,5.89,6.02,5.81,2020-08-13,42746
13,16436029.0,5.9716,5.8,6.05,6.05,5.78,2020-08-14,38775
14,22165952.0,5.8828,6.02,5.92,6.05,5.81,2020-08-17,44206
15,26773193.0,5.9152,5.84,5.95,6.03,5.79,2020-08-18,44517
16,24421433.0,5.807,5.9,5.73,5.92,5.7,2020-08-19,50566
17,23178770.0,5.5538,5.63,5.51,5.68,5.46,2020-08-20,49003
18,28192568.0,5.3247,5.46,5.27,5.47,5.25,2020-08-21,58925
19,21518422.0,5.4267,5.35,5.45,5.55,5.27,2020-08-24,45232
20,18016711.0,5.4791,5.53,5.49,5.59,5.37,2020-08-25,37467
21,15525336.0,5.3655,5.46,5.3,5.5,5.28,2020-08-26,39306
22,19419634.0,5.2992,5.37,5.36,5.38,5.22,2020-08-27,45295
23,18984948.0,5.3723,5.36,5.39,5.44,5.28,2020-08-28,41667
24,24459343.0,5.2871,5.39,5.28,5.4,5.24,2020-08-31,53677
25,17669158.0,5.2838,5.26,5.32,5.34,5.16,2020-09-01,43993
26,24996385.0,5.1721,5.27,5.12,5.32,5.1,2020-09-02,53838
27,28137690.0,5.0733,5.1,4.99,5.23,4.95,2020-09-03,55248
28,30354940.0,4.9402,5.03,4.93,5.11,4.85,2020-09-04,60462
29,35517503.0,4.5894,4.77,4.5,4.79,4.5,2020-09-08,75349
30,27918781.0,4.4917,4.56,4.54,4.56,4.41,2020-09-09,56058
31,35901559.0,4.4256,4.51,4.36,4.56,4.36,2020-09-10,63246
32,30702145.0,4.4272,4.39,4.47,4.48,4.34,2020-09-11,60414
33,22583824.0,4.4161,4.47,4.4,4.4879,4.36,2020-09-14,54430
34,23162054.0,4.4045,4.4,4.34,4.4976,4.32,2020-09-15,51668
35,35394514.0,4.5529,4.42,4.56,4.67,4.35,2020-09-16,68100
36,22812647.0,4.6153,4.48,4.68,4.7,4.465,2020-09-17,49534
37,50004193.0,4.7883,4.6602,4.82,4.87,4.65,2020-09-18,57235
38,23214700.0,4.5655,4.64,4.56,4.65,4.49,2020-09-21,45456
39,17739323.0,4.511,4.59,4.47,4.69,4.44,2020-09-22,36518
40,20929963.0,4.3429,4.5,4.21,4.53,4.21,2020-09-23,45644
41,28878070.0,4.2181,4.19,4.31,4.4,4.02,2020-09-24,55330
42,24587117.0,4.1537,4.23,4.14,4.28,4.08,2020-09-25,50646
43,25230344.0,4.2759,4.21,4.29,4.37,4.13,2020-09-28,48367
44,23749516.0,4.1279,4.26,4.16,4.27,4.04,2020-09-29,47771
45,24772047.0,4.1254,4.15,4.09,4.21,4.06,2020-09-30,47288
46,25605359.0,3.9756,4.05,3.95,4.08,3.93,2020-10-01,53736
47,34149494.0,4.0211,3.82,4.12,4.13,3.79,2020-10-02,55242
48,26664375.0,4.1945,4.21,4.23,4.24,4.09,2020-10-05,45972
49,29906527.0,4.1762,4.29,4.04,4.38,4.03,2020-10-06,48292
50,21847584.0,4.0952,4.1,4.13,4.15,4.03,2020-10-07,38253
51,26167134.0,4.2393,4.11,4.38,4.38,4.06,2020-10-08,41408
52,23318460.0,4.2827,4.41,4.26,4.475,4.2,2020-10-09,49710
53,24688109.0,4.2541,4.24,4.29,4.32,4.18,2020-10-12,39677
54,21478263.0,4.2534,4.21,4.23,4.3282,4.19,2020-10-13,33723
55,23566632.0,4.3299,4.26,4.2,4.47,4.2,2020-10-14,47276
56,21913254.0,4.1628,4.15,4.27,4.27,4.06,2020-10-15,39210
57,25300251.0,4.1277,4.23,4.07,4.23,4.07,2020-10-16,39651
58,28945247.0,4.0426,4.1,3.98,4.14,3.98,2020-10-19,49794
59,27875858.0,4.102,4.01,4.15,4.19,4.0,2020-10-20,44512
60,27433753.0,4.1328,4.11,4.1,4.225,4.06,2020-10-21,47904
61,29929702.0,4.2758,4.11,4.37,4.4,4.09,2020-10-22,54331
62,30845067.0,4.4624,4.4,4.44,4.56,4.37,2020-10-23,55003
63,28139870.0,4.1715,4.29,4.13,4.3,4.1,2020-10-26,48783
64,29365753.0,4.1377,4.11,4.13,4.19,4.04,2020-10-27,49167
65,36215144.0,3.9076,3.98,3.85,4.0,3.82,2020-10-28,62187
66,33593625.0,3.8907,3.81,3.99,3.99,3.73,2020-10-29,61585
