,v,vw,o,c,h,l,t,n
0,5748684.0,28.1449,28.0,28.06,28.57,27.8,2020-07-28,43259
1,10841279.0,28.6824,27.49,29.72,29.76,26.7,2020-07-29,84100
2,5843988.0,29.0532,28.95,29.04,29.48,28.57,2020-07-30,47859
3,7313998.0,27.7486,28.0,27.91,28.38,27.05,2020-07-31,45428
4,3904459.0,28.0764,27.71,28.12,28.43,27.53,2020-08-03,36576
5,4455655.0,28.9813,28.03,29.19,29.4323,27.99,2020-08-04,35866
6,8256730.0,30.163,30.01,30.49,31.36,29.285,2020-08-05,61230
7,5726239.0,29.476,30.27,29.11,30.47,29.035,2020-08-06,51710
8,3113177.0,29.2938,28.76,29.47,29.56,28.6,2020-08-07,28995
9,3911693.0,30.2326,29.69,30.22,30.725,29.65,2020-08-10,33089
10,5310682.0,30.6346,30.99,30.03,31.205,30.02,2020-08-11,43667
11,5940073.0,30.3187,30.65,29.94,31.08,29.69,2020-08-12,41178
12,4360220.0,29.0734,29.76,28.81,29.97,28.575,2020-08-13,40847
13,3324008.0,29.4729,28.82,29.49,29.95,28.59,2020-08-14,25308
14,3197295.0,29.1796,29.48,28.98,29.68,28.91,2020-08-17,26775
15,5456916.0,28.2076,28.98,28.08,29.13,27.965,2020-08-18,34898
16,2786937.0,28.0465,28.08,27.86,28.55,27.74,2020-08-19,24721
17,3017954.0,27.5836,27.5,27.55,27.85,27.24,2020-08-20,24503
18,3958475.0,26.8585,27.35,26.88,27.35,26.48,2020-08-21,32042
19,3611320.0,27.1566,27.0,27.26,27.49,26.58,2020-08-24,29846
20,4289624.0,27.0607,27.6,27.26,27.86,26.505,2020-08-25,31779
21,4226832.0,26.7111,27.23,26.56,27.3399,26.46,2020-08-26,34475
22,3206914.0,26.8848,26.62,27.04,27.17,26.58,2020-08-27,28586
23,3423770.0,27.811,27.63,28.08,28.255,27.25,2020-08-28,29440
24,3573960.0,27.5618,28.02,27.48,28.05,27.27,2020-08-31,27100
25,3303794.0,27.152,27.25,27.15,27.52,26.86,2020-09-01,26529
26,3052392.0,27.2732,27.03,27.31,27.67,26.9,2020-09-02,25354
27,4001118.0,26.9858,27.3,26.91,27.85,26.57,2020-09-03,34157
28,3465662.0,26.6581,27.12,26.76,27.49,26.12,2020-09-04,31828
29,4494382.0,26.1014,26.34,26.15,26.49,25.53,2020-09-08,40271
30,2890860.0,26.5247,26.43,26.48,26.72,26.13,2020-09-09,26602
31,3224899.0,26.367,26.64,26.03,26.84,26.01,2020-09-10,29452
32,3281712.0,26.3202,26.14,26.34,26.55,25.868,2020-09-11,27594
33,4148365.0,27.1726,26.58,27.3,27.615,26.34,2020-09-14,36858
34,5161406.0,26.6318,27.35,26.29,27.64,26.06,2020-09-15,37841
35,4683986.0,27.8139,26.52,28.07,28.46,26.46,2020-09-16,31438
36,4465744.0,27.8629,27.4,28.03,28.32,27.01,2020-09-17,32983
