,v,vw,o,c,h,l,t,n
0,12938088.0,16.4748,16.48,16.35,16.78,16.31,2020-07-28,54767
1,16490520.0,16.7501,16.53,17.03,17.04,16.4533,2020-07-29,63116
2,29460018.0,15.9444,16.55,15.77,16.63,15.75,2020-07-30,114604
3,15713175.0,15.6096,15.81,15.74,15.84,15.41,2020-07-31,78953
4,23018531.0,15.3134,15.75,15.25,15.76,15.1,2020-08-03,99610
5,21829832.0,15.7584,15.15,15.74,16.0,15.13,2020-08-04,90365
6,24954360.0,16.1357,16.42,15.94,16.4867,15.855,2020-08-05,104857
7,18905995.0,15.6224,15.91,15.45,16.01,15.385,2020-08-06,84111
8,21113020.0,15.2241,15.46,15.45,15.555,14.96,2020-08-07,83907
9,26850261.0,16.1113,15.67,16.48,16.48,15.62,2020-08-10,115838
10,42296020.0,15.9391,16.44,15.16,16.74,15.1,2020-08-11,176718
11,32166218.0,15.1001,15.5,14.92,15.5499,14.85,2020-08-12,121749
12,28728689.0,14.8065,14.95,14.6,15.2481,14.54,2020-08-13,108815
13,21583804.0,14.5289,14.5,14.64,14.7199,14.36,2020-08-14,78557
14,31375270.0,13.9265,14.47,13.91,14.51,13.73,2020-08-17,126108
15,16966210.0,14.0098,13.93,13.95,14.19,13.83,2020-08-18,70209
16,18366164.0,13.8948,13.93,13.82,14.12,13.75,2020-08-19,74324
17,22029075.0,13.4624,13.52,13.4,13.73,13.25,2020-08-20,89450
18,23045068.0,13.1373,13.39,13.16,13.42,12.93,2020-08-21,86271
19,18953823.0,13.4761,13.13,13.62,13.725,13.025,2020-08-24,74874
20,16492784.0,13.5602,13.81,13.51,14.03,13.31,2020-08-25,63564
21,19950835.0,13.1106,13.42,12.96,13.47,12.95,2020-08-26,74360
22,20328831.0,12.8997,13.02,13.04,13.14,12.72,2020-08-27,82439
23,14290883.0,13.0687,12.96,13.13,13.225,12.89,2020-08-28,52332
24,18099737.0,12.8482,13.16,12.74,13.17,12.73,2020-08-31,71977
25,23398376.0,12.4677,12.59,12.48,12.62,12.33,2020-09-01,91652
26,19534199.0,12.4458,12.32,12.4,12.66,12.28,2020-09-02,67930
27,26317688.0,12.6166,12.35,12.59,12.9,12.35,2020-09-03,105138
28,22935227.0,12.3221,12.72,12.25,12.84,12.12,2020-09-04,97978
29,37078315.0,11.2568,11.87,11.06,11.98,11.02,2020-09-08,142897
30,22470947.0,11.0555,11.21,11.07,11.21,10.9,2020-09-09,91638
31,43765665.0,10.5485,11.05,10.19,11.08,10.18,2020-09-10,142498
32,35747450.0,10.1703,10.19,10.22,10.36,9.83,2020-09-11,128395
33,25459389.0,10.1462,10.22,10.17,10.3801,9.93,2020-09-14,89967
34,34960352.0,10.6753,10.23,10.71,10.885,10.2,2020-09-15,113589
35,53493983.0,11.3966,10.87,11.64,12.03,10.655,2020-09-16,164549
36,28224164.0,11.7388,11.2,11.86,12.03,11.1734,2020-09-17,101629
37,41735898.0,11.6828,11.79,11.65,12.09,11.47,2020-09-18,91791
38,23264205.0,11.1504,11.09,11.29,11.32,10.9,2020-09-21,86949
39,17648138.0,11.1795,11.33,11.08,11.585,11.03,2020-09-22,67503
40,24620422.0,10.7117,11.13,10.41,11.27,10.39,2020-09-23,79701
