,v,vw,o,c,h,l,t,n
0,2460674.0,63.9015,64.14,63.58,64.96,63.4,2020-07-28,25270
1,2484890.0,65.0486,64.16,65.58,65.59,63.71,2020-07-29,26251
2,3149659.0,62.7863,64.01,63.09,64.21,61.3,2020-07-30,34602
3,5876739.0,61.6362,61.37,62.02,63.1,60.59,2020-07-31,45619
4,4375010.0,60.8073,61.31,61.12,62.0,60.035,2020-08-03,45393
5,3455796.0,61.3189,60.75,61.85,62.33,60.12,2020-08-04,35291
6,4636624.0,61.7706,63.12,61.96,63.12,60.53,2020-08-05,45197
7,3228188.0,61.3055,61.1,60.97,62.9499,60.6799,2020-08-06,31320
8,2938731.0,61.9746,60.6,62.87,62.99,60.14,2020-08-07,30023
9,3406607.0,64.081,63.37,64.87,64.92,62.9,2020-08-10,28975
10,3600758.0,65.3541,66.39,64.11,67.47,63.75,2020-08-11,35798
11,3468366.0,64.4242,65.34,64.41,65.51,63.805,2020-08-12,32508
12,2909650.0,63.226,63.85,62.63,64.29,62.62,2020-08-13,28868
13,2674660.0,63.2393,62.1,63.66,63.76,61.86,2020-08-14,26598
14,2851979.0,62.5174,62.7,62.36,63.14,62.13,2020-08-17,26078
15,2691764.0,61.5835,62.26,61.31,62.5,61.09,2020-08-18,28709
16,3152736.0,61.4706,61.5,61.42,62.0861,60.37,2020-08-19,29882
17,2629226.0,61.0281,60.76,60.97,61.59,60.62,2020-08-20,26983
18,3232687.0,61.0051,61.0,60.97,61.78,60.57,2020-08-21,27755
19,3059561.0,62.9117,61.25,63.65,63.68,60.675,2020-08-24,29316
20,2356496.0,61.908,63.7,61.63,63.95,61.4167,2020-08-25,25136
21,3043066.0,60.6707,61.42,60.03,61.84,60.01,2020-08-26,30728
22,3189192.0,59.7553,60.18,60.26,60.43,59.07,2020-08-27,32438
23,2495752.0,61.5352,60.35,61.79,62.07,60.35,2020-08-28,25903
24,3685207.0,59.1431,61.85,58.47,61.92,58.46,2020-08-31,36293
