,v,vw,o,c,h,l,t,n
0,853995.0,97.0312,97.63,96.55,98.68,96.19,2020-07-28,12417
1,1138560.0,97.7558,96.79,98.54,98.55,96.08,2020-07-29,13843
2,1061038.0,95.6766,96.03,95.85,97.07,93.93,2020-07-30,16995
3,1232931.0,95.911,94.84,96.92,97.04,94.5,2020-07-31,16591
4,1225933.0,97.9209,97.9,97.84,99.3,96.16,2020-08-03,17246
5,1625958.0,99.4289,97.59,99.52,100.38,97.21,2020-08-04,20699
6,2188613.0,102.1508,101.65,102.65,103.99,99.6,2020-08-05,30038
7,1332032.0,102.4548,101.89,102.36,103.8726,101.6816,2020-08-06,18983
8,1562127.0,102.8367,101.25,104.28,104.62,99.31,2020-08-07,20847
9,1915024.0,108.3745,104.93,108.99,109.44,104.5445,2020-08-10,25537
10,1630167.0,109.0994,111.01,106.56,111.95,106.21,2020-08-11,22046
11,1487395.0,110.1417,109.22,110.5,111.48,107.8,2020-08-12,19722
12,1728794.0,110.4092,109.77,109.94,111.71,109.51,2020-08-13,22031
13,1042060.0,110.2563,108.95,110.73,110.9,108.605,2020-08-14,15010
14,1288521.0,108.9839,111.0,108.61,111.18,107.48,2020-08-17,16187
15,1341580.0,107.8177,108.26,107.7,109.225,107.14,2020-08-18,16013
16,1392375.0,105.9548,107.24,104.77,107.9,104.32,2020-08-19,19894
17,1092151.0,103.4728,103.13,102.67,104.67,102.62,2020-08-20,17636
18,1395938.0,102.5126,102.58,102.11,103.7,101.98,2020-08-21,18897
19,1503914.0,104.4961,102.84,104.75,105.9508,102.53,2020-08-24,17322
20,1177341.0,106.6977,106.25,106.92,107.2816,105.09,2020-08-25,16058
21,1056279.0,105.2563,106.0,104.41,106.9,104.29,2020-08-26,14471
22,816697.0,105.2104,105.01,105.38,105.84,104.1,2020-08-27,15363
23,801046.0,105.2529,106.0,105.6,106.0,103.96,2020-08-28,12893
24,1448191.0,104.1714,105.6,103.93,105.81,103.17,2020-08-31,14304
