,v,vw,o,c,h,l,t,n
0,14633757.0,19.2695,19.49,19.15,19.6,18.99,2020-07-28,75670
1,7591060.0,19.2399,19.1,19.43,19.48,18.95,2020-07-29,46155
2,15701374.0,18.4713,19.05,18.44,19.155,18.2,2020-07-30,82122
3,15473773.0,18.1196,18.11,18.14,18.555,17.92,2020-07-31,81204
4,9777534.0,18.6318,18.1,18.72,18.97,17.87,2020-08-03,56401
5,10259635.0,19.1239,18.68,19.23,19.36,18.6,2020-08-04,53917
6,9744135.0,19.5679,19.66,19.5,19.95,19.37,2020-08-05,52446
7,6830801.0,19.3685,19.45,19.32,19.69,19.21,2020-08-06,37668
8,7203358.0,19.3653,19.19,19.63,19.65,19.02,2020-08-07,41490
9,11753669.0,20.1285,19.56,20.22,20.39,19.48,2020-08-10,54450
10,12619738.0,20.6694,20.86,20.3,21.27,20.19,2020-08-11,68091
11,14705533.0,20.1575,20.66,20.36,20.76,19.805,2020-08-12,69304
12,8701472.0,19.9405,20.29,19.87,20.29,19.73,2020-08-13,46315
13,7391268.0,20.0166,19.67,20.07,20.165,19.59,2020-08-14,41309
14,8766812.0,20.027,19.95,20.01,20.24,19.86,2020-08-17,46058
15,7952933.0,19.8088,19.86,19.77,20.145,19.68,2020-08-18,42994
16,8141046.0,19.8581,19.74,19.72,20.13,19.625,2020-08-19,42144
17,10364449.0,19.0153,19.39,18.77,19.58,18.77,2020-08-20,51442
18,9265053.0,18.5504,18.55,18.58,18.7,18.37,2020-08-21,47170
19,8802773.0,19.3305,18.72,19.55,19.725,18.67,2020-08-24,50242
20,11266450.0,19.3477,19.97,19.26,19.98,19.11,2020-08-25,49549
21,8074981.0,18.8645,19.23,18.67,19.27,18.64,2020-08-26,41434
22,8661219.0,18.6406,18.75,18.7,18.87,18.44,2020-08-27,47483
23,12753241.0,19.1993,18.8,19.42,19.46,18.77,2020-08-28,51117
24,13703197.0,19.1134,19.5,19.01,19.54,18.94,2020-08-31,64155
25,9634359.0,18.6853,18.52,18.63,18.92,18.46,2020-09-01,45545
26,10996553.0,18.6149,18.53,18.77,18.79,18.355,2020-09-02,57660
27,17025813.0,19.2018,18.77,19.12,19.56,18.67,2020-09-03,98982
28,15494556.0,19.246,19.35,19.31,19.685,18.89,2020-09-04,83396
29,15840657.0,18.3752,18.9,18.38,19.02,17.93,2020-09-08,91322
30,10087686.0,18.5691,18.48,18.61,18.74,18.37,2020-09-09,59242
31,16342979.0,17.9991,18.65,17.71,18.65,17.64,2020-09-10,81931
32,8739623.0,17.7979,17.76,17.87,17.97,17.49,2020-09-11,54320
33,10020504.0,17.9754,17.89,18.03,18.21,17.64,2020-09-14,62003
34,10730266.0,18.2337,18.07,18.2,18.45,17.965,2020-09-15,55913
