,v,vw,o,c,h,l,t,n
0,3676099.0,57.0832,57.62,56.89,58.54,56.52,2020-07-28,28721
1,4554505.0,59.0804,57.6,59.69,59.76,57.14,2020-07-29,37816
2,6313240.0,55.8485,56.43,56.33,57.3689,54.4011,2020-07-30,55703
3,5179003.0,56.0001,55.54,56.23,56.46,55.07,2020-07-31,39883
4,5475917.0,54.3189,55.23,53.91,55.66,53.58,2020-08-03,50881
5,5753505.0,53.0462,53.69,53.02,53.93,51.93,2020-08-04,53318
6,5350498.0,52.2159,54.28,51.62,54.38,51.29,2020-08-05,49900
7,3967402.0,51.803,51.36,51.48,52.98,51.1,2020-08-06,43564
8,3341400.0,51.7513,51.22,52.66,52.865,50.73,2020-08-07,34737
9,5692011.0,53.3481,53.0,53.55,53.77,52.39,2020-08-10,30088
10,4801035.0,54.3359,55.03,53.65,55.73,53.45,2020-08-11,33943
11,3183113.0,54.6253,54.65,55.12,55.15,53.5,2020-08-12,30036
12,3451917.0,53.8471,54.32,53.19,54.94,53.1,2020-08-13,29074
13,3730132.0,53.8579,52.85,54.46,54.52,52.65,2020-08-14,31860
14,4364854.0,55.5638,54.36,55.6,56.18,54.1683,2020-08-17,36246
15,2613392.0,55.0387,55.25,54.74,55.78,54.62,2020-08-18,29171
16,3074228.0,54.4701,54.32,54.26,54.9799,53.66,2020-08-19,25757
17,3828498.0,52.7883,53.68,52.7,53.95,51.9802,2020-08-20,36345
18,3028105.0,52.4964,52.56,52.62,53.23,52.04,2020-08-21,26076
19,3247337.0,54.6181,53.07,54.99,55.18,52.78,2020-08-24,30486
20,3456418.0,54.3664,55.15,54.25,55.81,53.7,2020-08-25,34165
21,4125662.0,53.7559,54.15,53.7,54.66,53.26,2020-08-26,35762
22,3480580.0,52.9574,53.83,53.44,53.945,52.3327,2020-08-27,33877
23,3844957.0,54.5075,53.64,54.89,55.02,53.64,2020-08-28,35431
24,4536068.0,53.0169,55.11,52.59,55.25,52.53,2020-08-31,34485
