,v,vw,o,c,h,l,t,n
0,6821968.0,18.8735,18.74,18.87,19.04,18.67,2020-07-28,40274
1,9872856.0,19.5468,18.85,19.77,19.85,18.85,2020-07-29,47922
2,6469358.0,19.2952,19.37,19.34,19.44,19.09,2020-07-30,42743
3,17714831.0,19.0689,19.29,19.13,19.34,18.72,2020-07-31,49826
4,7640205.0,19.703,19.2,19.72,20.0,19.0,2020-08-03,48723
5,15074391.0,20.9896,19.83,21.34,21.44,19.805,2020-08-04,72194
6,9051244.0,21.4342,21.72,21.29,21.83,21.17,2020-08-05,54952
7,10160731.0,20.9458,21.22,20.82,21.28,20.71,2020-08-06,54282
8,7153334.0,20.6347,20.57,20.85,20.86,20.46,2020-08-07,43263
9,6630209.0,21.4106,20.81,21.54,21.67,20.81,2020-08-10,35734
10,9526972.0,21.6319,21.77,21.42,21.855,21.37,2020-08-11,51049
11,6587006.0,21.5995,21.69,21.61,21.855,21.47,2020-08-12,35289
12,4956358.0,21.6024,21.52,21.57,21.785,21.37,2020-08-13,32251
13,6460943.0,22.0879,21.49,22.13,22.325,21.41,2020-08-14,37513
14,6244076.0,22.2512,22.13,22.34,22.425,21.92,2020-08-17,40755
15,5933216.0,21.901,22.26,21.8,22.31,21.725,2020-08-18,36336
16,4830865.0,21.7658,21.85,21.65,22.09,21.62,2020-08-19,31536
17,5650645.0,21.4461,21.41,21.4,21.58,21.185,2020-08-20,34644
18,5193876.0,21.3497,21.41,21.41,21.46,21.12,2020-08-21,32193
19,7167286.0,21.5907,21.51,21.68,21.69,21.175,2020-08-24,32769
20,6475783.0,21.3491,21.85,21.39,21.85,21.11,2020-08-25,39901
21,6355501.0,21.1044,21.35,21.05,21.39,20.89,2020-08-26,38269
22,8623813.0,20.9397,21.01,20.96,21.29,20.735,2020-08-27,43846
23,5407005.0,21.0063,21.04,21.07,21.265,20.799,2020-08-28,34645
24,7066690.0,20.8182,21.16,20.76,21.21,20.74,2020-08-31,31958
25,6731448.0,20.8846,20.6,20.96,21.05,20.44,2020-09-01,35504
26,7623131.0,21.2062,20.96,21.28,21.35,20.86,2020-09-02,41210
27,7150693.0,21.0185,21.24,20.9,21.4,20.725,2020-09-03,46161
28,5712777.0,20.664,21.0,20.69,21.12,20.4,2020-09-04,41440
29,8889869.0,20.5215,20.47,20.48,20.75,20.22,2020-09-08,62678
30,10492466.0,21.1221,20.71,21.02,21.315,20.71,2020-09-09,60287
31,8239621.0,20.3402,20.64,20.18,20.665,20.17,2020-09-10,51718
32,8109633.0,20.3109,20.29,20.23,20.62,20.105,2020-09-11,47705
33,9877446.0,20.7806,20.35,20.85,20.99,20.1605,2020-09-14,50078
34,11835291.0,20.9339,20.92,20.87,21.22,20.76,2020-09-15,49483
35,15112520.0,21.3999,21.05,21.42,21.64,20.93,2020-09-16,52324
36,14935375.0,21.2043,21.06,21.31,21.34,20.83,2020-09-17,53732
37,21516703.0,20.793,21.01,20.74,21.18,20.525,2020-09-18,55103
38,13753935.0,20.5399,20.3,20.67,20.71,20.025,2020-09-21,51251
39,15458757.0,20.8324,20.63,20.81,21.01,20.61,2020-09-22,59908
40,13437712.0,20.2677,20.86,19.91,20.97,19.9,2020-09-23,72409
41,9858878.0,19.7636,19.82,19.93,20.18,19.335,2020-09-24,60813
42,8050874.0,19.8081,19.69,19.98,20.03,19.58,2020-09-25,48932
43,7836709.0,20.3689,20.19,20.4,20.64,20.02,2020-09-28,46425
44,7181207.0,20.3453,20.45,20.26,20.63,20.09,2020-09-29,42447
45,11878283.0,19.9028,20.37,19.65,20.5,19.63,2020-09-30,56255
46,14537002.0,18.9705,19.46,18.78,19.605,18.655,2020-10-01,78838
47,11815324.0,18.962,18.44,19.09,19.27,18.31,2020-10-02,62139
48,6231024.0,19.4285,19.32,19.54,19.69,19.175,2020-10-05,39795
49,11641738.0,19.617,19.79,19.33,19.88,19.28,2020-10-06,61096
50,7344418.0,19.3154,19.46,19.39,19.58,19.14,2020-10-07,42772
51,6666278.0,19.7338,19.47,19.99,20.01,19.29,2020-10-08,36676
52,10157674.0,19.5038,20.05,19.42,20.11,19.34,2020-10-09,51906
53,9571420.0,19.4073,19.54,19.45,19.56,19.23,2020-10-12,48004
54,9101678.0,19.4413,19.32,19.42,19.61,19.2721,2020-10-13,50288
55,8407709.0,19.8413,19.43,19.68,20.165,19.43,2020-10-14,48925
56,10700647.0,19.5198,19.25,19.71,19.77,19.01,2020-10-15,54142
57,8513719.0,19.5117,19.76,19.27,19.98,19.26,2020-10-16,36744
58,8137728.0,19.357,19.43,19.29,19.67,19.13,2020-10-19,40489
59,7948327.0,19.6978,19.46,19.69,19.8722,19.43,2020-10-20,48322
60,8090598.0,19.4715,19.64,19.3,19.8,19.3,2020-10-21,45922
61,7609125.0,20.0116,19.26,20.31,20.32,19.23,2020-10-22,50138
62,9225242.0,19.9578,20.39,19.96,20.44,19.66,2020-10-23,41629
63,8852902.0,19.1674,19.66,19.2,19.67,18.845,2020-10-26,50234
64,7799249.0,19.4008,19.34,19.42,19.565,19.135,2020-10-27,45298
65,8528823.0,18.9725,19.0,18.86,19.27,18.7,2020-10-28,57559
66,7898910.0,18.868,18.78,19.1,19.18,18.3166,2020-10-29,48894
67,8980948.0,18.9588,18.91,19.19,19.205,18.605,2020-10-30,55203
68,11425238.0,18.871,19.5,18.77,19.5,18.61,2020-11-02,69654
69,7005771.0,18.9402,19.03,18.98,19.23,18.45,2020-11-03,51293
70,6726135.0,19.273,19.13,19.09,19.63,18.73,2020-11-04,43442
71,7988510.0,19.2344,19.11,19.11,19.545,19.055,2020-11-05,46541
72,9491259.0,18.5746,19.13,18.26,19.47,18.26,2020-11-06,53925
73,14512947.0,19.5651,19.78,19.35,20.07,19.22,2020-11-09,86903
74,10952123.0,19.7414,19.61,19.99,20.02,19.25,2020-11-10,64606
75,8720231.0,19.9298,20.18,20.02,20.21,19.735,2020-11-11,53796
76,8359906.0,19.4828,19.81,19.34,19.98,19.065,2020-11-12,49142
77,6502609.0,19.9703,19.52,20.04,20.16,19.47,2020-11-13,38792
78,9440393.0,20.3569,20.63,20.23,20.65,20.165,2020-11-16,51820
79,12161148.0,20.5819,20.11,20.83,20.84,19.98,2020-11-17,59844
80,13877439.0,20.3504,20.91,20.0,20.96,19.99,2020-11-18,61522
81,11673737.0,19.9425,19.86,20.16,20.24,19.57,2020-11-19,62306
82,7571168.0,20.2132,20.13,20.34,20.37,19.98,2020-11-20,42927
83,8285893.0,21.166,20.61,21.28,21.33,20.35,2020-11-23,46644
84,10504251.0,21.9025,21.7,21.96,22.015,21.525,2020-11-24,57515
85,7440541.0,21.6003,21.87,21.62,21.87,21.33,2020-11-25,39296
86,4241371.0,21.4934,21.54,21.46,21.7,21.34,2020-11-27,21832
87,11620652.0,21.1035,21.41,20.98,21.615,20.87,2020-11-30,48954
88,8013902.0,21.0071,21.34,20.9,21.4,20.6821,2020-12-01,49735
89,9170917.0,21.5985,20.85,21.65,21.85,20.77,2020-12-02,49407
90,12575262.0,21.717,21.59,21.56,22.0,21.365,2020-12-03,61448
