,v,vw,o,c,h,l,t,n
0,19432373.0,43.754,43.91,43.55,44.25,43.46,2020-07-28,107618
1,14357462.0,43.7196,43.71,44.03,44.09,43.34,2020-07-29,81894
2,30273396.0,42.0894,43.13,41.87,43.18,41.825,2020-07-30,179557
3,32270629.0,41.6269,41.16,42.08,42.17,40.91,2020-07-31,175836
4,23414646.0,42.1123,42.05,42.25,42.5,41.47,2020-08-03,125490
5,17992999.0,43.1709,42.34,43.47,43.6,42.24,2020-08-04,106060
6,17775562.0,43.9237,44.15,43.85,44.31,43.53,2020-08-05,100578
7,14718934.0,43.6002,43.4,43.64,43.9,43.25,2020-08-06,81470
8,19057164.0,43.2619,43.23,43.44,43.52,42.81,2020-08-07,104769
9,24733437.0,44.1957,43.99,44.51,44.6,43.595,2020-08-10,147364
10,29541246.0,45.5572,45.5,44.97,46.42,44.73,2020-08-11,159138
11,22902819.0,44.1088,44.46,44.09,44.94,43.63,2020-08-12,116033
12,17641867.0,43.2818,43.5,43.01,43.87,42.92,2020-08-13,101910
13,13891923.0,43.0103,42.6,43.2,43.28,42.41,2020-08-14,80452
14,15829847.0,42.6809,43.17,42.64,43.17,42.47,2020-08-17,89507
15,13309993.0,42.5758,42.59,42.43,43.19,42.29,2020-08-18,79094
16,14698181.0,42.2169,42.35,41.96,42.655,41.865,2020-08-19,84485
17,16018530.0,41.5067,41.69,41.32,41.885,41.3,2020-08-20,95090
18,26471684.0,41.0702,41.3,41.01,41.34,40.71,2020-08-21,126474
19,18530082.0,41.9632,41.28,42.22,42.5078,41.09,2020-08-24,107300
20,31933961.0,41.0959,41.66,40.88,42.065,40.7,2020-08-25,170360
21,27355061.0,40.2781,40.64,40.01,40.835,40.0,2020-08-26,156178
22,32546097.0,39.6949,40.0,39.74,40.3,39.305,2020-08-27,169509
23,33863787.0,40.4849,39.84,40.69,40.92,39.76,2020-08-28,136483
24,25659589.0,40.0887,40.64,39.94,40.72,39.895,2020-08-31,134846
25,23101853.0,39.4323,39.75,39.43,39.75,39.045,2020-09-01,130830
26,27010507.0,39.2209,39.23,39.19,39.715,38.95,2020-09-02,149502
27,29321635.0,39.3634,39.2,39.11,40.03,38.88,2020-09-03,170532
28,24981005.0,39.0914,39.46,39.08,39.79,38.65,2020-09-04,159624
29,39332827.0,38.0157,38.25,38.18,38.68,37.35,2020-09-08,207379
30,26387619.0,38.1952,38.35,37.95,38.84,37.92,2020-09-09,137715
31,35452349.0,37.4971,38.27,37.0,38.37,36.9,2020-09-10,171221
32,27116512.0,36.913,37.125,36.9,37.31,36.49,2020-09-11,154816
33,26781534.0,36.7754,36.91,36.66,37.01,36.49,2020-09-14,128500
34,24071770.0,36.6285,36.8,36.27,37.3792,36.21,2020-09-15,117862
35,31318030.0,37.4994,36.46,37.81,38.15,36.27,2020-09-16,146765
36,25044496.0,37.5493,37.35,37.8,37.98,36.97,2020-09-17,117142
37,50642438.0,37.2173,37.53,37.19,37.8235,36.7,2020-09-18,140143
38,35825221.0,36.1085,36.43,36.43,36.71,35.68,2020-09-21,174365
39,27576710.0,35.9289,36.46,35.53,36.84,35.47,2020-09-22,127626
40,31546313.0,34.8595,35.65,34.39,35.79,34.35,2020-09-23,165960
41,27185700.0,34.2525,34.4,34.32,34.82,33.76,2020-09-24,152101
42,23872353.0,34.413,34.0,34.64,34.94,33.88,2020-09-25,123890
43,23822484.0,35.4807,35.14,35.31,35.9,35.095,2020-09-28,122265
44,21106772.0,34.3666,35.0,34.28,35.11,33.99,2020-09-29,119790
45,22551701.0,34.4852,34.64,34.33,34.92,34.13,2020-09-30,112150
46,37749716.0,33.2627,33.79,33.13,34.1,32.94,2020-10-01,188216
47,33450882.0,32.8661,32.25,32.98,33.35,32.21,2020-10-02,178269
48,23402178.0,33.5132,33.32,33.74,33.75,33.17,2020-10-05,115188
49,27110688.0,33.8851,34.12,33.39,34.42,33.31,2020-10-06,136736
50,24091663.0,33.4265,33.64,33.5,33.74,33.21,2020-10-07,114541
51,34724039.0,34.9223,33.88,35.26,35.34,33.76,2020-10-08,170236
52,29783681.0,35.0681,35.68,34.74,35.95,34.65,2020-10-09,163021
53,18437640.0,34.5382,34.54,34.63,34.73,34.23,2020-10-12,94118
54,21484288.0,34.3498,34.73,34.22,34.87,34.1,2020-10-13,109173
55,18100878.0,34.4034,34.06,34.15,34.83,34.03,2020-10-14,95660
56,23689436.0,34.018,33.695,34.45,34.46,33.265,2020-10-15,121571
57,23798131.0,34.2766,34.37,34.1,34.64,33.875,2020-10-16,115115
58,24000480.0,33.8312,34.1,33.42,34.37,33.39,2020-10-19,120880
59,23305770.0,33.6476,33.66,33.7,33.93,33.33,2020-10-20,123916
60,29008062.0,33.3257,33.51,33.16,33.62,33.14,2020-10-21,117878
61,32107014.0,34.0865,33.18,34.86,34.96,33.02,2020-10-22,150896
62,27893656.0,34.347,34.97,34.16,35.08,33.86,2020-10-23,136153
63,31381106.0,33.2252,33.61,33.35,33.77,32.95,2020-10-26,149191
64,27447265.0,32.9381,33.15,32.82,33.2,32.7,2020-10-27,133316
65,42825645.0,31.8761,32.1,31.57,32.38,31.52,2020-10-28,202814
66,39467185.0,32.3716,31.41,32.97,33.13,31.11,2020-10-29,200698
67,48404067.0,32.4794,32.41,32.62,33.14,32.01,2020-10-30,199462
68,40631923.0,33.7338,33.14,33.99,34.455,32.57,2020-11-02,204595
69,37087574.0,33.7161,34.49,33.41,34.49,33.13,2020-11-03,172675
70,35886826.0,33.4385,33.27,33.23,34.14,32.53,2020-11-04,184919
71,31338228.0,33.456,33.37,33.17,33.92,33.14,2020-11-05,146166
72,34420122.0,33.006,33.1,32.78,33.66,32.62,2020-11-06,149407
73,79312023.0,36.9052,36.42,36.93,38.01,36.06,2020-11-09,408389
74,49877774.0,36.5606,37.05,36.86,37.43,35.98,2020-11-10,224298
75,34622772.0,36.5878,37.09,36.48,37.12,36.19,2020-11-11,150442
76,31225463.0,35.5499,35.86,35.23,36.29,34.87,2020-11-12,161336
77,29586343.0,35.9944,35.4,36.08,36.25,35.38,2020-11-13,151129
78,39680139.0,37.8389,37.59,38.16,38.17,37.1,2020-11-16,197733
79,27148418.0,38.2844,37.81,38.67,38.705,37.38,2020-11-17,145485
80,31568805.0,38.2055,39.02,37.21,39.125,37.2,2020-11-18,173613
81,27503585.0,37.1621,36.86,37.4,37.5,36.56,2020-11-19,151343
82,19063852.0,37.0504,37.35,36.94,37.41,36.78,2020-11-20,109711
83,29773603.0,38.671,37.5,39.36,39.43,37.28,2020-11-23,158026
84,47948056.0,41.4943,40.51,41.98,42.08,40.22,2020-11-24,269525
85,28673539.0,40.9902,41.67,40.81,41.71,40.65,2020-11-25,168838
86,14971948.0,40.3137,40.7,40.19,40.94,39.865,2020-11-27,94909
87,46116570.0,38.5165,39.8,38.13,39.88,37.97,2020-11-30,197864
88,32974069.0,38.9689,38.96,38.5,39.65,38.47,2020-12-01,173898
