,SIC Code,Office,Industry Title
0,100,Office of Life Sciences,AGRICULTURAL PRODUCTION-CROPS
1,200,Office of Life Sciences,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES
2,700,Office of Life Sciences,AGRICULTURAL SERVICES
3,800,Office of Life Sciences,FORESTRY
4,900,Office of Life Sciences,"FISHING, HUNTING AND TRAPPING"
5,1000,Office of Energy & Transportation,METAL MINING
6,1040,Office of Energy & Transportation,GOLD AND SILVER ORES
7,1090,Office of Energy & Transportation,MISCELLANEOUS METAL ORES
8,1220,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE MINING
9,1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING
10,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS
11,1381,Office of Energy & Transportation,DRILLING OIL & GAS WELLS
12,1382,Office of Energy & Transportation,OIL & GAS FIELD EXPLORATION SERVICES
13,1389,Office of Energy & Transportation,"OIL & GAS FIELD SERVICES, NEC"
14,1400,Office of Energy & Transportation,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
15,1520,Office of Real Estate & Construction,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS
16,1531,Office of Real Estate & Construction,OPERATIVE BUILDERS
17,1540,Office of Real Estate & Construction,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS
18,1600,Office of Real Estate & Construction,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
19,1623,Office of Real Estate & Construction,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION"
20,1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS
21,1731,Office of Real Estate & Construction,ELECTRICAL WORK
22,2000,Office of Manufacturing,FOOD AND KINDRED PRODUCTS
23,2011,Office of Manufacturing,MEAT PACKING PLANTS
24,2013,Office of Manufacturing,SAUSAGES & OTHER PREPARED MEAT PRODUCTS
25,2015,Office of Manufacturing,POULTRY SLAUGHTERING AND PROCESSING
26,2020,Office of Manufacturing,DAIRY PRODUCTS
27,2024,Office of Manufacturing,ICE CREAM & FROZEN DESSERTS
28,2030,Office of Manufacturing,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
29,2033,Office of Manufacturing,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES"
30,2040,Office of Manufacturing,GRAIN MILL PRODUCTS
