,id,publisher,title,author,published_utc,article_url,tickers,image_url,description,keywords,amp_url
0,Khy9c2Efg0SQMurA8Blvo250ieR8JadETtUkowtSECY,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",The Worst Mistake General Electric Investors Can Make Right Now,newsfeedback@fool.com (Matthew DiLallo),2019-02-28T13:18:00Z,https://www.fool.com/investing/2019/02/28/the-worst-mistake-general-electric-investors-can-m.aspx,"['GE', 'DHR', 'WAB', 'BKR']",https://g.foolcdn.com/editorial/images/513656/businessman-looking-to-graph-on-virtual-touchscreen.jpg,"Given all the volatility in the industrial giant’s stock over the past few months, some investors might feel the need to do something, which could be a big mistake.",['investing'],
1,jUhc0Ge6XNitAiZ5RtFEmZWORX8zLGIoAYOAnNMxuy8,"{'name': 'Invezz', 'homepage_url': 'https://invezz.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/invezz.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/invezz.png'}",Baker Hughes says its revenue slid 12% in the fiscal first quarter,Wajeeh Khan,2021-04-21T12:33:28Z,https://invezz.com/news/2021/04/21/baker-hughes-says-its-revenue-slid-12-in-the-fiscal-first-quarter/,['BKR'],https://invezz.com/wp-content/uploads/2021/01/159204403-s.jpg,"Baker Hughes Co. (NYSE: BKR) said on Wednesday that its adjusted profit in the fiscal first quarter was better than what analysts had anticipated. Its revenue in Q1, however, came in lower than expected. Baker Hughes shares were reported about 2% down in premarket trading on Wednesday. The stock is now exchanging hands at £13.91 […]
The post Baker Hughes says its revenue slid 12% in the fiscal first quarter appeared first on Invezz.","['Energy & Power', 'Industries', 'North America', 'Services', 'Stocks & Shares', 'USA', 'World']",https://invezz.com/news/2021/04/21/baker-hughes-says-its-revenue-slid-12-in-the-fiscal-first-quarter/?amp
2,cHqJ4vlimlHQ62pYGHWaZpsosQB9jXVeKQa5Tx3KW7Q,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Baker Hughes Co. (BKR) Q1 2021 Earnings Call Transcript,newsfeedback@fool.com (Motley Fool Transcribers),2021-04-21T17:30:39Z,https://www.fool.com/earnings/call-transcripts/2021/04/21/baker-hughes-co-bkr-q1-2021-earnings-call-transcri/?source=iedfolrf0000001,['BKR'],https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template.jpg,"BKR earnings call for the period ending March 31, 2021.",['earningscall-transcripts'],https://www.fool.com/amp/earnings/call-transcripts/2021/04/21/baker-hughes-co-bkr-q1-2021-earnings-call-transcri/
3,bgNg6y8Ftq2c8IptMNvNA9Bi-Ma9aX0jMU7y7qj3oUw,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/marketwatch.ico'}",Earnings Outlook: GE earnings: Stock has rallied while earnings estimates have dropped. Will investors or analysts be right this time?,MarketWatch,2021-04-26T19:17:00Z,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3BF40341C5D%7D&siteid=rss&rss=1,"['GE', 'AER', 'XLI', 'BKR']",https://images.mktw.net/im-268539/social,"General Electric Co. is scheduled to report first-quarter results before Tuesday's opening bell, and there may be some concern that investors are set up to be disappointed, given that the industrial conglomerate's stock has been rising even as analyst expectations have been falling.",,https://www.marketwatch.com/amp/story/ge-earnings-stock-has-rallied-while-earnings-estimates-have-dropped-will-investors-or-analysts-be-right-this-time-11619454684
4,va5D1yPIpXmUuSg-uBbD9QdIZiuNqlrrMwCTKeyR7WI,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/marketwatch.ico'}",: GE stock pulls back as profit beats Wall Street expectations but revenue falls a bit short,MarketWatch,2021-04-27T15:01:00Z,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3C4959B2D05%7D&siteid=rss&rss=1,['BKR'],https://images.mktw.net/im-273734/social,"Shares of General Electric Co. dropped Tuesday, as an adjusted first-quarter profit beat, upbeat free cash flow and an affirmed full-year outlook wasn't enough to extend their recent win streak, as revenue fell a bit shy of forecasts.",,https://www.marketwatch.com/amp/story/ge-stock-pulls-back-as-profit-beats-wall-street-expectations-but-revenue-falls-a-bit-short-11619535668
5,FI2n04qvChEcK2cE92siFpnjBfuDRdJd50xSiYQZ5SU,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","General Electric (GE) Q1 Earnings Top Estimates, Revenues Lag",Zacks Equity Research,2021-04-27T15:46:00Z,http://www.zacks.com/stock/news/1462458/general-electric-ge-q1-earnings-top-estimates-revenues-lag?cid=CS-ZC-FT-analyst_blog|earnings_article-1462458,"['GE', 'DHR', 'BKR', 'WAB']",https://staticx-tuner.zacks.com/images/articles/main/fb/468.jpg,General Electric's (GE) first-quarter 2021 earnings beat estimates and improve year over year as lower costs and expenses offset the decline in revenues. It maintains projections for 2021.,,https://www.zacks.com/amp/stock/news/1462458/general-electric-ge-q1-earnings-top-estimates-revenues-lag
6,xwGujeJp5mFhgxt0aq3JefpSnEXQn-bFchX8L8Mo6V8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Oil & Gas Stock Roundup: Q1 Earnings From SLB, HAL, BKR, KMI & VLO",Nilanjan Choudhury,2021-04-28T12:02:00Z,http://www.zacks.com/stock/news/1466827/oil-gas-stock-roundup-q1-earnings-from-slb-hal-bkr-kmi-vlo?cid=CS-ZC-FT-analyst_blog|stock_roundup-1466827,"['RIG', 'VLO', 'SLB', 'HAL', 'KMI', 'BKR']",https://staticx-tuner.zacks.com/images/articles/main/7a/2381.jpg,"Energy companies Schlumberger (SLB), Halliburton (HAL), Baker Hughes (BKR), Kinder Morgan (KMI) and Valero Energy (VLO) reported March-quarter earnings, wherein each outperformed the Zacks Consensus Estimate.",,https://www.zacks.com/amp/stock/news/1466827/oil-gas-stock-roundup-q1-earnings-from-slb-hal-bkr-kmi-vlo
7,7bLW1s_XZwsaPr-7By38e3WyefU5wJ6tgiTo7SHOhWA,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Oil & Gas Stock Q1 Earnings Roster for Apr 30: XOM, CVX, PSX, IMO",Nilanjan Banerjee,2021-04-29T13:07:00Z,http://www.zacks.com/stock/news/1473143/oil-gas-stock-q1-earnings-roster-for-apr-30-xom-cvx-psx-imo?cid=CS-ZC-FT-analyst_blog:_earnings_preview_-_esp|earnings_preview_-_esp-1473143,"['XOM', 'CVX', 'HES', 'IMO', 'BP', 'PSX', 'BKR']",https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,"With oil price improving remarkably, the upstream businesses of energy giants like XOM, CVX and IMO are likely to have gained in the March quarter. PSX is unlikely to beat estimates in Q1.",,https://www.zacks.com/amp/stock/news/1473143/oil-gas-stock-q1-earnings-roster-for-apr-30-xom-cvx-psx-imo
8,R4LAV1xHLK7KEUgyFoo5b5k5KR_J0eamLdQGbrF0J2Q,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/marketwatch.ico'}","Market Snapshot: Dow closes lower after hectic week of earnings, but posts gains for 3 straight months",MarketWatch,2021-04-30T20:24:00Z,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D78D72A83A%7D&siteid=rss&rss=1,"['COMP', 'AMZN', 'AAPL', 'TWTR', 'X', 'KLAC', 'CVX', 'XOM', 'GE', 'BKR', 'GT']",https://images.mktw.net/im-318045/social,"U.S. stocks fell Friday, ending the week in mostly negative territory, as one of the busiest weeks of earnings season comes to a close.",,https://www.marketwatch.com/amp/story/stock-futures-move-lower-as-hectic-week-of-earnings-comes-to-a-close-11619781789
9,KvRI4Ntl2F-Pew8Kipf29NxY4h5xhulXkiN-oUp3rT4,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/marketwatch.ico'}",: GE raised nearly $1 billion through sale of Baker Hughes stock,MarketWatch,2021-05-01T15:01:00Z,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D9AE7C5692%7D&siteid=rss&rss=1,"['BKR', 'GE']",https://images.mktw.net/im-309752/social,"General Electric Co. disclosed Friday that it sold off more of the Baker Hughes Co. shares it owned, and likely raised nearly $1 billion.",,https://www.marketwatch.com/amp/story/ge-raised-nearly-1-billion-through-sale-of-baker-hughes-stock-11619788869
10,jWV6WIDElNrq2f0Z3efRBn1y8prnbg87tBzTMiayIbQ,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/seekingalpha.ico'}",C3.ai Is A Bet Worth Taking,Zen Analyst,2021-05-02T13:13:24Z,https://seekingalpha.com/article/4423524-c3ai-bet-worth-taking?source=feed,"['ADBE', 'BKR', 'FIS', 'IBM', 'MSFT', 'PLTR', 'RTX', 'AI']",https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202641105/medium_image_1202641105.jpg,C3.ai is a leading AI company with many competitive advantages. Click here to read why the company is a bet worth taking.,,https://seekingalpha.com/amp/article/4423524-c3ai-bet-worth-taking
11,7k0gfYsbrBBnNFz4qq8y82mJCqZ7kNjzh474DnIMLgs,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}","Berkshire, Energy Stocks Send Stock Markets Toward Record Heights",newsfeedback@fool.com (Dan Caplinger),2021-05-03T16:15:28Z,https://www.fool.com/investing/2021/05/03/berkshire-energy-stocks-send-stock-markets-toward/?source=iedfolrf0000001,"['BRK.B', 'BRK.A', 'HAL', 'BKR']",https://g.foolcdn.com/editorial/images/624487/oil-rig-gettyimages-177118609.jpg,Can the bull market keep charging forward? These stocks say yes.,['investing'],https://www.fool.com/amp/investing/2021/05/03/berkshire-energy-stocks-send-stock-markets-toward/
12,dWDUotlO9doEndxW1eNf2xqGC-Pxp7TcuLOn47GNggs,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/seekingalpha.ico'}",Kiplinger And Barron's 75 Top Stocks For 2021 Show 17 As May Flies,Fredrik Arnold,2021-05-04T07:37:15Z,https://seekingalpha.com/article/4423926-kiplinger-barrons-75-top-stocks-for-2021-show-17-may-flies?source=feed,"['ABBV', 'ARCC', 'BKR', 'CFG', 'CVX', 'DSL', 'DVN', 'DX', 'EIX', 'EPD', 'FOF', 'GLAD', 'LTC', 'LYB', 'MAIN', 'MPC', 'NI', 'OKE', 'PBC', 'PSEC', 'PSX', 'STAG', 'T', 'TBB', 'TBC', 'TEAF', 'VLO', 'WMB']",https://static.seekingalpha.com/uploads/2021/5/4/748328-1620101896195558_origin.png,"October-December Kiplinger Today published four articles: 11 Best Monthly Dividend[s], 21 Best Stocks, 11 Dividend Growth Stocks, and 25 Dividend Stocks Analysts Love.",,https://seekingalpha.com/amp/article/4423926-kiplinger-barrons-75-top-stocks-for-2021-show-17-may-flies
13,RvyIeot2RhStQWZHh91Q7htNkBKZTmWe5dB0N7pnMZk,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Why Plug Power's Stock Sank More Than 20% in April,newsfeedback@fool.com (Scott Levine),2021-05-06T18:49:40Z,https://www.fool.com/investing/2021/05/06/why-plug-powers-stock-sank-more-than-20-in-april/?source=iedfolrf0000001,"['PLUG', 'GTLS', 'BKR']",https://g.foolcdn.com/editorial/images/625085/a-bear-figurine-on-a-stock-chart.jpg,"April showers may have helped the flowers bloom in May, but they seem to have also doused investor enthusiasm for this fuel cell specialist last month.",['investing'],https://www.fool.com/amp/investing/2021/05/06/why-plug-powers-stock-sank-more-than-20-in-april/
14,irrp5CVMfUO2E157FEdtGnlcQMr9ilwomXMdBtfeQRk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Permian Oil Rig Tally Rises After Falling for 2 Weeks Straight,Zacks Equity Research,2021-05-12T18:17:00Z,http://www.zacks.com/stock/news/1541961/permian-oil-rig-tally-rises-after-falling-for-2-weeks-straight?cid=CS-ZC-FT-analyst_blog|industry_focus-1541961,"['RIG', 'SLB', 'HAL', 'DVN', 'BKR', 'MTDR']",https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,Baker Hughes' (BKR) data show that the count of oil and gas rigs in the United States has increased for two consecutive weeks.,,https://www.zacks.com/amp/stock/news/1541961/permian-oil-rig-tally-rises-after-falling-for-2-weeks-straight
15,rVeZNOTEvi-MMoRPpDi0IdfrdqyRgtIO5oK4iK15BcE,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/marketwatch.ico'}",Oil prices post highest finish in over 2 years on demand optimism,MarketWatch,2021-05-17T19:00:00Z,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7426-238D194CBE4F%7D&siteid=rss&rss=1,['BKR'],https://images.mktw.net/im-273497/social,"Oil futures climb on Monday to post their highest finish in more than two years, as signs of a demand recovery in the U.S. and Europe feed optimism over the outlook for energy demand, despite a round of weaker-than-expected economic data from China.",,https://www.marketwatch.com/amp/story/oil-prices-edge-lower-after-weaker-china-data-11621253665
16,MJbpDKotFr2HSpy34y-3ks5fNLi723CG9K_E4tuhdmk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Permian Oil Drilling Rig Tally Rises for 2 Consecutive Weeks,Zacks Equity Research,2021-05-18T12:10:00Z,http://www.zacks.com/stock/news/1570565/permian-oil-drilling-rig-tally-rises-for-2-consecutive-weeks?cid=CS-ZC-FT-analyst_blog|industry_focus-1570565,"['RIG', 'SLB', 'HAL', 'BKR', 'WLL']",https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,Baker Hughes' (BKR) data shows that the count of oil and gas rigs in the United States has increased for three consecutive weeks.,,https://www.zacks.com/amp/stock/news/1570565/permian-oil-drilling-rig-tally-rises-for-2-consecutive-weeks
17,HOey29OXi4dWgXdKGyuww2u8w3EcqrW8EWMze6LGp64,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Permian Oil Output Starts Picking Up as Prices Strengthen,Nilanjan Choudhury,2021-05-21T10:45:00Z,http://www.zacks.com/stock/news/1583419/permian-oil-output-starts-picking-up-as-prices-strengthen?cid=CS-ZC-FT-analyst_blog|industry_focus-1583419,"['MRO', 'HES', 'EOG', 'OAS', 'FANG', 'BKR', 'MTDR', 'WLL']",https://staticx-tuner.zacks.com/images/articles/main/40/930.jpg,"With oil prices having rebounded to above $60 per barrel, Permian operators like Matador Resources (MTDR), EOG Resources (EOG) and Diamondback Energy (FANG) have announced plans to increase production.",,https://www.zacks.com/amp/stock/news/1583419/permian-oil-output-starts-picking-up-as-prices-strengthen
18,NuYupu15xTv88e_c9jK2vhMJ0VHm_svb7TLND9fHPMQ,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Baker Hughes (BKR) Up 28.1% Since Last Earnings Report: Can It Continue?,Zacks Equity Research,2021-05-21T15:30:37Z,http://www.zacks.com/stock/news/1584176/baker-hughes-bkr-up-281-since-last-earnings-report-can-it-continue?cid=CS-ZC-FT-realtime_blog-1584176,['BKR'],https://staticx-tuner.zacks.com/images/default_article_images/default28.jpg,Baker Hughes (BKR) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,https://www.zacks.com/amp/stock/news/1584176/baker-hughes-bkr-up-281-since-last-earnings-report-can-it-continue
19,J1r7ck4m_IdZdjOw3H2wB4hZxSoxTjUOY5Ht6DfOGeY,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Permian Oil Drilling Rig Tally Rises for 3 Consecutive Weeks,Zacks Equity Research,2021-05-24T11:47:00Z,http://www.zacks.com/stock/news/1597944/permian-oil-drilling-rig-tally-rises-for-3-consecutive-weeks?cid=CS-ZC-FT-analyst_blog|industry_focus-1597944,"['RIG', 'SLB', 'HAL', 'BKR', 'MTDR', 'WLL']",https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,Baker Hughes??? (BKR) data shows that the count of oil and gas rigs in the United States has increased for four consecutive weeks.,,https://www.zacks.com/amp/stock/news/1597944/permian-oil-drilling-rig-tally-rises-for-3-consecutive-weeks
20,5zuVmj7pHAPVmktnmJpBNr1XzGuG2bjwHoCwllgb2vQ,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/benzinga.ico'}","Royal Caribbean, Norwegian Cruise Line And Carnival Soar In A Mixed Day For The Market",Henry Khederian,2021-05-25T20:09:23Z,https://www.benzinga.com/trading-ideas/long-ideas/21/05/21285898/royal-caribbean-norwegian-cruise-line-and-carnival-soar-in-a-mixed-day-for-the-market,"['BKR', 'CCL', 'EIX', 'NUE', 'RCL', 'NCLH', 'ABNB']",https://cdn2.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/cruise-2567069_1920_7.jpg?width=720,"U.S. indices had a mixed day of trading Tuesday as investors continue to weigh concerns over inflation and yields, as well as a rotation out of tech and software names. Here's how each of the major indices performed for the trading day:

The SPDR S&P 500 ETF Trust (NASDAQ:SPY) also finished higher by 1.02% at $419.17.
The SPDR Dow Jones Industrial Average ETF Trust (NASDAQ:DIA) closed higher by 0.56% at $343.96.
The Invesco QQQ Trust Series 1 (NASDAQ:QQQ) finished higher by 1.68% at $332.51.

Here are the day's winners and losers from the ...Full story available on Benzinga.com","['Long Ideas', 'News', 'Short Ideas', 'After-Hours Center', 'Markets', 'Trading Ideas']",https://amp.benzinga.com/amp/content/21285898
21,R3nKqO5pMxD_EtQc44AwRnMWxv9bUTCgwpYlw2mbDeY,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",5 Oilfield Services Stocks Countering Industry Headwinds,Kaibalya Pravo Dey,2021-05-27T12:01:00Z,http://www.zacks.com/commentary/1613269/5-oilfield-services-stocks-countering-industry-headwinds?cid=CS-ZC-FT-industry_outlook-1613269,"['SND', 'SLB', 'OII', 'HAL', 'FTI', 'BKR']",https://staticx-tuner.zacks.com/images/articles/main/48/2218.jpg,5 Oilfield Services Stocks Countering Industry Headwinds,,https://www.zacks.com/amp/commentary/1613269/5-oilfield-services-stocks-countering-industry-headwinds
22,E8i0RujmGOkBRg0Uqi8Kmrh6LW0ctjnsYfxZe27kyUs,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Zacks Industry Outlook Highlights: Schlumberger, Baker Hughes, Halliburton, Oceaneering International and Smart Sand",Zacks Equity Research,2021-05-28T12:09:00Z,http://www.zacks.com/stock/news/1618778/zacks-industry-outlook-highlights-schlumberger-baker-hughes-halliburton-oceaneering-international-and-smart-sand?cid=CS-ZC-FT-press_releases-1618778,"['SLB', 'HAL', 'OII', 'BKR', 'SND']",https://staticx-tuner.zacks.com/images/articles/main/07/420.jpg,"Zacks Industry Outlook Highlights: Schlumberger, Baker Hughes, Halliburton, Oceaneering International and Smart Sand",,https://www.zacks.com/amp/stock/news/1618778/zacks-industry-outlook-highlights-schlumberger-baker-hughes-halliburton-oceaneering-international-and-smart-sand
