,id,publisher,title,author,published_utc,article_url,tickers,description,amp_url,image_url,keywords
0,oZJBE35_ciDbqhCtM1fiPKg8j-HzmE-wBlO5MoRfGs4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Stocks Advance on ""Optimistic"" Turn in Stimulus Talks",Jim Giaquinto,2020-10-21T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27045,"['CMRE', 'ISEE', 'WGO', 'SNBR', 'TAL', 'ALC', 'GOOS', 'COP', 'STNE', 'TWTR', 'CSIQ', 'APOG', 'NFLX', 'SNAP', 'TSLA', 'ABT', 'CSX', 'LRCX', 'BIIB']","Stocks Advance on ""Optimistic"" Turn in Stimulus Talks",,,
1,_TpKZ9ASw2aaK9X1bEgeDNpbYjEmuFYFTwzTA_ETwKA,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Plunges 650 Points as Coronavirus Cases Jump,Jim Giaquinto,2020-10-27T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27101,"['SNDR', 'HRI', 'WMT', 'JBL', 'CHRW', 'HBI', 'KBR', 'SEE', 'COP', 'STNE', 'TWTR', 'RCL', 'CCL', 'UAL', 'AAL', 'MSFT', 'AMD', 'AAPL', 'FB', 'AMZN', 'GOOG']",Dow Plunges 650 Points as Coronavirus Cases Jump,,,
2,BlS-YJkQ19Bpg2tTZfsDMHLTyeN84zL26VoK-QLuHuk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Back-to-Back Rallies Heading into the Election,Jim Giaquinto,2020-11-04T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27202,"['CDMO', 'DBD', 'WWW', 'COP', 'TTD', 'GOOS', 'AMT', 'MRNA', 'SQM', 'EDIT', 'ACB', 'PINS']",Back-to-Back Rallies Heading into the Election,,,
3,3xBfZtdCLqDcuCITxx3wM19Wp1TGBed0JQAUOWCV38k,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Tech Slips Again, but Dow Adds Another 260 Points",Jim Giaquinto,2020-11-11T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27281,"['AIMC', 'BECN', 'PINS', 'CWH', 'BABA', 'AYX', 'BMRN', 'ILMN', 'AMT', 'LVS', 'HXL', 'AMRK', 'COP', 'MAR', 'STNE', 'SYY']","Tech Slips Again, but Dow Adds Another 260 Points",,,
4,rMZpzcJaT1BtCshs3e4KKRGzcTPk0pFUEz7E2IWBIWk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Joins S&P in Record Territory on Strong Vaccine News,Jim Giaquinto,2020-11-17T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27356,"['WDAY', 'ODFL', 'INTU', 'CRTO', 'FB', 'IDN', 'UGA', 'XLE', 'CVX', 'XOM', 'COP', 'XOP', 'LKQ', 'EAT', 'BLDR', 'TGT', 'BBY', 'RLGY', 'ACM', 'AMKR', 'CAH', 'GM', 'REZI', 'SBGI', 'PFGC', 'MRNA', 'PFE']",Dow Joins S&P in Record Territory on Strong Vaccine News,,,
5,tM_Ys-VKWcJkET90pdHiOjZouvzQVbofqKTQY_nB8dk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Sets New Record and Clears 30K for the First Time,Jim Giaquinto,2020-11-25T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27456,"['SNA', 'SSNC', 'VMC', 'LEN', 'QTNT', 'VBR', 'VHT', 'CCRN', 'SHOP', 'MHK', 'MMM', 'WHR', 'JBL', 'TPR', 'LH', 'BZH', 'OSTK', 'LEVI', 'ATHM', 'PRPL', 'GDS', 'AMRK', 'STNE', 'COP', 'ELAN', 'INCY', 'NUAN', 'ULTA', 'ACM', 'TCS', 'AZN', 'PFE', 'MRNA', 'FB', 'AAPL', 'NFLX', 'GOOG']",Dow Sets New Record and Clears 30K for the First Time,,,
6,Wsdn6Hn2_NTrPEZFXe0JXgH4d7pjs9uh-wkyC4BI8UM,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",S&P and NASDAQ Begin December with Record Closing Highs,Jim Giaquinto,2020-12-02T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27515,"['RYAM', 'DBD', 'TX', 'VCEL', 'ATHM', 'ELAN', 'ULTA', 'ARMK', 'COP', 'ARLO', 'PFE', 'MRNA', 'AZN']",S&P and NASDAQ Begin December with Record Closing Highs,,,
7,U82gs8ZZ3xRj06UHwMTtzi42XjL2m3Zb3iEOpGdsSaY,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Quiet Reaction to Stimulus Deal, Though NASDAQ Hits New High",Jim Giaquinto,2020-12-23T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27755,"['TSLA', 'AXL', 'CVGI', 'FUBO', 'PRGS', 'AI', 'COP', 'AYX', 'SEDG', 'NFLX']","Quiet Reaction to Stimulus Deal, Though NASDAQ Hits New High",,,
8,htdz4RrVZPQbi5gm8zOsxfqXpKSXjfLZniXagbRoids,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Market Steps Back as Morning Rally Fades,Jim Giaquinto,2020-12-30T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27809,"['TTD', 'JBL', 'TPR', 'LH', 'HPQ', 'TGT', 'WRK', 'ARLO', 'AOUT', 'EPD', 'SEDG', 'NFLX', 'CDAY', 'FOUR', 'AYX', 'COP', 'LVS', 'V', 'ARCT']",Market Steps Back as Morning Rally Fades,,,
9,H2plSp9_6hZBOvZIEIbrazHYDgdSsLZSlzVTmt76x44,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",First Positive Session of 2021,Jim Giaquinto,2021-01-06T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27867,"['STZ', 'ROAD', 'TTC', 'SAVA', 'DBD', 'LVS', 'V', 'COP', 'INTU', 'BMRN', 'MAR', 'PDD', 'LUV']",First Positive Session of 2021,,,
10,wpPofs0iuaekOdhftsalVTSkp09q2u9tDzzeGrQieJc,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Taking It Easy Before Earnings,Jim Giaquinto,2021-04-13T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28996,"['UPWK', 'GS', 'RCII', 'COP', 'DOW', 'XOM', 'ABBV', 'JNJ', 'YUM', 'CRTO', 'TSLA', 'SSNC', 'AJG', 'LII', 'ANF', 'TMST', 'SC', 'NVDA', 'MSFT', 'NUAN', 'JPM', 'WFC', 'GS']",Taking It Easy Before Earnings,,,
11,FzuI7EoM2o2X2HD3jgqj-JRtIPptVxJjDh_F8JSXdXs,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Are Oil Stocks Undervalued?,newsfeedback@fool.com (Matthew DiLallo),2021-04-17T14:45:00Z,https://www.fool.com/investing/2021/04/17/are-oil-stocks-undervalued/?source=iedfolrf0000001,"['BP', 'DVN', 'COP']",Oil stocks have run up big time this year.,https://www.fool.com/amp/investing/2021/04/17/are-oil-stocks-undervalued/,https://g.foolcdn.com/editorial/images/621293/oil-pumps-with-money-in-the-background.jpg,['investing']
12,JBYCgykv1WA-tlcm9j_YC263_2E0kkIt6sZoDx_LthY,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights: Rocky Brands, United Bancorporation of Alabama, Bassett Furniture, ConocoPhillips and The Community Financial Corp",Zacks Equity Research,2021-04-23T13:04:00Z,http://www.zacks.com/stock/news/1441341/the-zacks-analyst-blog-highlights-rocky-brands-united-bancorporation-of-alabama-bassett-furniture-conocophillips-and-the-community-financial-corp?cid=CS-ZC-FT-press_releases-1441341,"['COP', 'TCFC', 'RCKY', 'BSET']","The Zacks Analyst Blog Highlights: Rocky Brands, United Bancorporation of Alabama, Bassett Furniture, ConocoPhillips and The Community Financial Corp",https://www.zacks.com/amp/stock/news/1441341/the-zacks-analyst-blog-highlights-rocky-brands-united-bancorporation-of-alabama-bassett-furniture-conocophillips-and-the-community-financial-corp,https://staticx-tuner.zacks.com/images/articles/main/b1/2697.jpg,
13,IQvk2yYmCROu8-XQdcGEbCI5CmPzxLNrmYEfM0DFik8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",ConocoPhillips (COP) Outpaces Stock Market Gains: What You Should Know,Zacks Equity Research,2021-04-26T21:50:19Z,http://www.zacks.com/stock/news/1458065/conocophillips-cop-outpaces-stock-market-gains-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v1-1458065,['COP'],"ConocoPhillips (COP) closed at $50.25 in the latest trading session, marking a +1.07% move from the prior day.",https://www.zacks.com/amp/stock/news/1458065/conocophillips-cop-outpaces-stock-market-gains-what-you-should-know,https://staticx-tuner.zacks.com/images/default_article_images/default3.jpg,
