,id,publisher,title,author,published_utc,article_url,tickers,amp_url,image_url,description,keywords
0,4RqGkI-49JN2tXEVNUj9tMlAs9hJm7m7m0TQICLqFtw,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/seekingalpha.ico'}","Stocks To Watch: Rising Rates Test Investors, Big Events For GM, Box And IBM",SA Stocks To Watch,2021-10-02T14:17:24Z,https://seekingalpha.com/article/4458146-stocks-to-watch-rising-rates-test-investors-big-events-for-gm-box-and-ibm,"['BOX', 'NKE', 'GM', 'CTRA', 'HAS', 'MAT', 'IBM', 'PEP', 'T', 'TGT', 'LNG', 'TELL']",https://seekingalpha.com/amp/article/4458146-stocks-to-watch-rising-rates-test-investors-big-events-for-gm-box-and-ibm,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,"Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week",
1,wps0jdI1aOHdJaolA7rHfDGLJC8G9ZRtBVYG4juQ0nM,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",How Coterra Energy (CTRA) Stock Stands Out in a Strong Industry,Zacks Equity Research,2021-10-07T12:44:00Z,https://www.zacks.com/stock/news/1807150/how-coterra-energy-ctra-stock-stands-out-in-a-strong-industry,['CTRA'],https://www.zacks.com/amp/stock/news/1807150/how-coterra-energy-ctra-stock-stands-out-in-a-strong-industry,https://staticx-tuner.zacks.com/images/articles/main/41/1886.jpg,"Coterra Energy (CTRA) has seen solid earnings estimate revision activity over the past month, and belongs to a strong industry as well.",
2,JefR8wm6TDwZ3oz-CWLKgZr4cOknVHWRmwwN3ZojCo4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Baker Hughes (BKR) Closes Subsea Drilling Merger, Forms HMH",Zacks Equity Research,2021-10-14T14:01:00Z,https://www.zacks.com/stock/news/1810557/baker-hughes-bkr-closes-subsea-drilling-merger-forms-hmh,"['COP', 'EOG', 'BKR', 'CTRA']",https://www.zacks.com/amp/stock/news/1810557/baker-hughes-bkr-closes-subsea-drilling-merger-forms-hmh,https://staticx-tuner.zacks.com/images/articles/main/c7/593.jpg,"Via Baker Hughes' (BKR) equity method, profits from the HMH JV are set to reflect on the company's overall results.",
3,c8YpsMbK7vqiJUjvZ2uR_yyq-qrP4keRS1lDCJC8W_Y,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/benzinga.ico'}","28 Stocks To Benefit From Inflation, According To Jim Cramer",Craig Jones,2021-10-20T10:45:08Z,https://www.benzinga.com/trading-ideas/long-ideas/21/10/23455922/28-stocks-to-benefit-from-inflation-according-to-jim-cramer,"['PXD', 'LNG', 'WFC', 'NOW', 'WMB', 'ADBE', 'FB', 'AMAT', 'PANW', 'AMZN', 'WDAY', 'MSFT', 'SNOW', 'NVDA', 'SNAP', 'AMD', 'TELL', 'CRM', 'CTRA', 'CVX', 'CRWD', 'DVN', 'NET', 'EPD', 'GS', 'JNJ', 'LLY', 'MS']",https://www.benzinga.com/amp/content/23455922,https://cdn2.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/1200px-jimcramerphoto_0_34.jpg?width=720,"On CNBC’s “Mad Money,” Jim Cramer advised against falling into the trap of “thinking that the whole market will get wrecked by persistent inflation.”
He said there were “vast swathes of the market” that could benefit from inflation, including some banking, tech and large pharma stocks.
“That’s a huge chunk of this market, unlike any combination I’ve ever seen. Plenty of winners out there if you just stop freaking out and start looking at the opportunities,” Cramer commented.
See Also:","['Long Ideas', 'Penny Stocks', 'Small Cap', 'Top Stories', 'Economics', 'Media', 'Trading Ideas']"
4,nWLpXsmSoFzQZyPhC6ygdSdmIEOXGxAO9UjItZrDw04,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",U.S. Upstream Industry Red-Hot Right Now: 5 Stocks to Buy,Nilanjan Choudhury,2021-10-22T11:16:00Z,https://www.zacks.com/commentary/1814797/us-upstream-industry-red-hot-right-now-5-stocks-to-buy,"['EOG', 'DVN', 'APA', 'PXD', 'FANG', 'SBOW', 'CTRA']",https://www.zacks.com/amp/commentary/1814797/us-upstream-industry-red-hot-right-now-5-stocks-to-buy,https://staticx-tuner.zacks.com/images/articles/main/40/930.jpg,"With oil and natural gas on a roll, the Zacks Oil and Gas - US E&P operators like EOG, DVN, FANG, APA and SBOW should strongly benefit from the current upturn.",
5,5yKAinCuAMdOtUMV8h1FJ7wgIhdSa29XTNglPdJs8dg,"{'name': 'Invezz', 'homepage_url': 'https://invezz.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/invezz.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/invezz.png'}",Coterra Energy stock forecast as Goldman and Piper Sandler point 20% upside,Motiur Rahman,2021-10-22T20:46:36Z,https://invezz.com/news/2021/10/22/coterra-energy-stock-forecast-as-goldman-and-piper-sandler-point-20-upside/,['CTRA'],https://invezz.com/news/2021/10/22/coterra-energy-stock-forecast-as-goldman-and-piper-sandler-point-20-upside/?amp,https://invezz.com/wp-content/uploads/2021/10/coterra-energy.jpg,"On Friday, Coterra Energy Inc. (NYSE:CTRA) shares gained 2.26% after receiving two upgrades from Goldman Sachs Group Inc. (NYSE:GS) and Piper Sandler Co. (NYSE:PIPR).  Goldman’s Neil Mehta cited the company’s recent merger with Cimarex Energy as a significant win against concerns about Appalachia Basin risk, adding that it provides exposure to liquids production. The analyst […]
The post Coterra Energy stock forecast as Goldman and Piper Sandler point 20% upside appeared first on Invezz.","['Energy & Power', 'Industries', 'North America', 'Stocks & Shares', 'USA']"
6,y51nyUGZrdjV83Vy4WE8C7SvmAX_hWa6P5tS8izF2SM,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",CTRA vs. APA: Which Stock Should Value Investors Buy Now?,Zacks Equity Research,2021-10-25T15:40:11Z,https://www.zacks.com/stock/news/1815922/ctra-vs-apa-which-stock-should-value-investors-buy-now,"['CTRA', 'APA']",https://www.zacks.com/amp/stock/news/1815922/ctra-vs-apa-which-stock-should-value-investors-buy-now,https://staticx-tuner.zacks.com/images/default_article_images/default26.jpg,CTRA vs. APA: Which Stock Is the Better Value Option?,
7,cIxeNRk2MInWo07moOxEcZkslqurbdW6YLUoAtLR-vk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Buy These 4 Top-Ranked Stocks With Upgraded Broker Ratings,Swayta Shah,2021-10-27T11:49:00Z,https://www.zacks.com/stock/news/1817416/buy-these-4-top-ranked-stocks-with-upgraded-broker-ratings,"['CRK', 'TPH', 'GLOP', 'CTRA']",https://www.zacks.com/amp/stock/news/1817416/buy-these-4-top-ranked-stocks-with-upgraded-broker-ratings,https://staticx-tuner.zacks.com/images/articles/main/80/756.jpg,"It is always advisable to follow broker rating upgrades for finding profitable stocks. So, we pick Tri Pointe Homes (TPH), Comstock Resources (CRK), Coterra Energy (CTRA), and GasLog Partners (GLOP) as these have recorded ratings upgrades.",
8,xFeBV2dvdEThUjjm4ucfGkSmpGaWVFARg5qoROui2LE,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Coterra Energy (CTRA) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Zacks Equity Research,2021-10-27T19:03:12Z,https://www.zacks.com/stock/news/1817828/coterra-energy-ctra-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,['CTRA'],https://www.zacks.com/amp/stock/news/1817828/coterra-energy-ctra-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,https://staticx-tuner.zacks.com/images/default_article_images/default0.jpg,Cabot (CTRA) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,
9,C18XaWigbSAwr3xEoEwS6Dr4Sj4_WRxeDav623qwqJQ,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Zacks.com featured highlights include: Tri Pointe, Comstock, Coterra, and GasLog",Zacks Equity Research,2021-10-28T16:51:00Z,https://www.zacks.com/stock/news/1818989/zackscom-featured-highlights-include-tri-pointe-comstock-coterra-and-gaslog,"['CRK', 'TPH', 'GLOP', 'CTRA']",https://www.zacks.com/amp/stock/news/1818989/zackscom-featured-highlights-include-tri-pointe-comstock-coterra-and-gaslog,https://staticx-tuner.zacks.com/images/articles/main/4a/291.jpg,"Zacks.com featured highlights include: Tri Pointe, Comstock, Coterra, and GasLog",
