,id,publisher,title,author,published_utc,article_url,tickers,image_url,description,keywords,amp_url
0,5FaeGkiuFGZACz4d0KRrrNbtnLpn6ZHg4y4g-ZVX5ug,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Stock Market Power Rankings: Apple Cracks,newsfeedback@fool.com (Rick Munarriz),2019-01-06T17:00:00Z,https://www.fool.com/investing/2019/01/06/stock-market-power-rankings-apple-cracks.aspx,"['AAPL', 'JPM', 'NFLX', 'PFE', 'GOOGL', 'MSFT', 'AMZN', 'JNJ', 'META', 'BRK.A', 'BUD', 'COST', 'TSM', 'V', 'GOOG', 'UL', 'HD', 'BAC', 'VZ', 'BA', 'T', 'ORCL', 'DIS', 'KO', 'CSCO', 'MRK', 'MCD', 'INTC', 'CRM', 'WMT', 'XOM', 'CVX', 'WFC', 'PG', 'ABT', 'AMGN', 'ADBE', 'PBR', 'UNP', 'PEP', 'AZN', 'UNH', 'NOV', 'MA', 'LLY', 'MDT', 'BHP', 'NKE', 'PTR', 'VCYT', 'BABA', 'PYPL']",https://g.foolcdn.com/editorial/images/506158/top50bullbear.jpeg,"They're big, beautiful, and ranked from 1 to 50.",['investing'],
1,pYIQQk5G2botuFEMASo9e72aWo21PDKR1y5DaLKLE0M,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Stock Market Power Rankings: Amazon Back on Top,newsfeedback@fool.com (Rick Munarriz),2019-01-13T17:00:00Z,https://www.fool.com/investing/2019/01/13/stock-market-power-rankings-amazon-back-on-top.aspx,"['AAPL', 'PFE', 'GOOGL', 'MSFT', 'AMZN', 'SBUX', 'META', 'BRK.A', 'V', 'GOOG', 'BABA', 'UL', 'HD', 'BAC', 'VZ', 'BA', 'T', 'ORCL', 'JPM', 'DIS', 'KO', 'CSCO', 'MRK', 'MCD', 'TSM', 'INTC', 'JNJ', 'CRM', 'NFLX', 'WMT', 'XOM', 'CVX', 'WFC', 'PG', 'ABT', 'AMGN', 'ADBE', 'PBR', 'UNP', 'PEP', 'SIRI', 'GSK', 'COST', 'AZN', 'UNH', 'NOV', 'MA', 'LLY', 'MDT', 'BHP', 'NKE', 'PTR', 'PYPL']",https://g.foolcdn.com/editorial/images/506976/top50bullbear.jpeg,"They're big, beautiful, and ranked from 1 to 50.",['investing'],
2,NL1YELzc2sQZMg_L4qddP8SyrTcmfDZ4aRltxV0FyTY,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Stock Market Power Rankings: Microsoft Throws In the Mobile Towel,newsfeedback@fool.com (Rick Munarriz),2019-01-20T17:00:00Z,https://www.fool.com/investing/2019/01/20/stock-market-power-rankings-microsoft-throws-in-th.aspx,"['C', 'AAPL', 'NFLX', 'WMT', 'GOOGL', 'MSFT', 'AMZN', 'META', 'AXP', 'V', 'BABA', 'BRK.A', 'UL', 'HD', 'BAC', 'VZ', 'BA', 'T', 'ORCL', 'JPM', 'DIS', 'KO', 'CSCO', 'PFE', 'MRK', 'MCD', 'TSM', 'INTC', 'JNJ', 'CRM', 'XOM', 'CVX', 'WFC', 'PG', 'ABT', 'AMGN', 'ADBE', 'PBR', 'UNP', 'PEP', 'GSK', 'COST', 'UNH', 'NOV', 'LLY', 'BHP', 'NKE', 'PTR', 'GOOG', 'PYPL']",https://g.foolcdn.com/editorial/images/507704/top50bullbear.jpeg,"They're big, beautiful, and ranked from 1 to 50.",['investing'],
3,hUz6-21Q0sUh3l1sGVhVRcaoUG-LubCPrKyON35mFx0,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Stock Market Power Rankings: Facebook Cashes In,newsfeedback@fool.com (Rick Munarriz),2019-01-27T17:00:00Z,https://www.fool.com/investing/2019/01/27/stock-market-power-rankings-facebook.aspx,"['AAPL', 'PFE', 'WMT', 'GOOGL', 'MSFT', 'AMZN', 'UNH', 'META', 'BRK.A', 'TM', 'CMCSA', 'V', 'GOOG', 'BABA', 'UL', 'HD', 'BAC', 'C', 'VZ', 'BA', 'T', 'ORCL', 'JPM', 'DIS', 'KO', 'CSCO', 'MRK', 'MCD', 'INTC', 'JNJ', 'CRM', 'NFLX', 'XOM', 'CVX', 'WFC', 'PG', 'ABT', 'AMGN', 'ADBE', 'PBR', 'UNP', 'PEP', 'GSK', 'COST', 'NOV', 'MA', 'LLY', 'COF', 'BHP', 'NKE', 'PTR', 'PYPL']",https://g.foolcdn.com/editorial/images/508518/top50bullbear.jpeg,"They're big, beautiful, and ranked from 1 to 50.",['investing'],
4,LDL1Zs1mxCTM5pN7sPP0RvVOrmgHaDkExvwYP0YCV-E,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Stock Market Power Rankings: Apple Jacks,newsfeedback@fool.com (Rick Munarriz),2019-02-03T17:00:00Z,https://www.fool.com/investing/2019/02/03/stock-market-power-rankings-apple-jacks.aspx,"['AAPL', 'MCD', 'GE', 'WMT', 'GOOGL', 'MSFT', 'AMZN', 'META', 'BRK.A', 'BP', 'V', 'GOOG', 'UL', 'HD', 'BAC', 'VZ', 'BA', 'T', 'ORCL', 'JPM', 'DIS', 'KO', 'CSCO', 'PFE', 'MRK', 'INTC', 'JNJ', 'CRM', 'NFLX', 'TM', 'XOM', 'CVX', 'WFC', 'PG', 'ABT', 'AMGN', 'ADBE', 'PBR', 'UNP', 'PEP', 'GSK', 'SBUX', 'COST', 'UNH', 'NOV', 'MA', 'LLY', 'BHP', 'NKE', 'PTR', 'BABA', 'PYPL']",https://g.foolcdn.com/editorial/images/509613/top50bullbear.jpeg,"They're big, beautiful, and ranked from 1 to 50.",['investing'],
5,18v0teeHHlQgb96EZDHh3bAzEIhPsBB_I8aG5tkRElM,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",5 Dividend Stocks to Beat a Recession,newsfeedback@fool.com (Vandita Jadeja),2019-10-17T16:23:00Z,https://www.fool.com/investing/2019/10/17/5-dividend-stocks-to-beat-recession.aspx,"['T', 'CVX', 'HD', 'SKT', 'IVZ']",https://g.foolcdn.com/editorial/images/542565/money-coins-stacked-compound-growth-dividend_EZxpktE.jpg,Enjoy high dividend yields and recession-proof your portfolio with these five stocks.,['investing'],
6,sYYeybCvM0YrRaLxorodagrjEj60H9pCDYWoQyq4FdI,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Stocks Jump Over 1% on Dow’s Third Day in the Green,Jim Giaquinto,2020-04-27T13:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25141,"['ATSG', 'HAIN', 'CURO', 'NTGR', 'GOOG', 'FB', 'MSFT', 'AMZN', 'AAPL', 'CAT', 'MMM', 'BA', 'CVX', 'XOM']",,Stocks Jump Over 1% on Dow’s Third Day in the Green,,
7,y9aBYKYEuc9VyWEk3Ph-ucVz6sBmkSqFBLEd_VCI__Q,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Dow, S&P Jump Over 3% on Encouraging Vaccine Data",Jim Giaquinto,2020-05-19T13:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25390,"['CVX', 'COG', 'SIMO', 'GSKY', 'AINV', 'NVDA', 'SDOW', 'SPXS', 'NOMD', 'CNX', 'FLO', 'HUM', 'HEXO', 'CCL', 'UAL', 'DAL', 'LUV', 'C', 'WFC', 'BAC', 'JPM', 'MRNA', 'WMT', 'HD']",,"Dow, S&P Jump Over 3% on Encouraging Vaccine Data",,
8,EM56iVJ2l3H-WI-B-YuJvrgFtVCOQEuURNAruUx0Loc,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Stocks Fight for Gains in Volatile Session,Jim Giaquinto,2020-09-25T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26772,"['LL', 'AAP', 'SLV', 'CVX', 'EXAS', 'BTG', 'AAPL']",,Stocks Fight for Gains in Volatile Session,,
9,rMZpzcJaT1BtCshs3e4KKRGzcTPk0pFUEz7E2IWBIWk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Joins S&P in Record Territory on Strong Vaccine News,Jim Giaquinto,2020-11-17T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27356,"['WDAY', 'ODFL', 'INTU', 'CRTO', 'FB', 'IDN', 'UGA', 'XLE', 'CVX', 'XOM', 'COP', 'XOP', 'LKQ', 'EAT', 'BLDR', 'TGT', 'BBY', 'RLGY', 'ACM', 'AMKR', 'CAH', 'GM', 'REZI', 'SBGI', 'PFGC', 'MRNA', 'PFE']",,Dow Joins S&P in Record Territory on Strong Vaccine News,,
10,jM78qFynDBZKIvslRMW-1bdTVZyiRArKcnCsZIsB64I,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",S&P Snaps Five-Day Losing Streak as Stocks Rally Late,Jim Giaquinto,2021-02-24T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28434,"['FLDM', 'IMMR', 'CVX', 'BZH', 'BIGC', 'VXRT', 'TTD', 'REZI', 'TGI', 'ARCT', 'HTHT', 'ARMK', 'INTU', 'LVS', 'TWTR', 'NVDA', 'LOW']",,S&P Snaps Five-Day Losing Streak as Stocks Rally Late,,
11,j3Yy1cNTW-Qpee7wmJiQC-ZZsW7TAJZ0sS7oFc4ruuw,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",NASDAQ Plunges 3.5% as Bond Yields Spike,Jim Giaquinto,2021-02-26T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28471,"['CVX', 'INFN', 'INSG', 'ESTC', 'SHOP', 'NTCT', 'CVA', 'SQ', 'VXRT', 'PRPL', 'AVID', 'TWLO', 'FB', 'AAPL', 'AMZN', 'GOOG', 'TSLA', 'MSFT']",,NASDAQ Plunges 3.5% as Bond Yields Spike,,
12,o_ZOlSECgeA9WMaXCja6zzePXrr5Io4KyJaMS5LjCsg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",NASDAQ Down for 2021 as Stocks Drop for a Third Day,Jim Giaquinto,2021-03-05T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28558,"['SQ', 'SPLK', 'SHOP', 'NVAX', 'TTD', 'EBAY', 'XOM', 'CVX', 'MTDR', 'DBC', 'BBIO', 'LNTH', 'WMB', 'SLV', 'GLD', 'MUSA']",,NASDAQ Down for 2021 as Stocks Drop for a Third Day,,
