,id,publisher,title,author,published_utc,article_url,tickers,description,amp_url,image_url,keywords
0,PzSDErxgczuDn-FqrXfvh8mCwxsxzDc3rOzPu_iT5Pk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Tech Rally Lifts NASDAQ by 1%, Sends S&P to Another Record",Jim Giaquinto,2021-04-09T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28963,"['HCKT', 'SHOP', 'STLD', 'SUN', 'NTR', 'DVN', 'XLE', 'AA', 'PRIM', 'REKR', 'DAC', 'EXPI', 'AAPL', 'NFLX', 'TSLA', 'MSFT']","Tech Rally Lifts NASDAQ by 1%, Sends S&P to Another Record",,,
1,FzuI7EoM2o2X2HD3jgqj-JRtIPptVxJjDh_F8JSXdXs,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Are Oil Stocks Undervalued?,newsfeedback@fool.com (Matthew DiLallo),2021-04-17T14:45:00Z,https://www.fool.com/investing/2021/04/17/are-oil-stocks-undervalued/?source=iedfolrf0000001,"['BP', 'DVN', 'COP']",Oil stocks have run up big time this year.,https://www.fool.com/amp/investing/2021/04/17/are-oil-stocks-undervalued/,https://g.foolcdn.com/editorial/images/621293/oil-pumps-with-money-in-the-background.jpg,['investing']
2,H6kfEgXhK6vOe0RWhcZVQE3QdQksNc5CB--jxHo8zXI,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}","This Sector Dominated the Stock Market Wednesday (No, It Wasn't Tech)",newsfeedback@fool.com (Dan Caplinger),2021-04-28T21:07:00Z,https://www.fool.com/investing/2021/04/28/this-sector-dominated-the-stock-market-wednesday-n/?source=iedfolrf0000001,"['NOV', 'NOG', 'HES', 'DVN', 'RIG', 'MRO', 'NBR', 'SLCA', 'XLE', 'LBRT']","It's a relatively small part of the overall market now, but favorable tailwinds helped push it higher.",https://www.fool.com/amp/investing/2021/04/28/this-sector-dominated-the-stock-market-wednesday-n/,https://g.foolcdn.com/editorial/images/623501/fireworks-gettyimages-868481630.jpg,['investing']
3,-tSISiUYHlAiNsuX4W4LvTn-5prgW17bXrtdBL-1lHE,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Devon Energy (DVN) to Report Q1 Earnings: What's in Store?,Zacks Equity Research,2021-04-29T15:31:00Z,http://www.zacks.com/stock/news/1473599/devon-energy-dvn-to-report-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1473599,"['EQT', 'PXD', 'DVN', 'FANG']",Devon Energy's (DVN) first-quarter earnings are likely to have benefited from improving oil prices and strong production from the Delaware Basin.,https://www.zacks.com/amp/stock/news/1473599/devon-energy-dvn-to-report-q1-earnings-whats-in-store,https://staticx-tuner.zacks.com/images/articles/main/e5/295.jpg,
4,r9zWZCO9N25J8rMWA3Y922cJHAgyND9wmXgbYncLz8w,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",CNX Resources (CNX) Q1 Earnings & Revenues Beat Estimates,Zacks Equity Research,2021-04-29T15:54:00Z,http://www.zacks.com/stock/news/1473753/cnx-resources-cnx-q1-earnings-revenues-beat-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1473753,"['EQT', 'CNX', 'DVN', 'OXY']",CNX Resources' (CNX) first-quarter earnings trump estimates backed by an increase in commodity prices.,https://www.zacks.com/amp/stock/news/1473753/cnx-resources-cnx-q1-earnings-revenues-beat-estimates,https://staticx-tuner.zacks.com/images/articles/main/a0/644.jpg,
5,qzPgPBEW14fCc1qfh3dfbQtJKIgJidx4dcMqPOZOPCM,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",The Three Best Oil Stocks to Buy Today,"newsfeedback@fool.com (Matthew DiLallo, Neha Chamaria, and Reuben Gregg Brewer)",2021-05-02T13:34:00Z,https://www.fool.com/investing/2021/05/02/the-three-best-oil-stocks-to-buy-today/?source=iedfolrf0000001,"['CVX', 'DVN', 'COP']",These oil stocks look well positioned for the oil market's future.,https://www.fool.com/amp/investing/2021/05/02/the-three-best-oil-stocks-to-buy-today/,https://g.foolcdn.com/editorial/images/624078/two-oil-pumps-with-a-bright-sun-in-the-background.jpg,['investing']
6,dWDUotlO9doEndxW1eNf2xqGC-Pxp7TcuLOn47GNggs,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/seekingalpha.ico'}",Kiplinger And Barron's 75 Top Stocks For 2021 Show 17 As May Flies,Fredrik Arnold,2021-05-04T07:37:15Z,https://seekingalpha.com/article/4423926-kiplinger-barrons-75-top-stocks-for-2021-show-17-may-flies?source=feed,"['ABBV', 'ARCC', 'BKR', 'CFG', 'CVX', 'DSL', 'DVN', 'DX', 'EIX', 'EPD', 'FOF', 'GLAD', 'LTC', 'LYB', 'MAIN', 'MPC', 'NI', 'OKE', 'PBC', 'PSEC', 'PSX', 'STAG', 'T', 'TBB', 'TBC', 'TEAF', 'VLO', 'WMB']","October-December Kiplinger Today published four articles: 11 Best Monthly Dividend[s], 21 Best Stocks, 11 Dividend Growth Stocks, and 25 Dividend Stocks Analysts Love.",https://seekingalpha.com/amp/article/4423926-kiplinger-barrons-75-top-stocks-for-2021-show-17-may-flies,https://static.seekingalpha.com/uploads/2021/5/4/748328-1620101896195558_origin.png,
7,L-6Psh8mQFey08mFyvYqsClD7Av9ErmgqOJRgTcfvJw,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Devon Energy (DVN) Q1 Earnings Surpass Estimates,Zacks Equity Research,2021-05-04T21:35:09Z,http://www.zacks.com/stock/news/1500749/devon-energy-dvn-q1-earnings-surpass-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1500749,['DVN'],"Devon Energy (DVN) delivered earnings and revenue surprises of 28.57% and -20.44%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",https://www.zacks.com/amp/stock/news/1500749/devon-energy-dvn-q1-earnings-surpass-estimates,https://staticx-tuner.zacks.com/images/default_article_images/default45.jpg,
8,FGYKGQqexEe5lFYzSeAqsPJ1P5PoqVcIOo6n61cV5rs,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Devon Energy (DVN) Q1 Earnings Beat Estimates, Revenues Lag",Zacks Equity Research,2021-05-05T12:23:00Z,http://www.zacks.com/stock/news/1504007/devon-energy-dvn-q1-earnings-beat-estimates-revenues-lag?cid=CS-ZC-FT-analyst_blog|earnings_article-1504007,"['HES', 'CNX', 'DVN', 'MTDR']",Devon Energy's (DVN) first-quarter earnings beat estimates. The company continues to generate high volume of oil production from superior quality assets.,https://www.zacks.com/amp/stock/news/1504007/devon-energy-dvn-q1-earnings-beat-estimates-revenues-lag,https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,
9,YZqrlr6-enRkMS_kXPHw6OJH0fcjhN5gJxtUKIemVdA,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Plains All American (PAA) Q1 Earnings & Revenues Top Mark,Zacks Equity Research,2021-05-05T12:26:00Z,http://www.zacks.com/stock/news/1504034/plains-all-american-paa-q1-earnings-revenues-top-mark?cid=CS-ZC-FT-analyst_blog|earnings_article-1504034,"['PAA', 'HES', 'DVN', 'MTDR']",Plains All American's (PAA) first-quarter earnings and revenues are better than expected. It is on course to achieve the non-core asset sales divestiture target of $750 million in 2021.,https://www.zacks.com/amp/stock/news/1504034/plains-all-american-paa-q1-earnings-revenues-top-mark,https://staticx-tuner.zacks.com/images/articles/main/77/596.jpg,
10,h2f9EWQuXDruoJ29FB7pSN6vqgGMpdBUOF7NOTrVa6M,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Devon Energy (DVN) Q1 2021 Earnings Call Transcript,newsfeedback@fool.com (Motley Fool Transcribing),2021-05-06T01:01:16Z,https://www.fool.com/earnings/call-transcripts/2021/05/05/devon-energy-dvn-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,['DVN'],"DVN earnings call for the period ending March 31, 2021.",https://www.fool.com/amp/earnings/call-transcripts/2021/05/05/devon-energy-dvn-q1-2021-earnings-call-transcript/,https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template.jpg,['earningscall-transcripts']
11,o41iBOumak1c-9FyfZyqtT8nwlXo3QioA6dGmJAOU1E,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Reaches New Record While Tech Remains Under Pressure,Jim Giaquinto,2021-05-06T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-29275,"['ECHO', 'SLCA', 'DDS', 'PRFT', 'AA', 'DBC', 'DVN', 'JO', 'MRC', 'GTBP', 'FB', 'AMZN', 'NFLX', 'AAPL', 'SQ', 'ROKU', 'MRNA', 'GRPN', 'PENN']",Dow Reaches New Record While Tech Remains Under Pressure,,,
