,id,publisher,title,author,published_utc,article_url,tickers,amp_url,image_url,description,keywords
0,JOoZbV0t_JcH_ZzrKzl7R2UN5KDkY7MdbDMdcXK8aYU,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",TOTAL (TOT) to Report Q1 Earnings: What's in the Offing?,Zacks Equity Research,2021-04-23T10:52:00Z,http://www.zacks.com/stock/news/1440823/total-tot-to-report-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1440823,"['XOM', 'TOT', 'CVX', 'EOG']",https://www.zacks.com/amp/stock/news/1440823/total-tot-to-report-q1-earnings-whats-in-the-offing,https://staticx-tuner.zacks.com/images/articles/main/80/1812.jpg,TOTAL's (TOT) first-quarter earnings are likely to have benefited from contribution from new start-ups and proper execution of cost-management initiatives.,
1,gHh-ekqJiZGoHVMdgEBwBUdAmBmxeJofCDgmzMLi2x4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Is a Beat in the Offing for Matador's (MTDR) Q1 Earnings?,Zacks Equity Research,2021-04-23T10:55:00Z,http://www.zacks.com/stock/news/1440829/is-a-beat-in-the-offing-for-matadors-mtdr-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1440829,"['HES', 'EOG', 'CLR', 'MTDR']",https://www.zacks.com/amp/stock/news/1440829/is-a-beat-in-the-offing-for-matadors-mtdr-q1-earnings,https://staticx-tuner.zacks.com/images/articles/main/e5/295.jpg,Matador Resources (MTDR) is likely to post an earnings beat for first-quarter 2021 backed by a potential increase in oil and natural gas production along with commodity prices.,
2,SgmyH4MiPWwvq1IMsqZzNWQVfJueSJ3lG8kA36XhULE,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights: Netflix, Medtronic, Stryker, Sysco and EOG Resources",Zacks Equity Research,2021-04-23T13:04:00Z,http://www.zacks.com/stock/news/1441342/the-zacks-analyst-blog-highlights-netflix-medtronic-stryker-sysco-and-eog-resources?cid=CS-ZC-FT-press_releases-1441342,"['MDT', 'SYK', 'EOG', 'NFLX', 'SYY']",https://www.zacks.com/amp/stock/news/1441342/the-zacks-analyst-blog-highlights-netflix-medtronic-stryker-sysco-and-eog-resources,https://staticx-tuner.zacks.com/images/articles/main/45/414.jpg,"The Zacks Analyst Blog Highlights: Netflix, Medtronic, Stryker, Sysco and EOG Resources",
3,OjvernspUhrCz7ZDho_ML524pswPFkn0hFbGnurhVTo,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Is a Beat in Store for ExxonMobil's (XOM) Q1 Earnings?,Zacks Equity Research,2021-04-26T12:09:00Z,http://www.zacks.com/stock/news/1455835/is-a-beat-in-store-for-exxonmobils-xom-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1455835,"['XOM', 'EOG', 'AM', 'AR']",https://www.zacks.com/amp/stock/news/1455835/is-a-beat-in-store-for-exxonmobils-xom-q1-earnings,https://staticx-tuner.zacks.com/images/articles/main/0c/69.jpg,ExxonMobil (XOM) projects first-quarter operating results from oil and liquids businesses to improve $1.6 billion to $2 billion from the December quarter of 2020.,
4,zguCRx5EIXNQn3BRlyhYnfhasGi5EthZ99CJC75i11A,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",What's in the Offing for CNX Resources' (CNX) Q1 Earnings ?,Zacks Equity Research,2021-04-26T12:50:00Z,http://www.zacks.com/stock/news/1455772/whats-in-the-offing-for-cnx-resources-cnx-q1-earnings-?cid=CS-ZC-FT-analyst_blog|earnings_preview-1455772,"['CNX', 'EOG', 'MTDR', 'AR']",https://www.zacks.com/amp/stock/news/1455772/whats-in-the-offing-for-cnx-resources-cnx-q1-earnings,https://staticx-tuner.zacks.com/images/articles/main/62/347.jpg,CNX Resources' (CNX) first-quarter earnings are likely to have benefited from cost management initiatives and lower share outstanding.,
5,YSo3PbhFeMpognF98-7gQLiv-Kv_eITe-SETL-rZKoA,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Hess (HES) Gears Up for Q1 Earnings: What's in the Cards?,Zacks Equity Research,2021-04-26T14:02:00Z,http://www.zacks.com/stock/news/1456183/hess-hes-gears-up-for-q1-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1456183,"['XOM', 'HES', 'EOG', 'CLR']",https://www.zacks.com/amp/stock/news/1456183/hess-hes-gears-up-for-q1-earnings-whats-in-the-cards,https://staticx-tuner.zacks.com/images/articles/main/d4/1323.jpg,"Despite Bakken play production ramp up, Hess' (HES) domestic output is likely to decline year over year for the first quarter.",
6,IhXipgOn61BWB1TpMz9CroAf1a5b3qpSaE0mPhxwZ48,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Is EOG Resources (EOG) Outperforming Other Oils-Energy Stocks This Year?,Zacks Equity Research,2021-04-26T15:30:11Z,http://www.zacks.com/stock/news/1456619/is-eog-resources-eog-outperforming-other-oils-energy-stocks-this-year?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_1-1456619,['EOG'],https://www.zacks.com/amp/stock/news/1456619/is-eog-resources-eog-outperforming-other-oils-energy-stocks-this-year,https://staticx-tuner.zacks.com/images/default_article_images/default29.jpg,Is  (EOG) Outperforming Other Oils-Energy Stocks This Year?,
7,0Dxr6h6KrGgHg6mXDm9UvIxAeeJqpSgYXsk6IDXtsAs,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","BP Tops Q1 Earnings Estimates, Aims to Resume Buybacks in Q2",Zacks Equity Research,2021-04-27T13:02:00Z,http://www.zacks.com/stock/news/1461673/bp-tops-q1-earnings-estimates-aims-to-resume-buybacks-in-q2?cid=CS-ZC-FT-analyst_blog|earnings_article-1461673,"['EOG', 'BP', 'FANG', 'MTDR']",https://www.zacks.com/amp/stock/news/1461673/bp-tops-q1-earnings-estimates-aims-to-resume-buybacks-in-q2,https://staticx-tuner.zacks.com/images/articles/main/ee/431.jpg,Higher commodity prices aid BP's Q1 earnings.,
8,G6QhNsWCr95FmpdPb7riG7zo3EBz3OPRHx4N6_ZJwNU,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Phillips 66 (PSX) Gears Up for Q1 Earnings: What's in Store?,Kaibalya Pravo Dey,2021-04-27T15:28:00Z,http://www.zacks.com/stock/news/1462127/phillips-66-psx-gears-up-for-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1462127,"['EOG', 'CLR', 'PSX', 'PSXP']",https://www.zacks.com/amp/stock/news/1462127/phillips-66-psx-gears-up-for-q1-earnings-whats-in-store,https://staticx-tuner.zacks.com/images/articles/main/cd/415.jpg,Phillips 66's (PSX) first-quarter operations in the Central and Gulf Coast regions are significantly affected by severe winter storms.,
9,eWL7EjJ91XhSywoayYn0HnGzhUCmoSFJlYkkZ0CwDP8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Will ExxonMobil's (XOM) Upstream Business Aid Q1 Earnings?,Zacks Equity Research,2021-04-28T12:02:00Z,http://www.zacks.com/stock/news/1466807/will-exxonmobils-xom-upstream-business-aid-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1466807,"['XOM', 'CVX', 'COP', 'EOG']",https://www.zacks.com/amp/stock/news/1466807/will-exxonmobils-xom-upstream-business-aid-q1-earnings,https://staticx-tuner.zacks.com/images/articles/main/9a/68.jpg,"Since ExxonMobil (XOM) has significant exposure to upstream business, the considerable improvement in oil price is likely to have aided the company's Q1 earnings.",
