,id,publisher,title,author,published_utc,article_url,tickers,amp_url,image_url,description,keywords
0,a1-krktRV2TNGgYdE9lFKsegaxUSbGLIcodKD6knBsg,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Is Diamondback Energy Stock a Buy?,newsfeedback@fool.com (Matthew DiLallo),2021-04-20T14:49:00Z,https://www.fool.com/investing/2021/04/20/is-diamondback-energy-stock-a-buy/?source=iedfolrf0000001,['FANG'],https://www.fool.com/amp/investing/2021/04/20/is-diamondback-energy-stock-a-buy/,https://g.foolcdn.com/editorial/images/622060/an-oil-pump-with-the-sun-bursting-behind-it.jpg,The oil stock is already up about 60% this year.,['investing']
1,R6gHWEFTD_H_Ctsuxl1Rtxo2xZ9R64NAm7QDcLNg98I,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights: Marathon Oil, Diamondback Energy, Occidental Petroleum, ONEOK and ExxonMobil",Zacks Equity Research,2021-04-23T10:43:00Z,http://www.zacks.com/stock/news/1440751/the-zacks-analyst-blog-highlights-marathon-oil-diamondback-energy-occidental-petroleum-oneok-and-exxonmobil?cid=CS-ZC-FT-press_releases-1440751,"['XOM', 'MRO', 'OKE', 'OXY', 'FANG']",https://www.zacks.com/amp/stock/news/1440751/the-zacks-analyst-blog-highlights-marathon-oil-diamondback-energy-occidental-petroleum-oneok-and-exxonmobil,https://staticx-tuner.zacks.com/images/articles/main/4e/1601.jpg,"The Zacks Analyst Blog Highlights: Marathon Oil, Diamondback Energy, Occidental Petroleum, ONEOK and ExxonMobil",
2,lJ8CaFLjEihaQif3rWoXTy3AikOa08rlOUp2uPe8w6E,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Marathon Oil (MRO) Gives Preliminary Update on Q1 Production,Zacks Equity Research,2021-04-23T11:27:00Z,http://www.zacks.com/stock/news/1441176/marathon-oil-mro-gives-preliminary-update-on-q1-production?cid=CS-ZC-FT-analyst_blog|company_news_-_energy_sector-1441176,"['MRO', 'FANG', 'MTDR', 'DEN']",https://www.zacks.com/amp/stock/news/1441176/marathon-oil-mro-gives-preliminary-update-on-q1-production,https://staticx-tuner.zacks.com/images/articles/main/98/1265.jpg,Marathon Oil's (MRO) Q1 cash flow from operations is expected in the $610-$630 million range with negative working capital adjustments of $10-$20 million.,
3,_l2uR0WlHALI7FvqRNYEorOJnFDoLY0XAb8Uv2u8wEk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",5 High Earnings Yield Picks That are Worth Your Attention,Rimmi Singhi,2021-04-23T12:05:00Z,http://www.zacks.com/stock/news/1441337/5-high-earnings-yield-picks-that-are-worth-your-attention?cid=CS-ZC-FT-analyst_blog|rw-1441337,"['WFC', 'WDC', 'HUN', 'PPC', 'FANG']",https://www.zacks.com/amp/stock/news/1441337/5-high-earnings-yield-picks-that-are-worth-your-attention,https://staticx-tuner.zacks.com/images/articles/main/eb/200.jpg,"Invest in high earnings yield stocks including WDC, FANG, WFC, HUN and PPC for handsome rewards.",
4,3il-kgSrVX4VAGoQcl-DAnopDik1lZqJQfyTrC3DeRw,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/seekingalpha.ico'}",One Last Hurrah? The Stocks To Buy Now,Limelight Alpha Management Partners,2021-04-25T08:09:04Z,https://seekingalpha.com/article/4421093-one-last-hurrah-stocks-to-buy-now?source=feed,"['ABBV', 'ACHC', 'ADP', 'AEP', 'AFIN', 'AFINO', 'AFINP', 'AIZ', 'ALE', 'ALOT', 'ALRM', 'ASH', 'AVNT', 'BANR', 'BIP', 'BMY', 'BRO', 'BXS', 'CB', 'CLI', 'CMCSA', 'CMO', 'CMP', 'CNO', 'CNP', 'CODI', 'CPLG', 'CQP', 'CSL', 'CTVA', 'CVS', 'DBX', 'DKL', 'DTB', 'DTE', 'DTJ', 'DTP', 'DTW', 'ED', 'EFC', 'EFX', 'EMN', 'EPD', 'ESI', 'ETR', 'EVH', 'EVLO', 'EXPD', 'EXPO', 'FANG', 'FIS', 'FOXF', 'GLP', 'GPC', 'GPN', 'GRA', 'HAIN', 'HD', 'HOME', 'IART', 'ICHR', 'IPG', 'IT', 'JCOM', 'KBH', 'KO', 'LEG', 'LEVI', 'LLY', 'MAC', 'MEDP', 'MGP', 'MLM', 'MMM', 'MMP', 'MNST', 'NI', 'NLY', 'NOC', 'NWL', 'OIS', 'OPRX', 'OSIS', 'OTEX', 'OXY', 'PBFX', 'PFG', 'PFH', 'PFPT', 'PII', 'PPG', 'PRS', 'PRU', 'RPT', 'RRR', 'RSG', 'SHW', 'SLG', 'SRE', 'SREA', 'SSD', 'STAR', 'STZ', 'STZ.B', 'TSCO', 'WES', 'WTFC', 'WTFCM', 'WTFCP', 'WTRG', 'WWW', 'YUM']",https://seekingalpha.com/amp/article/4421093-one-last-hurrah-stocks-to-buy-now,https://static.seekingalpha.com/uploads/2021/4/23/486106-1619222908388881_origin.png,"Warning signals are flashing, suggesting it could be smart to fade the next move up. The strongest sectors currently include financials, REITs, and consumer goods.",
5,vFMksD7954CUWS8SK1HeCiwZPLLh-szjdsCa-nvUzhg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Zacks.com featured highlights include: Western Digital Corp, Diamondback Energy, Wells Fargo, Huntsman Corp and Pilgrim's Pride Corp",Zacks Equity Research,2021-04-26T10:42:00Z,http://www.zacks.com/stock/news/1455214/zackscom-featured-highlights-include-western-digital-corp-diamondback-energy-wells-fargo-huntsman-corp-and-pilgrims-pride-corp?cid=CS-ZC-FT-press_releases-1455214,"['WFC', 'WDC', 'HUN', 'PPC', 'FANG']",https://www.zacks.com/amp/stock/news/1455214/zackscom-featured-highlights-include-western-digital-corp-diamondback-energy-wells-fargo-huntsman-corp-and-pilgrims-pride-corp,https://staticx-tuner.zacks.com/images/articles/main/8f/410.jpg,"Zacks.com featured highlights include: Western Digital Corp, Diamondback Energy, Wells Fargo, Huntsman Corp and Pilgrim's Pride Corp",
6,0Dxr6h6KrGgHg6mXDm9UvIxAeeJqpSgYXsk6IDXtsAs,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","BP Tops Q1 Earnings Estimates, Aims to Resume Buybacks in Q2",Zacks Equity Research,2021-04-27T13:02:00Z,http://www.zacks.com/stock/news/1461673/bp-tops-q1-earnings-estimates-aims-to-resume-buybacks-in-q2?cid=CS-ZC-FT-analyst_blog|earnings_article-1461673,"['EOG', 'BP', 'FANG', 'MTDR']",https://www.zacks.com/amp/stock/news/1461673/bp-tops-q1-earnings-estimates-aims-to-resume-buybacks-in-q2,https://staticx-tuner.zacks.com/images/articles/main/ee/431.jpg,Higher commodity prices aid BP's Q1 earnings.,
7,ZwxVMhNxqdNyVxLeL0BQx7pOFj6PGjhnIl9Mq_dMkQA,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","TechnipFMC (FTI) Q1 Loss Narrower Than Expected, Sales Beat",Zacks Equity Research,2021-04-28T12:27:00Z,http://www.zacks.com/stock/news/1467012/technipfmc-fti-q1-loss-narrower-than-expected-sales-beat?cid=CS-ZC-FT-analyst_blog|earnings_article-1467012,"['XOM', 'FTI', 'SU', 'FANG']",https://www.zacks.com/amp/stock/news/1467012/technipfmc-fti-q1-loss-narrower-than-expected-sales-beat,https://staticx-tuner.zacks.com/images/articles/main/e1/1888.jpg,"In the first quarter, TechnipFMC's (FTI) inbound orders rose by 11.9% from the year-ago period to $1.7 billion - a signal of improving revenue visibility.",
8,kvX-kRK5i8m_YO1LKtJQhJkI9Gohv1HCCq2G9vvL7sg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Hess (HES) Surpasses Earnings & Revenue Estimates in Q1,Zacks Equity Research,2021-04-28T14:30:00Z,http://www.zacks.com/stock/news/1467588/hess-hes-surpasses-earnings-revenue-estimates-in-q1?cid=CS-ZC-FT-analyst_blog|earnings_article-1467588,"['HES', 'EOG', 'FANG', 'MTDR']",https://www.zacks.com/amp/stock/news/1467588/hess-hes-surpasses-earnings-revenue-estimates-in-q1,https://staticx-tuner.zacks.com/images/articles/main/e5/295.jpg,Higher price realizations of commodities aid Hess' (HES) strong Q1 earnings.,
9,tcI-GPPIwr54NtbOXv_tEwVGzxlmh2LWmZtTv26fI_Q,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",This Top Oils and Energy Stock is a #1 (Strong Buy): Why It Should Be on Your Radar,Zacks Equity Research,2021-04-28T14:37:00Z,http://www.zacks.com/stock/news/1467335/this-top-oils-and-energy-stock-is-a-1-strong-buy-why-it-should-be-on-your-radar?cid=CS-ZC-FT-tale_of_the_tape|zacks_education_zacks_rank-1467335,['FANG'],https://www.zacks.com/amp/stock/news/1467335/this-top-oils-and-energy-stock-is-a-strong-buy-why-it-should-be-on-your-radar,https://staticx-tuner.zacks.com/images/default_article_images/default297.jpg,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Zacks Rank.",
