,id,publisher,title,author,published_utc,article_url,tickers,amp_url,image_url,description,keywords
0,VjEIvKsuF43dlId5n5C-aconJbHZJH2TyOvKda_lPFE,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",3 Stocks for Beginning Investors,newsfeedback@fool.com (Chuck Saletta),2021-04-18T20:30:00Z,https://www.fool.com/investing/2021/04/18/3-stocks-for-beginning-investors/?source=iedfolrf0000001,"['KMI', 'SPY', 'SJM']",https://www.fool.com/amp/investing/2021/04/18/3-stocks-for-beginning-investors/,https://g.foolcdn.com/editorial/images/621919/pipelines-in-the-setting-sun-gettyimages-489194691.jpg,Investing doesn't have to be complicated.,['investing']
1,W_bgeAg2mKrZs5XMNtFWqQzdgVP3oQsCWqjkvRLkbm8,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",5 High-Yield Dividend Stocks to Protect Your Retirement From Inflation,newsfeedback@fool.com (Daniel Foelber and Christy Bieber),2021-04-21T14:30:00Z,https://www.fool.com/investing/2021/04/21/5-high-yield-dividend-stocks-to-protect-your-retir/?source=iedfolrf0000001,"['CLX', 'T', 'TSM', 'LMT', 'KMI']",https://www.fool.com/amp/investing/2021/04/21/5-high-yield-dividend-stocks-to-protect-your-retir/,https://g.foolcdn.com/editorial/images/621752/gettyimages-175384956.jpg,"The economy is booming and prices are rising, which could signal trouble for retirees.",['investing']
2,Sg-zY9jRI9LCXHVDwRaQ8niplugpI1hU7UrUfpYNtc0,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Kinder Morgan (KMI) Q1 2021 Earnings Call Transcript,newsfeedback@fool.com (Motley Fool Transcribing),2021-04-22T06:00:50Z,https://www.fool.com/earnings/call-transcripts/2021/04/22/kinder-morgan-kmi-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,['KMI'],https://www.fool.com/amp/earnings/call-transcripts/2021/04/22/kinder-morgan-kmi-q1-2021-earnings-call-transcript/,https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template.jpg,"KMI earnings call for the period ending March 31, 2021.",['earningscall-transcripts']
3,eR1eI6soZM_49I8niaUS27ReA1zBze2GOu8bPXSPjow,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Kinder Morgan Gets 2021 Off to a Roaring Start,newsfeedback@fool.com (Matthew DiLallo),2021-04-22T13:26:00Z,https://www.fool.com/investing/2021/04/22/kinder-morgan-gets-2021-off-to-a-roaring-start/?source=iedfolrf0000001,"['KMI', 'BIP', 'BIPC']",https://www.fool.com/amp/investing/2021/04/22/kinder-morgan-gets-2021-off-to-a-roaring-start/,https://g.foolcdn.com/editorial/images/622403/a-gas-field-covered-in-snow-at-sunset.jpg,The natural gas pipeline giant benefited from the recent weather-related disruptions in Texas.,['investing']
4,qMO-SNhO6lHOZB2dMyZwWHxZmBhrBNK5gHfL8w4iZzw,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",4 Oil Pipeline Stocks to Combat the Coronavirus-Led Industry Woes,Nilanjan Banerjee,2021-04-23T11:13:00Z,http://www.zacks.com/commentary/1440997/4-oil-pipeline-stocks-to-combat-the-coronavirus-led-industry-woes?cid=CS-ZC-FT-industry_outlook-1440997,"['WMB', 'KMI', 'HEP', 'ENB']",https://www.zacks.com/amp/commentary/1440997/4-oil-pipeline-stocks-to-combat-the-coronavirus-led-industry-woes,https://staticx-tuner.zacks.com/images/articles/main/f2/298.jpg,4 Oil Pipeline Stocks to Combat the Coronavirus-Led Industry Woes,
5,WJ6crOJLusO9c6c9JDqr6vDv3GmNGgbZaRSYuop2xlk,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Is Kinder Morgan Stock a Buy?,newsfeedback@fool.com (Daniel Foelber),2021-04-25T12:32:00Z,https://www.fool.com/investing/2021/04/25/is-kinder-morgan-stock-a-buy/?source=iedfolrf0000001,['KMI'],https://www.fool.com/amp/investing/2021/04/25/is-kinder-morgan-stock-a-buy/,https://g.foolcdn.com/editorial/images/622580/gettyimages-183357295.jpg,This high-yield dividend stock just boosted its payout.,['investing']
6,cMahTJy-pBmsw8YwTOlw4-W_jO5YqY0JJMR4QAiv9_E,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",3 Income Stocks Perfect for Retirees,newsfeedback@fool.com (Chuck Saletta),2021-04-25T18:30:00Z,https://www.fool.com/investing/2021/04/25/3-income-stocks-perfect-for-retirees/?source=iedfolrf0000001,"['CSCO', 'GPC', 'KMI']",https://www.fool.com/amp/investing/2021/04/25/3-income-stocks-perfect-for-retirees/,https://g.foolcdn.com/editorial/images/622861/senior-man-with-a-laptop-and-money-falling-from-above-gettyimages-504302802.jpg,It takes more than just a good current yield for a dividend paying stock to be worth owning during retirement.,['investing']
7,BYWvtMIT98VT4YFj26n5evZN2r3lMhQS8pikyokW1pk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Zacks Industry Outlook Highlights: Enbridge, Kinder Morgan, The Williams Companies and Holly Energy Partners",Zacks Equity Research,2021-04-26T12:23:00Z,http://www.zacks.com/stock/news/1455632/zacks-industry-outlook-highlights-enbridge-kinder-morgan-the-williams-companies-and-holly-energy-partners?cid=CS-ZC-FT-press_releases-1455632,"['ENB', 'WMB', 'HEP', 'KMI']",https://www.zacks.com/amp/stock/news/1455632/zacks-industry-outlook-highlights-enbridge-kinder-morgan-the-williams-companies-and-holly-energy-partners,https://staticx-tuner.zacks.com/images/articles/main/4a/291.jpg,"Zacks Industry Outlook Highlights: Enbridge, Kinder Morgan, The Williams Companies and Holly Energy Partners",
8,xwGujeJp5mFhgxt0aq3JefpSnEXQn-bFchX8L8Mo6V8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Oil & Gas Stock Roundup: Q1 Earnings From SLB, HAL, BKR, KMI & VLO",Nilanjan Choudhury,2021-04-28T12:02:00Z,http://www.zacks.com/stock/news/1466827/oil-gas-stock-roundup-q1-earnings-from-slb-hal-bkr-kmi-vlo?cid=CS-ZC-FT-analyst_blog|stock_roundup-1466827,"['RIG', 'VLO', 'SLB', 'HAL', 'KMI', 'BKR']",https://www.zacks.com/amp/stock/news/1466827/oil-gas-stock-roundup-q1-earnings-from-slb-hal-bkr-kmi-vlo,https://staticx-tuner.zacks.com/images/articles/main/7a/2381.jpg,"Energy companies Schlumberger (SLB), Halliburton (HAL), Baker Hughes (BKR), Kinder Morgan (KMI) and Valero Energy (VLO) reported March-quarter earnings, wherein each outperformed the Zacks Consensus Estimate.",
9,Bk2HuLZIki1c-pCLj4syusxzO6O2Ki4fmo-XaB4i0Zo,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Get Paid While You Wait: 3 Top Dividend Stocks in Energy,newsfeedback@fool.com (Matthew DiLallo),2021-04-30T13:26:00Z,https://www.fool.com/investing/2021/04/30/get-paid-while-you-wait-3-top-dividend-stocks-in-e/?source=iedfolrf0000001,"['KMI', 'ENB', 'WMB']",https://www.fool.com/amp/investing/2021/04/30/get-paid-while-you-wait-3-top-dividend-stocks-in-e/,https://g.foolcdn.com/editorial/images/623152/a-man-in-a-suit-counting-cash.jpg,"The energy transition will take decades, suggesting that these companies will have plenty of fuel to keep paying dividends.",['investing']
