,id,publisher,title,author,published_utc,article_url,tickers,image_url,description,keywords,amp_url
0,ab88Wf_kfYv4ZDWfBQRUyHQ46hEC5S2VpPuozoMnq74,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",3 Warren Buffett Stocks Worth Buying Now,"newsfeedback@fool.com (Leo Sun, Dan Caplinger, and Maxx Chatsko)",2019-03-10T00:00:00Z,https://www.fool.com/investing/2019/03/09/3-warren-buffett-stocks-worth-buying-now.aspx,"['AAPL', 'PSX', 'COST', 'ORCL']",https://g.foolcdn.com/editorial/images/514817/gettyimages-929210842.jpg,"Investors should consider following Berkshire Hathaway's lead and buy shares of Costco, Apple, and Phillips 66.",['investing'],
1,sceBUSPLxmQMLV06M6GuFmOXXZEhMrdug8JWBhLRE_I,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Stocks Start the Week by Soaring More Than 3%,Jim Giaquinto,2020-03-31T13:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-24856,"['NKE', 'EXPI', 'XEL', 'SEDG', 'PDCO', 'BAH', 'ATO', 'NEM', 'SFM', 'STNG', 'PSX', 'UNG', 'USO', 'UGA', 'FB', 'JNJ', 'RDWR', 'UPRO', 'TQQQ', 'NVDA', 'AYX']",,Stocks Start the Week by Soaring More Than 3%,,
2,hFX4A1fmaL0r0kwOBFQpObC52itDTkRs3Glq9GyEDTI,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Surges 2.3% as Boeing Begins Testing the 737 Max,Jim Giaquinto,2020-06-30T13:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25827,"['MGY', 'CIEN', 'INSG', 'KMX', 'MSM', 'LPX', 'HLF', 'LEN', 'CMC', 'DIN', 'PSX', 'ACAD', 'AXLA', 'BA']",,Dow Surges 2.3% as Boeing Begins Testing the 737 Max,,
3,J0t31pSkrLW4itW_l35WxFRyN8awaQlaGeppAA7hSO8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",NASDAQ Rises More Than 2% for Another Record High,Jim Giaquinto,2020-07-07T13:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25891,"['IHAK', 'HACK', 'LEVI', 'WBA', 'PSTG', 'BIDU', 'DBX', 'BJ', 'SPWH', 'SFM', 'PSX', 'DIN', 'WSM', 'AER', 'LNG', 'DHI', 'LAKE', 'LOW', 'PDCO', 'PFG', 'WSC', 'BLKB', 'AMZN', 'NFLX', 'MSFT']",,NASDAQ Rises More Than 2% for Another Record High,,
4,Ad1U_40cPWHl6d0QVtiO5E8QCGtQ7vaptnaS5sY_8Yk,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",3 Top Dividend Stocks With Yields Over 4%,newsfeedback@fool.com (Ryan Downie),2021-04-18T11:04:00Z,https://www.fool.com/investing/2021/04/18/3-top-dividend-stocks-with-yields-over-4/?source=iedfolrf0000001,"['PSXP', 'PSX', 'SBRA', 'STOR']",https://g.foolcdn.com/editorial/images/621684/gettyimages-188027740.jpg,These three stocks have sustainably high dividend yields and stable outlooks that income investors and retirees love.,['investing'],https://www.fool.com/amp/investing/2021/04/18/3-top-dividend-stocks-with-yields-over-4/
5,G6QhNsWCr95FmpdPb7riG7zo3EBz3OPRHx4N6_ZJwNU,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Phillips 66 (PSX) Gears Up for Q1 Earnings: What's in Store?,Kaibalya Pravo Dey,2021-04-27T15:28:00Z,http://www.zacks.com/stock/news/1462127/phillips-66-psx-gears-up-for-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1462127,"['EOG', 'CLR', 'PSX', 'PSXP']",https://staticx-tuner.zacks.com/images/articles/main/cd/415.jpg,Phillips 66's (PSX) first-quarter operations in the Central and Gulf Coast regions are significantly affected by severe winter storms.,,https://www.zacks.com/amp/stock/news/1462127/phillips-66-psx-gears-up-for-q1-earnings-whats-in-store
6,0DFQNhfyfwpt0wo55AOM2j7iO_5rUOKJpHlSdHFHHks,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Top Analyst Reports for NVIDIA, Booking Holdings & Altria",Mark Vickery,2021-04-28T20:34:00Z,http://www.zacks.com/research-daily/1468340/top-analyst-reports-for-nvidia-booking-holdings-altria?cid=CS-ZC-FT-research_daily-1468340,"['PWR', 'PSX', 'NVDA', 'MRNA', 'MO', 'BKNG']",https://staticx-tuner.zacks.com/images/articles/main/c1/2695.jpg,"Top Analyst Reports for NVIDIA, Booking Holdings & Altria",,
7,OeYuJkBY_RqOULn5XxCOs7TDmC_MAHfaiDrS_sGw-Ig,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights: NVIDIA, Booking Holdings, Altria Group, Moderna and Phillips 66",Zacks Equity Research,2021-04-29T11:08:00Z,http://www.zacks.com/stock/news/1472213/the-zacks-analyst-blog-highlights-nvidia-booking-holdings-altria-group-moderna-and-phillips-66?cid=CS-ZC-FT-press_releases-1472213,"['MO', 'NVDA', 'MRNA', 'PSX', 'BKNG']",https://staticx-tuner.zacks.com/images/articles/main/93/534.jpg,"The Zacks Analyst Blog Highlights: NVIDIA, Booking Holdings, Altria Group, Moderna and Phillips 66",,https://www.zacks.com/amp/stock/news/1472213/the-zacks-analyst-blog-highlights-nvidia-booking-holdings-altria-group-moderna-and-phillips-66
8,7bLW1s_XZwsaPr-7By38e3WyefU5wJ6tgiTo7SHOhWA,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Oil & Gas Stock Q1 Earnings Roster for Apr 30: XOM, CVX, PSX, IMO",Nilanjan Banerjee,2021-04-29T13:07:00Z,http://www.zacks.com/stock/news/1473143/oil-gas-stock-q1-earnings-roster-for-apr-30-xom-cvx-psx-imo?cid=CS-ZC-FT-analyst_blog:_earnings_preview_-_esp|earnings_preview_-_esp-1473143,"['XOM', 'CVX', 'HES', 'IMO', 'BP', 'PSX', 'BKR']",https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,"With oil price improving remarkably, the upstream businesses of energy giants like XOM, CVX and IMO are likely to have gained in the March quarter. PSX is unlikely to beat estimates in Q1.",,https://www.zacks.com/amp/stock/news/1473143/oil-gas-stock-q1-earnings-roster-for-apr-30-xom-cvx-psx-imo
9,n0l04HgCjhUi3Wn3erioR56p3BJCYwuWJgJFYQzAxKo,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/benzinga.ico'}","Earnings Scheduled For April 30, 2021",Benzinga Insights,2021-04-30T08:11:54Z,https://www.benzinga.com/news/earnings/21/04/20883024/earnings-scheduled-for-april-30-2021,"['AON', 'IMO', 'QSR', 'GT', 'LYB', 'ALXN', 'CCLP', 'GWW', 'CHTR', 'BCPC', 'ESXB', 'HRC', 'WETF', 'DCOM', 'AVNT', 'HUN', 'SLCA', 'IESC', 'ITCB', 'ITW', 'BSAC', 'OFIX', 'ASIX', 'JCI', 'LAZ', 'PSX', 'OIIM', 'BYSI', 'NWL', 'ABBV', 'TWIN', 'JELD', 'PBI', 'PSXP', 'AZN', 'EEX', 'PFS', 'NWHM', 'B', 'LHX', 'PNM', 'SHLX', 'BCS', 'ANPC', 'POR', 'IRMD', 'CL', 'PIPR', 'WPC', 'CLX', 'QH', 'WY', 'CVEO', 'CRI', 'HSAQ', 'XOM', 'SBFG', 'CVX', 'CBOE', 'MGP', 'E']",https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1852.png,"Companies Reporting Before The Bell
• O2Micro Intl (NASDAQ:OIIM) is estimated to report quarterly earnings at $0.09 per share on revenue of $23.30 million.
• Twin Disc (NASDAQ:TWIN) is likely to report quarterly loss at $0.12 per share on revenue of $57.70 million.
• L3Harris Technologies (NYSE:LHX) is projected to report quarterly earnings at $2.94 per share on revenue of $4.54 billion.
• Shell Midstream Partners (NYSE:SHLX) is expected to report quarterly earnings at $0.34 per share on revenue of $123.97 million.
• Cboe Global Markets (BATS:CBOE) is estimated to report quarterly earnings at $1.40 per share on revenue of $353.75 million.
• Quhuo (NASDAQ:QH) is estimated to report quarterly earnings at $0.11 per share on revenue of $117.20 million.
• Pitney Bowes (NYSE:PBI) is expected to report quarterly earnings at $0.04 per share on revenue of $873.86 million.
• Weyerhaeuser (NYSE:WY) is likely to report quarterly earnings at $0.91 per share on revenue of $2.52 billion.
• iRadimed (NASDAQ:IRMD) is estimated to report quarterly earnings at $0.10 per share on revenue of $8.56 million.
• BeyondSpring (NASDAQ:BYSI) is projected to report earnings for its fourth quarter.
• Portland General Electric (NYSE:POR) is likely to report quarterly earnings at $0.92 per share on revenue of $578.16 million.
• Newell Brands (NASDAQ:NWL) is estimated to report quarterly earnings at $0.13 per share on revenue of $2.07 billion.
• Carter's (NYSE:CRI) is projected to report quarterly earnings at $0.32 per share on revenue of $664.49 million.
• Huntsman (NYSE:HUN) is likely to report quarterly earnings at $0.59 per share on revenue of $1.75 billion.
• Clorox (NYSE:CLX) is estimated to report quarterly earnings at $1.48 per share on revenue of $1.87 billion.
• Colgate-Palmolive (NYSE:CL) is expected to report quarterly earnings at $0.79 per share on revenue of $4.25 billion.
• Goodyear Tire & Rubber (NASDAQ:GT) is estimated to report quarterly earnings at $0.09 per share on revenue of $3.40 billion.
• Exxon Mobil (NYSE:XOM) is projected to report quarterly earnings at $0.59 per share on revenue of $54.60 billion.
• AstraZeneca (NASDAQ:AZN) is estimated to report ...Full story available on Benzinga.com","['News', 'Earnings', 'Pre-Market Outlook', 'Markets']",https://amp.benzinga.com/amp/content/20883024
