,id,publisher,title,author,published_utc,article_url,tickers,description,amp_url,image_url,keywords
0,9wIo--KHVcGi6_UayArHT_hS2sHpoukRTSh04aEraRg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Market Plunges More Than 2% While Waiting for Apple, Facebook",Jim Giaquinto,2021-01-28T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28105,"['EVRI', 'STRL', 'SLB', 'AQUA', 'BB', 'AAPL', 'FB', 'TSLA', 'BBBY', 'GME', 'AMC', 'EXPR']","Market Plunges More Than 2% While Waiting for Apple, Facebook",,,
1,QIBvSAG2-85dpBi5wzOdUKNfA26Sx7Id6Yrb3T6Ly1o,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Stays in Record Territory to Start Short Week,Jim Giaquinto,2021-02-17T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28337,"['BABA', 'VIRT', 'SWKS', 'MAR', 'INTU', 'NUAN', 'F', 'CWH', 'TMHC', 'EMKR', 'PRIM', 'TEX', 'SQ', 'CDAY', 'HTHT', 'VLO', 'XPO', 'CCJ', 'SLB', 'JO', 'TAL', 'TDC', 'VSAT', 'NIB', 'BMRN', 'AA', 'VSTO', 'KBH', 'SAVA', 'X', 'HEXO', 'ACB']",Dow Stays in Record Territory to Start Short Week,,,
2,Mtc49LcSOCvBze7xrFG7RBEwQqvFUKzrIgSKdneQoGg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Should You Invest in the iShares U.S. Oil Equipment & Services ETF (IEZ)?,Zacks Equity Research,2021-04-23T10:20:02Z,http://www.zacks.com/stock/news/1440672/should-you-invest-in-the-ishares-us-oil-equipment-services-etf-iez?cid=CS-ZC-FT-sector_etf-1440672,"['IEZ', 'SLB', 'HAL', 'XES', 'OIH', 'CHX']",Sector ETF report for IEZ,https://www.zacks.com/amp/stock/news/1440672/should-you-invest-in-the-ishares-us-oil-equipment-services-etf-iez,https://staticx-tuner.zacks.com/images/default_article_images/default44.jpg,
3,tQLcFEmEQVBMy6XxmD2yQN8mgShGpFED3LohNFHkKIE,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Schlumberger (SLB) Q1 Earnings and Revenues Beat Estimates,Zacks Equity Research,2021-04-23T12:15:02Z,http://www.zacks.com/stock/news/1441122/schlumberger-slb-q1-earnings-and-revenues-beat-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1441122,['SLB'],"Schlumberger (SLB) delivered earnings and revenue surprises of 10.53% and 2.31%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",https://www.zacks.com/amp/stock/news/1441122/schlumberger-slb-q1-earnings-and-revenues-beat-estimates,https://staticx-tuner.zacks.com/images/default_article_images/default34.jpg,
4,ZhwwE3I7Hq2yEszL2ndD4jaaAqZ28KCECgnCguw-2YI,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Q1 Earnings Deluge Continues: AXP, HON, SLB, KMB & More",Mark Vickery,2021-04-23T14:29:00Z,http://www.zacks.com/stock/news/1441727/q1-earnings-deluge-continues-axp-hon-slb-kmb-more?cid=CS-ZC-FT-ahead_of_wall_street-1441727,"['KMB', 'SLB', 'HON', 'AXP', 'ALV', 'SPY']",A new capital gains tax proposal is adding to market malaise as Q1 earnings reports continue to hurtle down the pike.,https://www.zacks.com/amp/stock/news/1441727/q1-earnings-deluge-continues-axp-hon-slb-kmb-more,https://staticx-tuner.zacks.com/images/articles/main/1a/2589.jpg,
5,FKdWNhrj1PaeKLpZznFUKzuNhedVSenO3jo0ZGb_MHo,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Earnings Data Deluge,Zacks Equity Research,2021-04-23T14:52:00Z,http://www.zacks.com/stock/news/1441832/earnings-data-deluge?cid=CS-ZC-FT-economic_highlights-1441832,"['KMB', 'SLB', 'HON', 'AXP', 'ALV']",Earnings Data Deluge,https://www.zacks.com/amp/stock/news/1441832/earnings-data-deluge,https://staticx-tuner.zacks.com/images/articles/main/b6/1336.jpg,
6,YOzTrnwI7X-dZoiEpO131HDsh0yHe-vV4Q4ieGCU2b8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Schlumberger (SLB) Q1 Earnings Beat on Latin America Growth,Zacks Equity Research,2021-04-23T15:17:00Z,http://www.zacks.com/stock/news/1441970/schlumberger-slb-q1-earnings-beat-on-latin-america-growth?cid=CS-ZC-FT-analyst_blog|earnings_article-1441970,"['SLB', 'HEP', 'ENBL', 'CAPL']",Schlumberger (SLB) expects international revenues to witness double-digit growth in second-half 2021.,https://www.zacks.com/amp/stock/news/1441970/schlumberger-slb-q1-earnings-beat-on-latin-america-growth,https://staticx-tuner.zacks.com/images/articles/main/07/420.jpg,
7,k_NFMaReQlnmouPolt0vgrVhGVVR7zG6vtvyIH95XNk,"{'name': 'Invezz', 'homepage_url': 'https://invezz.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/invezz.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/invezz.png'}",Schlumberger beats Wall Street estimates in the fiscal first quarter,Wajeeh Khan,2021-04-23T18:35:37Z,https://invezz.com/news/2021/04/23/schlumberger-beats-wall-street-estimates-in-the-fiscal-first-quarter/,['SLB'],"Schlumberger Ltd. (NYSE: SLB) reported its financial results for the fiscal first quarter on Friday that topped analysts’ estimates for earnings and revenue, despite the ongoing COVID-19 disruptions. Schlumberger shares slid just under 2% in premarket trading on Friday but jumped about 4% on market open. Including the price action, the stock is now exchanging […]
The post Schlumberger beats Wall Street estimates in the fiscal first quarter appeared first on Invezz.",https://invezz.com/news/2021/04/23/schlumberger-beats-wall-street-estimates-in-the-fiscal-first-quarter/?amp,https://invezz.com/wp-content/uploads/2020/10/104321055-l-1024x683.jpg,"['Energy & Power', 'Industries', 'North America', 'Services', 'Stocks & Shares', 'USA', 'World']"
8,DMvFizxHtLl_xyZIPxVHI819Gma_2guHfUHv-QnzCaQ,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/marketwatch.ico'}",Market Snapshot: U.S. stocks rebound to end week close to record on upbeat economic data and earnings,MarketWatch,2021-04-23T20:43:00Z,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3B55EC3A569%7D&siteid=rss&rss=1,"['COMP', 'INTC', 'SNAP', 'MAT', 'SAM', 'GPS', 'HON', 'SLB', 'AXP', 'KMB']","U.S. stocks closed higher Friday, lifted by upbeat data on private-sector economic activity and another round of red-hot new home sales, after equities stumbled Thursday following reports President Joe Biden would propose a large increase in the capital-gains tax for the wealthiest Americans",https://www.marketwatch.com/amp/story/stock-futures-edge-higher-as-investors-shake-off-biden-tax-jitters-11619176858,https://images.mktw.net/im-304449/social,
9,6Dl-TOUxQn-EA0BmT7L_85JcS1rHSRKo1jNLHlf4I3Q,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Schlumberger Limited (SLB) Q1 2021 Earnings Call Transcript,newsfeedback@fool.com (Motley Fool Transcribers),2021-04-23T21:00:17Z,https://www.fool.com/earnings/call-transcripts/2021/04/23/schlumberger-limited-slb-q1-2021-earnings-call-tra/?source=iedfolrf0000001,['SLB'],"SLB earnings call for the period ending March 31, 2021.",https://www.fool.com/amp/earnings/call-transcripts/2021/04/23/schlumberger-limited-slb-q1-2021-earnings-call-tra/,https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template.jpg,['earningscall-transcripts']
