,id,publisher,title,author,published_utc,article_url,tickers,description,amp_url,image_url,keywords
0,WcZy-8ZODuu1L9yLTx2-YHRQ9---1XT7vhfDz7MFuPQ,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","NASDAQ Makes It Look Easy, Gains 1% to New Closing High",Jim Giaquinto,2020-08-18T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26366,"['UPWK', 'CHWY', 'HEAR', 'RVLV', 'QDEL', 'UNG', 'LNG', 'WMB', 'WMT', 'HD', 'TGT', 'LOW', 'NVDA', 'BABA', 'NTRA']","NASDAQ Makes It Look Easy, Gains 1% to New Closing High",,,
1,o_ZOlSECgeA9WMaXCja6zzePXrr5Io4KyJaMS5LjCsg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",NASDAQ Down for 2021 as Stocks Drop for a Third Day,Jim Giaquinto,2021-03-05T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28558,"['SQ', 'SPLK', 'SHOP', 'NVAX', 'TTD', 'EBAY', 'XOM', 'CVX', 'MTDR', 'DBC', 'BBIO', 'LNTH', 'WMB', 'SLV', 'GLD', 'MUSA']",NASDAQ Down for 2021 as Stocks Drop for a Third Day,,,
2,qMO-SNhO6lHOZB2dMyZwWHxZmBhrBNK5gHfL8w4iZzw,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",4 Oil Pipeline Stocks to Combat the Coronavirus-Led Industry Woes,Nilanjan Banerjee,2021-04-23T11:13:00Z,http://www.zacks.com/commentary/1440997/4-oil-pipeline-stocks-to-combat-the-coronavirus-led-industry-woes?cid=CS-ZC-FT-industry_outlook-1440997,"['WMB', 'KMI', 'HEP', 'ENB']",4 Oil Pipeline Stocks to Combat the Coronavirus-Led Industry Woes,https://www.zacks.com/amp/commentary/1440997/4-oil-pipeline-stocks-to-combat-the-coronavirus-led-industry-woes,https://staticx-tuner.zacks.com/images/articles/main/f2/298.jpg,
3,BYWvtMIT98VT4YFj26n5evZN2r3lMhQS8pikyokW1pk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Zacks Industry Outlook Highlights: Enbridge, Kinder Morgan, The Williams Companies and Holly Energy Partners",Zacks Equity Research,2021-04-26T12:23:00Z,http://www.zacks.com/stock/news/1455632/zacks-industry-outlook-highlights-enbridge-kinder-morgan-the-williams-companies-and-holly-energy-partners?cid=CS-ZC-FT-press_releases-1455632,"['ENB', 'WMB', 'HEP', 'KMI']","Zacks Industry Outlook Highlights: Enbridge, Kinder Morgan, The Williams Companies and Holly Energy Partners",https://www.zacks.com/amp/stock/news/1455632/zacks-industry-outlook-highlights-enbridge-kinder-morgan-the-williams-companies-and-holly-energy-partners,https://staticx-tuner.zacks.com/images/articles/main/4a/291.jpg,
4,nuaEN4kiNhpw12luvRepNsTKbv6E8XE4d4Qd6ZFzZZs,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",3 Top Stocks With High Dividend Yields,newsfeedback@fool.com (James Brumley),2021-04-27T11:46:00Z,https://www.fool.com/investing/2021/04/27/3-top-stocks-with-high-dividend-yields/?source=iedfolrf0000001,"['T', 'WMB', 'SO', 'PPL', 'DUK']","Despite the environment, income-minded investors still have several good dividend-paying options on the table.",https://www.fool.com/amp/investing/2021/04/27/3-top-stocks-with-high-dividend-yields/,https://g.foolcdn.com/editorial/images/622517/dividends-rising-arrow.jpg,['investing']
5,lnIJEfXzbC2LgjYmxxwe0_BhMJGO5IdjDXd07YP2618,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Things You Must Note Ahead of Williams' (WMB) Q1 Earnings,Zacks Equity Research,2021-04-28T12:01:00Z,http://www.zacks.com/stock/news/1466809/things-you-must-note-ahead-of-williams-wmb-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1466809,"['XOM', 'RIG', 'WMB', 'VNOM']","The Williams Companies (WMB) beat the Zacks Consensus Estimate in two of the last four quarters, missed in one and met in the other, delivering an earnings surprise of 2.40%, on average.",https://www.zacks.com/amp/stock/news/1466809/things-you-must-note-ahead-of-williams-wmb-q1-earnings,https://staticx-tuner.zacks.com/images/articles/main/98/1265.jpg,
6,Bk2HuLZIki1c-pCLj4syusxzO6O2Ki4fmo-XaB4i0Zo,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Get Paid While You Wait: 3 Top Dividend Stocks in Energy,newsfeedback@fool.com (Matthew DiLallo),2021-04-30T13:26:00Z,https://www.fool.com/investing/2021/04/30/get-paid-while-you-wait-3-top-dividend-stocks-in-e/?source=iedfolrf0000001,"['KMI', 'ENB', 'WMB']","The energy transition will take decades, suggesting that these companies will have plenty of fuel to keep paying dividends.",https://www.fool.com/amp/investing/2021/04/30/get-paid-while-you-wait-3-top-dividend-stocks-in-e/,https://g.foolcdn.com/editorial/images/623152/a-man-in-a-suit-counting-cash.jpg,['investing']
7,sLUc7ELZAB9HVBfYXjVJX9EFJpP4Om5p9x5xk3Y47K0,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/benzinga.ico'}",Stocks That Hit 52-Week Highs On Friday,Benzinga Insights,2021-04-30T14:07:29Z,https://www.benzinga.com/news/21/04/20889526/stocks-that-hit-52-week-highs-on-friday,"['PBFX', 'XPO', 'SHG', 'SHLX', 'ROST', 'SUN', 'QSR', 'RYAAY', 'SYY', 'WLTW', 'TWIN', 'THG', 'USFD', 'TXRH', 'TJX', 'SPGI', 'VRTS', 'TXT', 'VVV', 'XRAY', 'UA', 'UAA', 'PCF', 'WCN', 'TFII', 'PDT', 'WDC', 'UTZ', 'PGR', 'WIT', 'PKG', 'WLL', 'RE', 'WMB', 'RFI', 'WWW', 'RNP', 'YUM', 'SRLP', 'RQI', 'SC', 'SB']","Friday's morning session saw 136 companies set new 52-week highs.
Facts of Interest:

Amazon.com (NASDAQ:AMZN) was the company with the largest market cap to set a new 52-week high.
Cincinnati Bancorp (NASDAQ:CNNB) was the smallest company by market cap to set a new 52-week high.
Cryolife (NYSE:CRY) was the biggest winner of the morning session, as it traded up 10.92% to reach its new 52-week high.

Here is a list of stocks that set new 52-week highs as of 10 a.m. ET on Friday:

Amazon.com (NASDAQ:AMZN) shares hit $3,553.39 on Friday morning, setting a new 52-week high for a change of up 1.98%.
McDonald's (NYSE:MCD) stock made a new 52-week high of $236.10 Friday. The stock was up 0.23% for the day.
S&P Global (NYSE:SPGI) shares were up 0.23% on Friday to hit a new 52-week high of $394.94 for a change of up 0.23%.
TJX Companies (NYSE:TJX) shares broke to a new 52-week high of $71.87 on Friday. Shares of the company traded up 0.27%.
Crown Castle Intl (NYSE:CCI) shares set a new yearly high of $189.45 this morning. The stock was up 0.55% on the session.
Illinois Tool Works (NYSE:ITW) shares set a new yearly high of $234.10 this morning. The stock was down 0.71% on the session.
Marsh & McLennan (NYSE:MMC) shares achieved a new 52-week high on Friday morning, hitting $137.12 with a daily change of up 0.06%.
Progressive (NYSE:PGR) shares were down 0.1% for the day, having made a 52-week high of $102.24.
Northrop Grumman (NYSE:NOC) shares set a new 52-week high of $356.46 on Friday, moving up 0.67%.
Aon (NYSE:AON) shares reached a new 52-week high of $251.56 on Friday morning, moving up 4.46%.
Ross Stores (NASDAQ:ROST) shares set a new yearly high of $132.80 this morning. The stock was up 0.59% on the session.
IHS Markit (NYSE:INFO) stock hit a yearly high price of $108.69. The stock was up 0.04% for the day.
BioNTech (NASDAQ:BNTX) shares reached a new 52-week high of $189.80 on Friday morning, moving up 4.11%.
Sysco (NYSE:SYY) stock on Friday broke to a yearly high of $85.14. Shares traded up 0.8%.
L3Harris Technologies (NYSE:LHX) shares were up 0.5% on Friday to hit a new 52-week high of $212.35 for a change of up 0.5%.
Wipro (NYSE:WIT) shares were 0.0% (flat) on Friday to hit a new 52-week high of $7.35 for a change of 0.0% (flat).
O'Reilly Automotive (NASDAQ:ORLY) shares hit a yearly high of $549.86. The stock traded up 0.17% on the session.
Alexion Pharmaceuticals (NASDAQ:ALXN) shares hit a new 52-week high of $172.08. The stock traded up 3.5% on the session.
Yum Brands (NYSE:YUM) shares were up 0.31% on Friday morning to hit a new 52-week high of $119.50.
Willis Towers Watson (NASDAQ:WLTW) shares broke to $260.94 on Friday, setting a new 52-week high with a change of up 4.48%.
Waste Connections (NYSE:WCN) shares were up 0.51% on Friday morning to hit a new 52-week high of $119.57.
Fastenal (NASDAQ:FAST) shares reached a new 52-week high of $53.20 on Friday morning, moving up 0.37%.
Williams Companies (NYSE:WMB) shares were up 0.37% on Friday morning to hit a new 52-week high of $24.78.
Old Dominion Freight Line (NASDAQ:ODFL) shares hit a new 52-week high of $261.17. The stock traded down 0.46% on the session.
MPLX (NYSE:MPLX) shares broke to $27.67 on Friday, setting a new 52-week high with a change of down 0.15%.
Arthur J. Gallagher (NYSE:AJG) shares were up 2.24% for the day, having made a 52-week high of $144.99.
Ryanair Holdings (NASDAQ:RYAAY) shares set a new 52-week high of $118.50 on Friday, moving up 0.42%.
AmerisourceBergen (NYSE:ABC) stock hit a yearly high price of $122.09. The stock was up 0.21% for the day.
Nucor (NYSE:NUE) shares hit $83.33 on Friday morning, setting a new 52-week high for a change of up 0.63%.
W.W. Grainger (NYSE:GWW) shares achieved a new 52-week high on Friday morning, hitting $452.58 with a daily change of up 4.67%.
Western Digital (NASDAQ:WDC) shares were up 3.14% for the day, having made a 52-week high of $74.70.
Restaurant Brands Intl (NYSE:QSR) shares reached a new 52-week high of $70.23 on Friday morning, moving up 3.1%.
Imperial Oil (AMEX:IMO) shares hit a new 52-week high of $28.45. The stock traded up 1.81% on the session.
Cheniere Energy (AMEX:LNG) stock set a new 52-week high of $78.13 Friday morning. Over the session, the stock traded up 0.79%.
Shinhan Financial Group (NYSE:SHG) shares broke to a new 52-week high of $36.08 on Friday. Shares of the company traded up 1.18%.
Cincinnati Financial (NASDAQ:CINF) stock set a new 52-week high of $112.82 Friday morning. Over the session, the stock traded up 0.36%.
XPO Logistics (NYSE:XPO) stock hit a yearly high price of $141.21. The stock was down 0.01% for the day.
Liberty Global (NASDAQ:LBTYA) shares hit a new 52-week high of $27.15. The stock traded down 0.33% on the session.
Brown & Brown (NYSE:BRO) shares achieved a new 52-week high on Friday morning, hitting $53.58 ...Full story available on Benzinga.com",https://amp.benzinga.com/amp/content/20889526,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,"['News', 'Intraday Update', 'Markets', 'Movers', 'Trading Ideas']"
8,AOC7I19A-mo5CLckaX5MQn7lOLuGnAaAbX1-Rbw1UAA,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/benzinga.ico'}","Earnings Scheduled For May 3, 2021",Benzinga Insights,2021-05-03T08:13:04Z,https://www.benzinga.com/news/earnings/21/05/20909065/earnings-scheduled-for-may-3-2021,"['O', 'ELVT', 'JKHY', 'WWD', 'EPRT', 'CBT', 'GLYC', 'TA', 'OHI', 'CINR', 'KFRC', 'HNRG', 'LTHM', 'CNA', 'BRX', 'XPO', 'PKI', 'AGR', 'LGND', 'NSP', 'LTRN', 'CR', 'KPTI', 'ATCO', 'RBC', 'LDI', 'MYGN', 'REGI', 'CSR', 'OGS', 'BELFA', 'RIG', 'ENIA', 'NWPX', 'SHLS', 'CVI', 'VRNS', 'BELFB', 'SCI', 'TCMD', 'OTTR', 'SJ', 'EL', 'ENBL', 'BLDP', 'CRNT', 'SHO', 'DZSI', 'PETS', 'HBP', 'EPD', 'VNOM', 'DSPG', 'SU', 'TRVG', 'QGEN', 'BCEI', 'FLS', 'SOI', 'FRPT', 'VNO', 'ZI', 'RMBS', 'EVER', 'IAG', 'UE', 'FSTR', 'WEC', 'NCSM', 'SANM', 'ON', 'IPI', 'SEDG', 'BSM', 'GAIA', 'WMB', 'XELA', 'STRL', 'SIBN', 'ITUB', 'GPP', 'GPRE', 'CC', 'MAXR', 'ADC', 'MFIN', 'KMT', 'BWXT', 'HLIT', 'ADUS', 'SBT', 'ALX', 'FANG', 'L', 'RILY', 'IRBT', 'FN', 'CURO', 'AWK', 'EARN', 'LEG', 'SPNE', 'ITRI', 'PLOW', 'NTR', 'AWR', 'CPTA', 'MOS', 'AKTS', 'IVAC', 'UAN', 'ARGO', 'CAR', 'CHGG', 'MWA']","Companies Reporting Before The Bell
• Scienjoy Holding (NASDAQ:SJ) is estimated to report quarterly earnings at $0.58 per share on revenue of $540.11 million.
• DZS (NASDAQ:DZSI) is estimated to report quarterly loss at $0.22 per share on revenue of $71.90 million.
• Enel Americas (NYSE:ENIA) is projected to report quarterly earnings at $0.18 per share on revenue of $2.99 billion.
• loanDepot (NYSE:LDI) is likely to report quarterly earnings at $0.58 per share on revenue of $1.02 billion.
• ON Semiconductor (NASDAQ:ON) is expected to report quarterly earnings at $0.33 per share on revenue of $1.46 billion.
• Enterprise Prods Partners (NYSE:EPD) is likely to report quarterly earnings at $0.48 per share on revenue of $7.18 billion.
• Estee Lauder Cos (NYSE:EL) is projected to report quarterly earnings at $1.31 per share on revenue of $3.93 billion.
• CNA Financial (NYSE:CNA) is estimated to report quarterly earnings at $0.88 per share on revenue of $2.85 billion.
• Green Plains (NASDAQ:GPRE) is likely to report quarterly loss at $0.64 per share on revenue of $625.22 million.
• Bel Fuse (NASDAQ:BELFB) is expected to report quarterly earnings at $0.06 per share on revenue of $108.00 million.
• Ceragon Networks (NASDAQ:CRNT) is expected to report quarterly loss at $0.03 per share on revenue of $64.55 million.
• Bel Fuse (NASDAQ:BELFA) is likely to report quarterly earnings at $0.02 per share on revenue of $108.00 million.
• Akoustis Technologies (NASDAQ:AKTS) is estimated to report quarterly loss at $0.28 per share on revenue of $2.25 million.
• WEC Energy Gr (NYSE:WEC) is likely to report quarterly earnings at $1.47 per share on revenue of $2.31 billion.
• Itron (NASDAQ:ITRI) is expected to report quarterly earnings at $0.42 per share on revenue of $535.25 million.
• Karyopharm Therapeutics (NASDAQ:KPTI) is projected to report quarterly loss at $0.71 per share on revenue of $25.17 million.
• Alexander's (NYSE:ALX) is likely to report earnings for its first quarter.
• PetMed Express (NASDAQ:PETS) is expected to report quarterly earnings at $0.40 per share on revenue of $74.03 million.
• DSP Group (NASDAQ:DSPG) is likely to report quarterly earnings at $0.05 per share on revenue of $31.90 million.
• Green Plains Partners (NASDAQ:GPP) is likely to report quarterly earnings at $0.47 per share on revenue of $21.55 million.
• GlycoMimetics (NASDAQ:GLYC) is expected to report earnings for its first quarter.
• Enable Midstream Partners (NYSE:ENBL) is likely to report quarterly earnings at $0.17 per share on revenue of $764.21 million.
• Sterling Bancorp (NASDAQ:SBT) is likely to report quarterly earnings at $0.02 per share on revenue of $25.13 million.
• Loews (NYSE:L) is projected to report earnings for its first quarter.
 
Companies Reporting After The Bell
• Centerspace (NYSE:CSR) is projected to report quarterly loss at $0.38 per share on revenue of $46.03 million.
• Maxar Technologies (NYSE:MAXR) is estimated to report quarterly earnings at $1.06 per share on revenue of $560.30 million.
• Livent (NYSE:LTHM) is projected to report quarterly earnings at $0.01 per share on revenue of $82.13 million.
• Essential Props Realty (NYSE:EPRT) is estimated to report quarterly earnings at $0.10 per share on revenue of $46.49 million.
• CVR Partners (NYSE:UAN) is likely to report earnings for its first quarter.
• SeaSpine Holdings (NASDAQ:SPNE) is projected to report quarterly loss at $0.33 per share on revenue of $40.23 million.
• Ballard Power Systems (NASDAQ:BLDP) is estimated to report earnings for its first quarter.
• Suncor Energy (NYSE:SU) is estimated to report quarterly earnings at $0.35 per share on revenue of $8.51 billion.
• ZoomInfo Technologies (NASDAQ:ZI) is expected to report quarterly earnings at $0.10 per share on revenue of $145.50 million.
• TravelCenters Of America (NASDAQ:TA) is likely to report quarterly loss at $0.72 per share on revenue of $1.41 billion.
• trivago (NASDAQ:TRVG) is likely to report quarterly loss at $0.03 per ...Full story available on Benzinga.com",https://amp.benzinga.com/amp/content/20909065,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1853.png,"['Earnings', 'News', 'Pre-Market Outlook', 'Markets']"
9,gwBZMiglE2f0EVQXnoSKNh0HPB8K5oW5XywWftgxRLU,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/benzinga.ico'}","5 Stocks To Watch For May 3, 2021",Lisa Levin,2021-05-03T09:08:57Z,https://www.benzinga.com/news/earnings/21/05/20909437/5-stocks-to-watch-for-may-3-2021,"['EL', 'MOS', 'WMB', 'ON', 'DTEA']","Some of the stocks that may grab investor focus today are:

Wall Street expects  Estee Lauder Companies Inc (NYSE: EL) to report quarterly earnings at $1.31 per share on revenue of $3.93 billion before the opening bell. Estee Lauder shares fell 0.8% to close at $313.80 on Friday.
Analysts are expecting  Williams Companies Inc (NYSE: WMB) to have earned $0.29 per share on revenue of $1.97 billion for the latest quarter. The company will ...Full story available on Benzinga.com",https://amp.benzinga.com/amp/content/20909437,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/stocks_to_watch_1929.png,"['News', 'Earnings', 'Penny Stocks', 'Pre-Market Outlook', 'Markets', 'Trading Ideas']"
